A-3,J57-P-10,Engine runup (70% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,91,91.6,90.9,88.5,89,90.2,88.7,87.1,87.3,85.1,88.2,86.1,89.7,86,82.8,77,70.3,63.7,60.8
250,88.7,89.3,88.6,86.2,86.8,87.9,86.5,84.9,85,82.9,86,83.9,87.5,83.8,80.6,74.8,68.1,61.5,58.7
315,86.4,87,86.3,83.9,84.4,85.6,84.2,82.6,82.8,80.7,83.7,81.7,85.3,81.5,78.4,72.6,65.9,59.3,56.5
400,84,84.5,83.9,81.5,82.1,83.2,81.9,80.4,80.5,78.5,81.4,79.4,83,79.2,76.1,70.3,63.6,57.1,54.2
500,81.5,82,81.4,79,79.6,80.8,79.5,78,78.2,76.2,78.9,77.1,80.6,76.9,73.8,68.1,61.3,54.8,51.9
630,78.9,79.4,78.8,76.5,77.1,78.2,77,75.6,75.8,73.9,76.5,74.8,78.3,74.6,71.5,65.8,59,52.5,49.7
800,76.2,76.6,76.1,73.8,74.4,75.5,74.5,73.2,73.3,71.5,73.9,72.4,75.8,72.2,69.2,63.4,56.7,50.2,47.3
1000,73.4,73.7,73.2,71,71.7,72.8,71.9,70.6,70.8,69.1,71.4,70,73.3,69.7,66.8,61.1,54.3,47.9,45
1250,70.5,70.7,70.2,68.1,68.8,69.9,69.1,68.1,68.3,66.7,68.8,67.6,70.8,67.3,64.4,58.7,51.9,45.5,42.6
1600,67.4,67.5,67.1,65.1,65.9,66.9,66.3,65.5,65.7,64.3,66.1,65.1,68.3,64.8,62,56.2,49.5,43.2,40.3
2000,64.1,64.1,63.8,62,62.8,63.8,63.5,62.8,63.1,61.8,63.5,62.6,65.7,62.3,59.6,53.8,47.1,40.8,37.9
2500,60.8,60.7,60.3,58.9,59.7,60.6,60.5,60.2,60.5,59.3,60.9,60,63,59.8,57.2,51.2,44.7,38.4,35.5
3150,57.3,57.1,56.8,55.7,56.5,57.4,57.6,57.5,57.8,56.7,58.2,57.4,60.3,57.2,54.7,48.6,42.3,36,33.1
4000,53.6,53.4,53.2,52.4,53.3,54.1,54.6,54.7,55,54,55.5,54.7,57.5,54.5,52.1,46,39.9,33.6,30.7
5000,49.8,49.7,49.5,49.1,50.1,50.7,51.6,51.8,52.2,51.2,52.7,51.8,54.5,51.8,49.5,43.3,37.4,31.2,28.3
6300,45.7,46,45.8,45.7,46.8,47.3,48.5,48.9,49.2,48.2,49.8,48.9,51.5,49,46.8,40.5,35,28.7,25.7
8000,41.6,42.1,42.1,42.3,43.5,43.8,45.3,45.7,46,45.1,46.7,45.8,48.2,46,43.9,37.7,32.5,26.2,23.2
10000,37.2,38.2,38.4,38.6,39.9,40.1,42,42.4,42.6,41.7,43.4,42.5,44.8,42.9,41,34.9,29.9,23.5,20.5
12500,32.8,34.1,34.4,34.8,36.1,36.3,38.5,38.9,39,38.2,39.9,39,41.2,39.7,37.9,32,27.3,20.9,17.8
16000,28.4,29.9,30.3,30.8,32.1,32.3,34.8,35.2,35.2,34.4,36.2,35.4,37.4,36.2,34.7,29.1,24.6,18.1,15
20000,23.9,25.5,26,26.4,27.7,28.1,30.9,31.2,31.1,30.3,32.2,31.5,33.4,32.6,31.4,26.1,21.8,15.2,12.1
25000,19.5,20.9,21.5,21.8,23,23.7,26.8,27,26.7,26.1,28,27.4,29.2,28.8,27.8,23,18.9,12.2,9.1
