A-3,J57-P-10,Military power (97% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,100.4,100.9,100.4,102.7,102.2,102.9,105.7,108,110.9,112.9,113.2,115.9,118.9,120.3,121.6,114.2,107.5,100.9,94.2
250,98.2,98.7,98.3,100.6,100.1,100.7,103.5,105.9,108.7,110.7,111,113.8,116.8,118.2,119.5,112.1,105.5,98.8,92.1
315,96.1,96.5,96.1,98.4,97.9,98.6,101.3,103.7,106.5,108.5,108.8,111.7,114.7,116.2,117.5,110,103.4,96.7,90
400,93.9,94.2,93.8,96.2,95.7,96.4,99.1,101.4,104.2,106.3,106.6,109.5,112.6,114.1,115.4,107.9,101.3,94.6,87.9
500,91.6,92,91.6,94,93.5,94.1,96.8,99.1,101.9,104,104.4,107.3,110.4,112,113.3,105.8,99.2,92.5,85.8
630,89.3,89.6,89.2,91.7,91.2,91.8,94.4,96.7,99.6,101.6,102.1,105,108.2,109.8,111.1,103.7,97.1,90.4,83.7
800,87,87.2,86.8,89.4,88.8,89.5,92,94.3,97.1,99.2,99.8,102.8,106,107.6,109,101.6,94.9,88.3,81.6
1000,84.6,84.7,84.4,87,86.5,87.1,89.5,91.8,94.6,96.7,97.4,100.5,103.7,105.4,106.7,99.4,92.8,86.1,79.4
1250,82.2,82.2,81.9,84.6,84,84.7,87,89.3,92.1,94.1,94.9,98.1,101.4,103.2,104.5,97.2,90.5,83.9,77.2
1600,79.7,79.6,79.3,82.1,81.5,82.2,84.4,86.6,89.4,91.4,92.4,95.6,99,100.9,102.2,94.9,88.3,81.6,74.9
2000,77.1,76.9,76.6,79.5,78.9,79.6,81.7,83.9,86.6,88.7,89.8,93.1,96.6,98.6,99.9,92.6,86,79.3,72.6
2500,74.4,74.1,73.9,76.8,76.2,76.9,78.9,81.1,83.8,85.8,87.1,90.5,94,96.2,97.5,90.3,83.6,77,70.3
3150,71.7,71.2,71.1,74.1,73.4,74.1,76,78.1,80.8,82.9,84.3,87.8,91.4,93.7,95,87.8,81.2,74.5,67.8
4000,68.9,68.3,68.2,71.2,70.4,71.2,73,75.1,77.7,79.8,81.4,85,88.7,91.1,92.4,85.4,78.8,72.1,65.4
5000,66,65.4,65.2,68.2,67.4,68.2,69.9,71.9,74.5,76.5,78.4,82,85.8,88.4,89.7,82.8,76.2,69.5,62.8
6300,62.9,62.3,62.2,65,64.2,65.1,66.6,68.6,71.1,73.1,75.1,78.9,82.8,85.6,87,80.1,73.5,66.8,60.1
8000,59.7,59.1,59,61.7,60.9,61.8,63.2,65.1,67.6,69.6,71.8,75.7,79.6,82.7,84,77.3,70.7,64,57.3
10000,56.4,55.8,55.6,58.2,57.4,58.3,59.6,61.4,63.9,65.9,68.2,72.2,76.2,79.5,81,74.4,67.8,61.1,54.4
12500,52.8,52.2,52,54.4,53.6,54.6,55.8,57.6,60,61.9,64.3,68.5,72.7,76.3,77.7,71.3,64.7,58,51.3
16000,48.9,48.5,48.2,50.4,49.7,50.7,51.8,53.5,55.8,57.8,60.3,64.6,68.9,72.8,74.3,68,61.4,54.7,48
20000,44.8,44.4,44.2,46.1,45.5,46.5,47.6,49.2,51.5,53.4,56,60.4,64.8,69.1,70.6,64.5,57.9,51.2,44.5
25000,40.4,40.1,39.9,41.6,41.1,42.1,43.2,44.7,46.9,48.7,51.4,56,60.6,65.1,66.7,60.7,54.1,47.4,40.7
