A-4C,J52-P-8B,Military power (99% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,108.9,113.1,114.1,114.2,114.8,115.8,115.2,115.9,115.8,118.6,121.9,125,128.9,108.9,103.2,98.2,93.2,88.2,83.2
250,106.7,111,112,112.1,112.6,113.7,113,113.7,113.6,116.4,119.7,122.8,126.8,106.8,101,96,91,86,81
315,104.6,108.8,109.8,109.9,110.4,111.5,110.8,111.5,111.4,114.2,117.6,120.7,124.6,104.7,98.9,93.9,88.9,83.9,78.9
400,102.4,106.7,107.6,107.7,108.2,109.3,108.5,109.2,109.1,111.9,115.4,118.5,122.4,102.5,96.7,91.7,86.7,81.7,76.7
500,100.2,104.5,105.4,105.5,106,107,106.1,106.9,106.8,109.6,113.1,116.3,120.2,100.3,94.5,89.5,84.5,79.5,74.5
630,97.9,102.2,103.1,103.2,103.7,104.7,103.7,104.5,104.4,107.2,110.9,114,118,98,92.3,87.3,82.3,77.3,72.3
800,95.6,100,100.8,100.9,101.4,102.3,101.3,102,101.9,104.7,108.5,111.7,115.7,95.7,90,85,80,75,70
1000,93.3,97.6,98.4,98.5,98.9,99.9,98.7,99.5,99.3,102.1,106.2,109.4,113.4,93.4,87.6,82.6,77.6,72.6,67.6
1250,90.9,95.2,96,96.1,96.4,97.3,96.1,96.8,96.7,99.5,103.7,107,111,90.9,85.2,80.2,75.2,70.2,65.2
1600,88.4,92.7,93.4,93.5,93.8,94.7,93.3,94.1,93.9,96.7,101.2,104.5,108.6,88.4,82.7,77.7,72.7,67.7,62.7
2000,85.8,90.2,90.8,90.9,91.1,91.9,90.5,91.3,91.1,93.8,98.6,102,106,85.9,80.2,75.2,70.2,65.2,60.2
2500,83.2,87.5,88,88.1,88.3,89.1,87.5,88.3,88.1,90.8,96,99.4,103.4,83.2,77.6,72.6,67.6,62.6,57.6
3150,80.4,84.7,85.1,85.2,85.4,86,84.4,85.1,84.9,87.7,93.2,96.7,100.8,80.5,74.8,69.8,64.8,59.8,54.8
4000,77.5,81.7,82.1,82.1,82.2,82.8,81,81.8,81.6,84.4,90.3,93.8,98,77.6,72,67,62,57,52
5000,74.4,78.6,78.8,78.8,78.9,79.4,77.5,78.3,78.1,80.9,87.3,90.9,95,74.7,69,64,59,54,49
6300,71.2,75.2,75.3,75.3,75.3,75.7,73.7,74.6,74.4,77.3,84,87.8,92,71.7,65.9,60.9,55.9,50.9,45.9
8000,67.7,71.6,71.6,71.5,71.4,71.8,69.7,70.6,70.5,73.5,80.6,84.6,88.7,68.6,62.7,57.7,52.7,47.7,42.7
10000,63.9,67.7,67.5,67.4,67.2,67.5,65.4,66.4,66.4,69.5,77,81.2,85.3,65.5,59.3,54.3,49.3,44.3,39.3
12500,59.8,63.4,63.1,62.9,62.6,62.9,60.9,61.9,62.2,65.4,73.2,77.5,81.6,62.3,55.8,50.8,45.8,40.8,35.8
16000,55.3,58.7,58.2,58.1,57.6,57.9,56.2,57.2,57.8,61.2,69.1,73.7,77.7,59,52.1,47.1,42.1,37.1,32.1
20000,50.3,53.5,52.9,52.8,52.2,52.6,51.2,52.2,53.2,56.7,64.7,69.6,73.5,55.6,48.4,43.4,38.4,33.4,28.4
25000,44.9,47.8,47.1,47.3,46.5,46.9,46.1,47.1,48.5,52,60,65.3,68.9,52.1,44.5,39.5,34.5,29.5,24.5
