A-5C,J79-GE-8C,Maximum power A/B (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,105.6,106.7,109.1,111.6,111.4,113.1,114.2,115.5,118,120.1,124.8,127.8,124.7,117,103.5,98.7,92.1,85.4,78.7
250,103.5,104.5,106.9,109.5,109.2,111,112.1,113.3,115.8,118,122.7,125.6,122.6,114.9,101.4,96.6,89.9,83.3,76.6
315,101.3,102.4,104.8,107.3,107.1,108.8,109.9,111.1,113.6,115.8,120.5,123.5,120.4,112.8,99.3,94.5,87.8,81.1,74.5
400,99.1,100.2,102.6,105.1,104.9,106.6,107.7,108.9,111.4,113.6,118.4,121.4,118.3,110.7,97.2,92.4,85.7,79,72.4
500,96.9,98,100.4,102.9,102.7,104.4,105.5,106.7,109.1,111.4,116.2,119.2,116.1,108.5,95.1,90.2,83.5,76.8,70.2
630,94.6,95.8,98.1,100.6,100.4,102.1,103.2,104.3,106.8,109.1,113.9,116.9,113.9,106.3,92.9,88,81.3,74.6,68
800,92.2,93.5,95.8,98.3,98,99.7,100.8,101.9,104.4,106.7,111.7,114.7,111.7,104.1,90.7,85.7,79,72.3,65.7
1000,89.8,91.1,93.4,95.9,95.6,97.3,98.4,99.5,101.9,104.3,109.3,112.4,109.4,101.8,88.4,83.4,76.7,70,63.4
1250,87.3,88.7,90.9,93.4,93.2,94.8,95.9,96.9,99.4,101.9,106.9,110,107.1,99.5,86.1,81.1,74.4,67.7,61.1
1600,84.8,86.3,88.4,90.9,90.6,92.2,93.4,94.3,96.7,99.3,104.5,107.6,104.7,97.2,83.8,78.6,71.9,65.2,58.6
2000,82.1,83.7,85.8,88.2,88,89.6,90.7,91.5,94,96.6,102,105.1,102.3,94.7,81.4,76.1,69.5,62.8,56.1
2500,79.4,81.1,83.1,85.5,85.2,86.8,87.9,88.7,91.1,93.9,99.3,102.5,99.7,92.2,79,73.6,66.9,60.2,53.6
3150,76.5,78.3,80.3,82.6,82.3,83.9,85,85.7,88.1,91,96.6,99.8,97.2,89.6,76.4,70.9,64.2,57.5,50.9
4000,73.6,75.5,77.4,79.6,79.3,80.9,82,82.5,85,88,93.8,97.1,94.5,86.9,73.9,68.2,61.5,54.8,48.2
5000,70.5,72.6,74.3,76.5,76.2,77.7,78.8,79.2,81.7,84.8,90.8,94.2,91.7,84.2,71.2,65.3,58.6,51.9,45.3
6300,67.3,69.5,71.1,73.2,72.8,74.4,75.5,75.8,78.2,81.4,87.6,91.1,88.8,81.3,68.4,62.3,55.6,48.9,42.3
8000,63.9,66.3,67.8,69.8,69.4,70.9,72,72.2,74.6,77.9,84.3,87.9,85.8,78.3,65.6,59.1,52.4,45.7,39.1
10000,60.4,63,64.4,66.1,65.7,67.3,68.3,68.4,70.9,74.1,80.8,84.6,82.6,75.2,62.6,55.8,49.1,42.4,35.8
12500,56.6,59.5,60.7,62.4,61.9,63.4,64.5,64.5,66.9,70.1,77.1,81.1,79.3,71.9,59.5,52.4,45.7,39,32.4
16000,52.7,55.8,56.9,58.4,57.9,59.4,60.4,60.4,62.8,66,73.1,77.4,75.8,68.6,56.4,48.7,42,35.3,28.7
20000,48.5,51.9,52.8,54.2,53.8,55.1,56.1,56.1,58.5,61.5,68.8,73.4,72.1,65.1,53.1,45,38.3,31.6,25
25000,44.1,47.8,48.6,49.9,49.5,50.6,51.5,51.7,53.9,56.9,64.3,69.3,68.1,61.5,49.6,41,34.3,27.6,21
