A-5C,J79-GE-8C,Idle (65% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,96.1,96.6,96.8,93.1,91.4,89.9,83.2,80.1,78.3,77.7,81.6,83.8,83.7,83.3,78.2,74.1,65.5,62.5,62.3
250,93.9,94.5,94.6,91,89.2,87.7,81,77.9,76.1,75.6,79.5,81.7,81.6,81.3,76.1,71.9,63.3,60.4,60.2
315,91.7,92.3,92.4,88.7,87,85.5,78.7,75.7,74,73.4,77.4,79.6,79.5,79.2,74,69.7,61.1,58.2,58.1
400,89.5,90,90.2,86.5,84.7,83.2,76.4,73.4,71.7,71.3,75.3,77.4,77.4,77.1,71.8,67.5,58.9,56,56
500,87.2,87.7,87.9,84.2,82.3,80.8,74,71.1,69.5,69.1,73.1,75.3,75.3,74.9,69.6,65.2,56.6,53.7,53.8
630,84.8,85.4,85.5,81.7,79.9,78.4,71.6,68.6,67.2,66.9,70.9,73.1,73.1,72.8,67.4,62.9,54.2,51.4,51.6
800,82.3,82.9,83,79.3,77.4,75.9,69,66.1,64.8,64.6,68.7,70.9,70.9,70.6,65.2,60.6,51.8,49,49.4
1000,79.8,80.4,80.5,76.7,74.7,73.2,66.4,63.6,62.4,62.3,66.4,68.7,68.7,68.4,62.9,58.1,49.3,46.5,47.1
1250,77.1,77.7,77.8,73.9,71.9,70.5,63.6,60.9,59.9,60,64.1,66.4,66.5,66.2,60.6,55.6,46.7,44,44.8
1600,74.2,74.8,74.9,71,69,67.5,60.7,58.1,57.4,57.6,61.8,64,64.2,63.9,58.2,53,43.9,41.3,42.4
2000,71.2,71.8,71.8,68,65.8,64.4,57.6,55.2,54.7,55.2,59.4,61.6,61.8,61.6,55.8,50.3,41.1,38.6,40
2500,67.9,68.5,68.5,64.6,62.5,61,54.4,52.2,52.1,52.7,57,59.2,59.4,59.3,53.3,47.5,38.2,35.8,37.6
3150,64.4,65,64.9,61.1,58.8,57.4,51,49.2,49.3,50.2,54.5,56.7,57,56.9,50.8,44.5,35.1,32.8,35.1
4000,60.6,61.1,61,57.2,54.9,53.4,47.4,46,46.6,47.6,51.9,54.1,54.4,54.4,48.3,41.6,31.9,29.8,32.5
5000,56.4,56.8,56.6,52.9,50.6,49.2,43.7,42.8,43.7,44.9,49.3,51.4,51.7,51.9,45.7,38.5,28.6,26.8,30
6300,51.9,52.1,51.8,48.3,46.1,44.6,40,39.5,40.8,42.2,46.5,48.6,49,49.2,43,35.4,25.4,23.7,27.4
8000,47.1,47.1,46.6,43.5,41.4,39.9,36.4,36.3,37.9,39.4,43.7,45.7,46.1,46.5,40.2,32.3,22.1,20.7,24.7
10000,42.1,42.1,41.2,38.6,36.7,35.3,32.8,33,34.8,36.5,40.7,42.7,43,43.6,37.3,29.2,19,17.7,22
12500,37.2,37.2,36,34,32.3,30.9,29.4,29.7,31.7,33.5,37.6,39.5,39.8,40.5,34.3,26,15.8,14.7,19.2
16000,32.5,32.6,31.3,29.8,28.2,26.9,25.9,26.3,28.4,30.4,34.3,36.2,36.3,37.2,31.1,22.7,12.6,11.7,16.3
20000,27.7,28.1,27,25.7,24.3,22.9,22.4,22.8,25,27.1,30.8,32.6,32.6,33.8,27.8,19.2,9.3,8.5,13.3
25000,22.9,23.5,22.7,21.7,20.4,19,18.7,19.1,21.4,23.7,27.2,28.9,28.7,30.1,24.2,15.6,5.8,5.3,10.1
