A-6A,J52-P-8A,Idle (60% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,101.3,103.2,103.8,95.5,93.5,90.5,85.9,84.4,82.3,84.8,86.7,86.3,86.4,84.5,82.6,79.4,67.5,66.7,74.4
250,99,100.9,101.5,93.2,91.2,88.2,83.6,82.1,80,82.5,84.5,84.1,84.2,82.3,80.5,77.3,65.3,64.5,72.3
315,96.6,98.5,99.1,90.8,88.8,85.8,81.2,79.8,77.7,80.2,82.2,81.8,82,80.2,78.3,75.1,63.1,62.3,70.1
400,94.2,96.1,96.7,88.3,86.4,83.3,78.8,77.4,75.3,77.8,79.9,79.5,79.7,78,76.2,72.8,60.8,60.1,67.9
500,91.7,93.5,94.2,85.8,83.9,80.7,76.3,74.9,72.8,75.4,77.5,77.2,77.5,75.8,74,70.6,58.5,57.8,65.7
630,89,90.8,91.5,83.1,81.2,77.9,73.7,72.3,70.3,72.8,75.1,74.8,75.2,73.5,71.8,68.3,56.2,55.4,63.5
800,86.2,87.9,88.7,80.2,78.4,75.1,71,69.7,67.7,70.2,72.6,72.4,72.8,71.2,69.6,65.9,53.8,53.1,61.2
1000,83.2,84.8,85.6,77.2,75.4,72,68.2,66.9,65,67.5,70.1,70,70.5,68.9,67.4,63.6,51.4,50.7,58.9
1250,79.9,81.5,82.3,74,72.3,68.8,65.3,64,62.1,64.8,67.5,67.5,68.1,66.6,65.1,61.2,48.9,48.2,56.5
1600,76.4,77.9,78.8,70.6,69,65.4,62.2,61,59.2,61.9,64.9,65,65.6,64.2,62.7,58.7,46.4,45.7,54.1
2000,72.6,74,74.9,67,65.4,61.8,59.1,58,56.2,59,62.3,62.5,63.1,61.8,60.4,56.3,43.9,43.2,51.7
2500,68.6,69.6,70.5,63.2,61.7,58.1,55.9,54.9,53.2,56,59.6,59.9,60.6,59.3,57.9,53.8,41.2,40.6,49.2
3150,64.2,64.9,65.8,59.3,57.8,54.3,52.6,51.7,50.1,53.1,56.9,57.2,58,56.8,55.4,51.2,38.5,38,46.7
4000,59.7,59.9,60.7,55.4,53.9,50.5,49.2,48.5,47,50,54.1,54.4,55.3,54.2,52.8,48.6,35.7,35.2,44.1
5000,55.3,54.8,55.4,51.5,50.1,46.8,45.8,45.2,43.9,47,51.2,51.5,52.5,51.5,50.2,45.9,32.9,32.5,41.5
6300,50.9,50,50.3,47.7,46.3,43.2,42.3,41.9,40.7,43.8,48.2,48.5,49.5,48.6,47.4,43.1,29.8,29.6,38.8
8000,46.7,45.5,45.6,43.9,42.5,39.5,38.8,38.4,37.5,40.5,45,45.2,46.4,45.6,44.4,40.1,26.6,26.6,36
10000,42.4,41.2,41.2,40,38.6,35.8,35.1,34.9,34,37.1,41.7,41.8,43.1,42.5,41.3,37,23.2,23.6,33.1
12500,38,36.9,36.9,35.9,34.6,32,31.3,31.1,30.4,33.4,38,38.2,39.7,39.2,38.1,33.6,19.7,20.4,30
16000,33.4,32.5,32.6,31.6,30.4,28,27.3,27.2,26.6,29.6,34.2,34.3,36,35.7,34.7,30.1,15.9,17,26.8
20000,28.6,27.9,28.2,27.2,26,23.9,23.2,23.1,22.7,25.6,30.1,30.2,32.1,32,31.1,26.4,12.1,13.6,23.5
25000,23.8,23.3,23.7,22.7,21.4,19.7,19,18.9,18.5,21.3,25.7,25.9,28,28.1,27.2,22.4,8.3,10,19.8
