AV-8B,F402-RR-405,Engine runup (70% RPM)
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,109.7,109.8,107,107.1,109.2,108,109,108.2,107,108,108,105,96.3,95.2,91.1,85.1,89.1,79.1,69.1
250,107.3,107.4,104.7,104.7,106.8,105.6,106.6,105.8,104.5,105.5,105.6,102.5,93.9,92.8,88.8,82.6,86.6,76.6,66.6
315,104.7,104.8,102.3,102.2,104.4,103,104,103.3,102,102.9,103,99.9,91.4,90.2,86.4,80.1,84,74,64
400,102.1,102.2,99.8,99.6,101.8,100.4,101.4,100.7,99.4,100.3,100.3,97.3,88.8,87.5,83.9,77.4,81.3,71.3,61.3
500,99.3,99.5,97.2,96.9,99.2,97.6,98.7,97.9,96.7,97.5,97.6,94.5,86.2,84.8,81.4,74.7,78.4,68.4,58.4
630,96.4,96.6,94.5,94.1,96.4,94.7,95.8,95.1,93.9,94.6,94.8,91.6,83.5,81.9,78.8,71.8,75.5,65.5,55.5
800,93.4,93.6,91.7,91.1,93.5,91.7,92.8,92.2,91,91.6,91.8,88.6,80.7,78.9,76.1,68.9,72.5,62.5,52.5
1000,90.3,90.4,88.8,88,90.5,88.5,89.7,89.2,88,88.5,88.8,85.5,77.9,75.8,73.4,65.9,69.4,59.4,49.4
1250,87.1,87,85.8,84.8,87.4,85.2,86.5,86,85,85.3,85.6,82.3,75,72.7,70.5,62.8,66.2,56.2,46.2
1600,83.7,83.6,82.7,81.4,84.1,81.7,83.2,82.8,81.8,82,82.4,79,72.1,69.4,67.5,59.6,63,53,43
2000,80.2,80,79.3,77.9,80.7,78.2,79.8,79.6,78.6,78.7,79.2,75.6,69.1,66.2,64.4,56.4,59.7,49.7,39.7
2500,76.8,76.3,75.8,74.3,77,74.6,76.5,76.3,75.4,75.3,75.9,72.2,66.2,62.8,61.1,53.1,56.5,46.5,36.5
3150,73.3,72.6,72,70.5,73.2,71,73,73,72.2,72,72.5,68.8,63.3,59.5,57.7,49.8,53.2,43.2,33.2
4000,69.8,69,68,66.5,69.1,67.3,69.6,69.6,68.9,68.5,69.1,65.4,60.3,56.1,54.2,46.5,50,40,30
5000,66.3,65.3,63.7,62.4,64.9,63.7,66.1,66.2,65.5,65,65.5,62,57.3,52.8,50.5,43.2,46.8,36.8,26.8
6300,62.8,61.6,59.2,58.3,60.4,60,62.4,62.7,62,61.4,61.9,58.4,54.3,49.4,46.7,39.9,43.5,33.5,23.5
8000,59.2,57.9,54.8,54,56,56.2,58.6,59,58.4,57.6,58,54.8,51.2,46,42.9,36.6,40.2,30.2,20.2
10000,55.4,54.1,50.5,49.9,51.7,52.4,54.7,55.2,54.7,53.6,53.9,51.1,48,42.7,39.1,33.4,36.8,26.8,16.8
12500,51.5,50.3,46.3,45.8,47.6,48.5,50.6,51.2,50.7,49.5,49.7,47.3,44.7,39.3,35.4,30.2,33.4,23.4,13.4
16000,47.4,46.2,42.3,41.8,43.5,44.5,46.3,46.9,46.6,45.2,45.3,43.4,41.4,36,31.6,27.1,29.9,19.9,9.9
20000,43.1,42,38.2,37.7,39.5,40.4,41.8,42.5,42.3,40.9,40.8,39.5,38,32.7,27.8,23.9,26.4,16.4,6.4
25000,38.5,37.4,34,33.6,35.3,36.2,37.2,37.9,37.9,36.5,36.4,35.6,34.4,29.4,24.1,20.8,22.8,12.8,2.8
