AV-8B,F402-RR-405,Engine runup (85% RPM)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,110.5,109.9,110.2,110.4,111.8,111.1,112.3,112.6,111.9,112,111,104.1,96.6,95.1,92.6,87.6,82.6,77.6,72.6
250,108.1,107.6,108,108,109.5,108.7,109.9,110.3,109.5,109.6,108.5,101.7,94.3,92.7,90.3,85.3,80.3,75.3,70.3
315,105.8,105.2,105.6,105.6,107.1,106.3,107.5,107.8,107,107.1,106,99.3,92,90.3,87.9,82.9,77.9,72.9,67.9
400,103.3,102.7,103.2,103.1,104.6,103.7,105,105.3,104.4,104.5,103.4,96.8,89.6,87.8,85.4,80.4,75.4,70.4,65.4
500,100.8,100.2,100.7,100.5,102,101.1,102.4,102.7,101.8,101.9,100.7,94.2,87.1,85.3,82.9,77.9,72.9,67.9,62.9
630,98.2,97.6,98.2,97.8,99.4,98.5,99.7,100,99,99.1,98,91.6,84.6,82.7,80.3,75.3,70.3,65.3,60.3
800,95.5,94.9,95.5,95.1,96.6,95.7,97,97.3,96.2,96.3,95.1,88.9,82,80,77.7,72.7,67.7,62.7,57.7
1000,92.8,92.1,92.7,92.2,93.7,92.9,94.1,94.4,93.2,93.4,92.2,86.1,79.4,77.2,75,70,65,60,55
1250,89.9,89.2,89.7,89.2,90.7,89.9,91.2,91.5,90.2,90.5,89.2,83.1,76.7,74.4,72.3,67.3,62.3,57.3,52.3
1600,87,86.2,86.6,86.1,87.6,86.9,88.3,88.4,87.1,87.4,86.2,80.1,74,71.5,69.5,64.5,59.5,54.5,49.5
2000,84,83.2,83.3,82.9,84.3,83.8,85.2,85.3,84,84.3,83,76.9,71.2,68.5,66.6,61.6,56.6,51.6,46.6
2500,80.9,80.1,79.7,79.6,80.8,80.7,82.1,82.1,80.8,81,79.8,73.7,68.4,65.4,63.7,58.7,53.7,48.7,43.7
3150,77.7,76.9,76.1,76.1,77.2,77.4,78.9,78.8,77.5,77.7,76.6,70.3,65.5,62.4,60.7,55.7,50.7,45.7,40.7
4000,74.5,73.6,72.2,72.5,73.5,74.1,75.6,75.4,74.1,74.3,73.2,66.9,62.6,59.2,57.5,52.5,47.5,42.5,37.5
5000,71.2,70.4,68.4,68.8,69.7,70.7,72.2,71.9,70.6,70.8,69.7,63.4,59.7,56,54.3,49.3,44.3,39.3,34.3
6300,67.8,67,64.5,65,65.9,67.2,68.7,68.3,67,67.1,66.1,59.9,56.7,52.8,50.9,45.9,40.9,35.9,30.9
8000,64.4,63.6,60.8,61.2,62,63.5,64.9,64.5,63.3,63.3,62.2,56.5,53.7,49.5,47.4,42.4,37.4,32.4,27.4
10000,60.8,60.1,57,57.2,58.2,59.7,61,60.6,59.4,59.3,58.3,53,50.6,46.2,43.8,38.8,33.8,28.8,23.8
12500,57,56.3,53.1,53.1,54.2,55.8,56.9,56.5,55.5,55.2,54.2,49.6,47.5,42.9,40,35,30,25,20
16000,53,52.4,49.1,49,50.2,51.7,52.5,52.2,51.5,50.9,50,46.2,44.3,39.5,36.2,31.2,26.2,21.2,16.2
20000,48.8,48.2,44.9,44.7,46.1,47.4,48,47.9,47.3,46.6,45.9,42.7,41,36.1,32.5,27.5,22.5,17.5,12.5
25000,44.3,43.7,40.5,40.3,41.9,43,43.3,43.4,43.1,42.2,41.8,39.2,37.6,32.7,28.7,23.7,18.7,13.7,8.7
