AV-8B,F402-RR-405,Maximum continuous power (95% RPM)
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,112.4,111.9,110.4,111.9,112.8,113.3,114.9,114.8,114.7,114.2,111.9,106.1,98.8,93.7,92.8,82.8,86.8,76.8,66.8
250,110.1,109.6,108.1,109.6,110.5,111,112.6,112.5,112.3,111.9,109.5,103.8,96.5,91.4,90.6,80.5,84.5,74.5,64.5
315,107.7,107.2,105.8,107.2,108.1,108.5,110.2,110.1,109.9,109.5,107.1,101.4,94.2,89.1,88.3,78.1,82.2,72.2,62.2
400,105.3,104.8,103.4,104.7,105.6,106.1,107.7,107.6,107.4,107.1,104.6,99,91.8,86.8,86,75.7,79.8,69.8,59.8
500,102.9,102.3,100.9,102.2,103,103.5,105.2,105.1,104.9,104.5,102,96.5,89.4,84.4,83.6,73.2,77.3,67.3,57.3
630,100.4,99.8,98.4,99.6,100.4,100.9,102.7,102.5,102.2,102,99.3,93.9,86.9,81.9,81.2,70.6,74.8,64.8,54.8
800,97.9,97.2,95.8,96.9,97.7,98.2,100,99.9,99.5,99.3,96.6,91.3,84.4,79.5,78.8,68,72.3,62.3,52.3
1000,95.2,94.5,93.1,94.1,94.9,95.4,97.3,97.2,96.7,96.6,93.9,88.7,81.9,76.9,76.3,65.4,69.7,59.7,49.7
1250,92.6,91.8,90.4,91.2,92,92.6,94.5,94.4,93.9,93.8,91,86,79.3,74.4,73.7,62.7,67.1,57.1,47.1
1600,89.9,89,87.5,88.2,89,89.6,91.7,91.5,90.9,91,88.1,83.2,76.6,71.8,71.1,59.9,64.5,54.5,44.5
2000,87.1,86.2,84.6,85.2,85.9,86.6,88.8,88.5,87.9,88.1,85.2,80.4,73.9,69.1,68.4,57.1,61.8,51.8,41.8
2500,84.2,83.3,81.6,82,82.7,83.5,85.7,85.4,84.8,85,82.1,77.5,71.1,66.3,65.7,54.3,59,49,39
3150,81.3,80.3,78.5,78.7,79.4,80.3,82.6,82.2,81.5,81.9,79,74.5,68.2,63.5,62.8,51.3,56.2,46.2,36.2
4000,78.3,77.3,75.3,75.3,76,77,79.3,78.9,78.2,78.6,75.7,71.4,65.2,60.6,59.8,48.3,53.3,43.3,33.3
5000,75.2,74.1,72,71.7,72.5,73.6,75.9,75.4,74.7,75.2,72.3,68.2,62.1,57.6,56.6,45.3,50.3,40.3,30.3
6300,72,70.9,68.5,68.1,68.9,70.1,72.3,71.8,71.1,71.7,68.8,64.9,58.9,54.6,53.3,42.2,47.1,37.1,27.1
8000,68.6,67.5,65,64.3,65.3,66.4,68.5,68.1,67.4,68,65.1,61.6,55.6,51.5,49.8,39,43.9,33.9,23.9
10000,65.1,63.9,61.3,60.4,61.5,62.6,64.5,64.2,63.5,64.1,61.2,58.2,52.2,48.3,46.1,35.8,40.5,30.5,20.5
12500,61.4,60.1,57.4,56.4,57.7,58.7,60.3,60.1,59.5,60.1,57.3,54.8,48.9,45.1,42.3,32.6,36.9,26.9,16.9
16000,57.4,56.1,53.4,52.3,53.7,54.7,55.9,55.9,55.3,55.9,53.2,51.3,45.5,41.8,38.3,29.4,33.2,23.2,13.2
20000,53.1,51.9,49.1,48,49.6,50.4,51.4,51.6,51.1,51.5,49.1,47.8,42.1,38.6,34.2,26.2,29.4,19.4,9.4
25000,48.6,47.4,44.7,43.6,45.3,46,46.7,47.2,46.8,47.1,45.1,44.3,38.7,35.3,30.1,23.1,25.5,15.5,5.5
