C-130E,T56-A-7,Power runup (775 C TIT),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,92.3,92.2,92.2,90.9,91.3,94.2,91.4,90.5,92.2,91.9,90,90.3,90,89.2,87,80.9,74.2,67.5,60.9
250,90,89.9,89.9,88.7,89.1,92.1,89.2,88.3,90.1,89.8,87.9,88.2,87.8,87,84.9,78.8,72.1,65.4,58.8
315,87.7,87.6,87.6,86.4,86.8,89.9,87,86,87.9,87.6,85.7,86,85.7,84.9,82.7,76.6,69.9,63.2,56.6
400,85.4,85.2,85.2,84.1,84.4,87.7,84.7,83.7,85.6,85.5,83.5,83.9,83.5,82.7,80.5,74.4,67.7,61,54.4
500,83.1,82.8,82.7,81.7,82,85.5,82.3,81.4,83.4,83.3,81.3,81.7,81.3,80.5,78.3,72.2,65.5,58.8,52.2
630,80.6,80.3,80.2,79.2,79.6,83.2,79.9,79,81.1,81,79.1,79.4,79,78.3,76,69.9,63.2,56.5,49.9
800,78.2,77.8,77.7,76.8,77.1,80.9,77.5,76.5,78.7,78.7,76.8,77.2,76.7,76,73.7,67.6,60.9,54.2,47.6
1000,75.7,75.3,75.1,74.3,74.5,78.5,75,74,76.4,76.4,74.5,74.9,74.4,73.7,71.4,65.2,58.6,51.9,45.2
1250,73.1,72.7,72.4,71.7,71.9,76.1,72.4,71.4,73.9,74.1,72.1,72.5,72.1,71.3,69,62.8,56.1,49.4,42.8
1600,70.5,70,69.8,69.1,69.2,73.6,69.8,68.7,71.4,71.7,69.7,70.2,69.6,68.9,66.5,60.3,53.7,47,40.3
2000,67.8,67.3,67,66.4,66.4,71.1,67.1,66,68.9,69.2,67.3,67.7,67.2,66.4,64,57.8,51.1,44.4,37.8
2500,65.1,64.5,64.2,63.6,63.6,68.4,64.4,63.3,66.3,66.6,64.8,65.3,64.7,63.8,61.5,55.2,48.5,41.8,35.2
3150,62.2,61.6,61.3,60.8,60.7,65.7,61.6,60.4,63.7,64,62.3,62.8,62.1,61.2,58.8,52.4,45.7,39,32.4
4000,59.3,58.6,58.3,57.9,57.7,62.9,58.7,57.6,61,61.4,59.7,60.2,59.4,58.5,56.1,49.6,42.9,36.2,29.6
5000,56.3,55.5,55.2,54.8,54.6,60,55.7,54.6,58.2,58.6,57.1,57.6,56.7,55.8,53.3,46.7,40,33.3,26.7
6300,53.2,52.3,52,51.7,51.4,56.9,52.7,51.6,55.4,55.8,54.5,55,54,52.9,50.5,43.6,36.9,30.2,23.6
8000,50,48.9,48.7,48.4,48.1,53.7,49.5,48.6,52.5,52.9,51.8,52.3,51.1,50,47.5,40.4,33.7,27,20.4
10000,46.6,45.4,45.1,44.9,44.6,50.3,46.3,45.6,49.6,50,49.1,49.5,48.2,46.9,44.4,37.1,30.4,23.7,17.1
12500,43.1,41.7,41.5,41.3,41,46.6,42.9,42.5,46.6,47,46.3,46.8,45.2,43.7,41.2,33.7,27,20.3,13.7
16000,39.4,37.8,37.6,37.4,37.3,42.7,39.3,39.3,43.6,44,43.6,43.9,42.1,40.4,37.9,30.3,23.6,16.9,10.3
20000,35.5,33.8,33.6,33.4,33.3,38.6,35.7,36.1,40.6,40.9,40.8,41.1,39,37,34.4,26.7,20,13.3,6.7
25000,31.3,29.5,29.4,29.2,29.3,34.2,31.9,32.8,37.5,37.9,37.9,38.2,35.8,33.6,30.8,23.3,16.6,9.9,3.3
