C-130,T56-A-15,Idle (560 TIT)
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98.3,98.2,97.4,96.3,95,93.8,93.4,92.6,90.6,91,91.7,92.1,94,94.4,94.7,92.2,86.9,84.8,84.4
250,96.2,96.1,95.3,94.2,92.9,91.7,91.3,90.4,88.4,88.9,89.6,90,91.9,92.3,92.6,90.2,84.8,82.7,82.3
315,94.1,94,93.2,92.1,90.8,89.5,89.2,88.3,86.3,86.7,87.4,87.8,89.8,90.2,90.5,88.1,82.7,80.7,80.2
400,91.9,91.8,91.1,90,88.7,87.4,87.1,86.1,84.1,84.6,85.2,85.6,87.7,88.1,88.4,86,80.6,78.6,78.1
500,89.8,89.7,88.9,87.8,86.5,85.2,84.9,83.9,81.9,82.3,83,83.4,85.5,86,86.3,83.9,78.5,76.4,76
630,87.6,87.5,86.8,85.7,84.3,83,82.7,81.7,79.6,80.1,80.8,81.2,83.3,83.8,84.1,81.8,76.4,74.3,73.9
800,85.4,85.3,84.6,83.5,82.1,80.8,80.4,79.5,77.4,77.8,78.5,78.9,81,81.6,81.9,79.6,74.2,72.1,71.7
1000,83.1,83.1,82.3,81.2,79.9,78.5,78.2,77.2,75,75.5,76.1,76.6,78.8,79.4,79.7,77.4,72,69.9,69.5
1250,80.8,80.8,80.1,79,77.6,76.2,75.8,74.8,72.7,73.1,73.8,74.3,76.5,77.1,77.5,75.2,69.8,67.6,67.3
1600,78.5,78.5,77.8,76.7,75.2,73.9,73.5,72.4,70.2,70.7,71.4,71.9,74.1,74.8,75.2,73,67.5,65.4,65
2000,76.1,76.1,75.4,74.3,72.8,71.5,71,69.9,67.7,68.2,68.9,69.4,71.8,72.5,72.9,70.6,65.2,63,62.6
2500,73.6,73.6,73,71.9,70.3,69,68.6,67.4,65.2,65.6,66.3,66.9,69.3,70.1,70.6,68.3,62.7,60.6,60.2
3150,71.1,71.1,70.5,69.4,67.8,66.5,66,64.8,62.6,63,63.8,64.3,66.8,67.7,68.1,65.8,60.2,58.1,57.7
4000,68.5,68.5,67.9,66.9,65.2,63.9,63.3,62.1,59.9,60.3,61.1,61.7,64.3,65.2,65.7,63.3,57.6,55.6,55.2
5000,65.8,65.8,65.3,64.2,62.5,61.2,60.6,59.3,57.1,57.5,58.3,58.9,61.7,62.6,63.1,60.7,54.9,52.9,52.5
6300,62.9,63,62.5,61.4,59.7,58.4,57.8,56.4,54.3,54.7,55.5,56.1,58.9,59.9,60.4,58,52.1,50.1,49.7
8000,59.9,60,59.5,58.5,56.7,55.5,54.8,53.4,51.4,51.7,52.6,53.1,56.1,57.1,57.6,55.1,49.1,47.2,46.8
10000,56.8,56.9,56.4,55.4,53.6,52.4,51.7,50.3,48.3,48.7,49.5,50,53.2,54.2,54.7,52,46,44.1,43.7
12500,53.4,53.5,53.1,52.1,50.4,49.2,48.4,47,45.2,45.5,46.4,46.8,50.1,51.1,51.6,48.8,42.6,40.8,40.4
16000,49.8,49.9,49.5,48.5,46.9,45.7,45,43.5,41.9,42.2,43.1,43.4,46.8,47.8,48.4,45.3,39,37.3,36.9
20000,45.9,46,45.7,44.7,43.1,42,41.2,39.8,38.4,38.8,39.7,39.8,43.3,44.4,44.9,41.6,35.2,33.5,33.2
25000,41.8,41.9,41.5,40.6,39,37.9,37.3,35.8,34.8,35.2,36.1,36,39.6,40.8,41.2,37.6,31.1,29.4,29.2
