C-130,T56-A-15,Low idle (625 TIT)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,91.5,91,91.3,89.8,88.8,88.2,87.2,85.7,85.3,86.5,86.4,87.4,88.2,88.9,88.1,86,82.1,80.3,79.5
250,89.3,88.7,88.9,87.5,86.5,86,85,83.5,83.1,84.4,84.2,85.3,86,86.8,85.9,83.8,80,78.2,77.4
315,86.9,86.4,86.6,85.2,84.2,83.6,82.8,81.3,80.9,82.1,82,83,83.8,84.5,83.7,81.7,77.8,76,75.3
400,84.5,84,84.1,82.8,81.8,81.3,80.5,79.1,78.6,79.9,79.7,80.8,81.5,82.3,81.5,79.5,75.6,73.9,73.1
500,82.1,81.5,81.7,80.4,79.4,78.8,78.2,76.8,76.3,77.6,77.4,78.5,79.3,80,79.3,77.3,73.4,71.6,70.9
630,79.6,79,79.1,77.9,76.9,76.4,75.8,74.6,74,75.3,75.1,76.1,77,77.7,77,75.1,71.1,69.4,68.7
800,77.1,76.5,76.5,75.4,74.4,73.9,73.4,72.2,71.7,72.9,72.7,73.8,74.7,75.4,74.7,72.9,68.9,67.2,66.5
1000,74.6,74,73.9,72.9,71.9,71.3,71,69.9,69.3,70.5,70.4,71.4,72.3,73,72.4,70.6,66.6,64.9,64.2
1250,72,71.4,71.2,70.3,69.4,68.8,68.6,67.5,66.9,68.1,68,68.9,69.9,70.6,70,68.4,64.3,62.6,61.9
1600,69.5,68.9,68.6,67.8,66.8,66.2,66.1,65.1,64.5,65.7,65.5,66.5,67.5,68.2,67.7,66.1,61.9,60.2,59.6
2000,67,66.4,66.1,65.3,64.3,63.7,63.7,62.6,62,63.2,63.1,64,65.1,65.8,65.3,63.7,59.5,57.8,57.2
2500,64.5,63.9,63.5,62.7,61.8,61.1,61.1,60.1,59.5,60.7,60.6,61.4,62.6,63.3,62.8,61.3,57.1,55.4,54.8
3150,62,61.3,60.9,60.1,59.2,58.5,58.6,57.6,57,58.2,58.1,58.8,60,60.8,60.3,58.9,54.6,52.9,52.3
4000,59.4,58.7,58.3,57.5,56.6,55.9,55.9,54.9,54.3,55.6,55.5,56.2,57.4,58.2,57.8,56.3,52,50.3,49.8
5000,56.7,56,55.6,54.8,53.9,53.2,53.2,52.3,51.6,53,52.9,53.5,54.8,55.6,55.1,53.7,49.4,47.6,47.1
6300,53.9,53.2,52.8,52,51.1,50.4,50.3,49.5,48.9,50.3,50.3,50.7,52,52.8,52.3,51,46.6,44.8,44.3
8000,51,50.3,49.9,49,48.3,47.5,47.4,46.6,46,47.5,47.5,47.8,49.2,50,49.5,48.1,43.7,41.9,41.4
10000,47.9,47.2,46.9,46,45.2,44.4,44.4,43.6,43,44.7,44.7,44.7,46.2,47,46.4,45,40.7,38.8,38.3
12500,44.7,44,43.6,42.8,42.1,41.2,41.2,40.5,40,41.9,41.8,41.6,43.1,43.9,43.3,41.8,37.5,35.5,35
16000,41.3,40.7,40.2,39.4,38.8,37.8,37.8,37.3,36.8,38.9,38.8,38.3,39.9,40.6,39.9,38.4,34.1,32,31.6
20000,37.7,37.1,36.6,35.8,35.3,34.2,34.4,34,33.5,35.8,35.7,34.9,36.6,37.3,36.4,34.7,30.5,28.4,28
25000,33.9,33.2,32.7,32,31.6,30.4,30.7,30.5,30.1,32.6,32.4,31.3,33.1,33.8,32.7,30.8,26.6,24.5,24.2
