C-130,T56-A-15,Power runup (775 C TIT)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.2,93.1,93.1,91.8,92.2,95.1,92.3,91.4,93.1,92.8,90.9,91.2,90.9,90.1,87.9,81.8,75.1,68.4,61.8
250,90.9,90.8,90.8,89.6,90,93,90.1,89.2,91,90.7,88.8,89.1,88.7,87.9,85.8,79.7,73,66.3,59.7
315,88.6,88.5,88.5,87.3,87.7,90.8,87.9,86.9,88.8,88.5,86.6,86.9,86.6,85.8,83.6,77.5,70.8,64.1,57.5
400,86.3,86.1,86.1,85,85.3,88.6,85.6,84.6,86.5,86.4,84.4,84.8,84.4,83.6,81.4,75.3,68.6,61.9,55.3
500,84,83.7,83.6,82.6,82.9,86.4,83.2,82.3,84.3,84.2,82.2,82.6,82.2,81.4,79.2,73.1,66.4,59.7,53.1
630,81.5,81.2,81.1,80.1,80.5,84.1,80.8,79.9,82,81.9,80,80.3,79.9,79.2,76.9,70.8,64.1,57.4,50.8
800,79.1,78.7,78.6,77.7,78,81.8,78.4,77.4,79.6,79.6,77.7,78.1,77.6,76.9,74.6,68.5,61.8,55.1,48.5
1000,76.6,76.2,76,75.2,75.4,79.4,75.9,74.9,77.3,77.3,75.4,75.8,75.3,74.6,72.3,66.1,59.5,52.8,46.1
1250,74,73.6,73.3,72.6,72.8,77,73.3,72.3,74.8,75,73,73.4,73,72.2,69.9,63.7,57,50.3,43.7
1600,71.4,70.9,70.7,70,70.1,74.5,70.7,69.6,72.3,72.6,70.6,71.1,70.5,69.8,67.4,61.2,54.6,47.9,41.2
2000,68.7,68.2,67.9,67.3,67.3,72,68,66.9,69.8,70.1,68.2,68.6,68.1,67.3,64.9,58.7,52,45.3,38.7
2500,66,65.4,65.1,64.5,64.5,69.3,65.3,64.2,67.2,67.5,65.7,66.2,65.6,64.7,62.4,56.1,49.4,42.7,36.1
3150,63.1,62.5,62.2,61.7,61.6,66.6,62.5,61.3,64.6,64.9,63.2,63.7,63,62.1,59.7,53.3,46.6,39.9,33.3
4000,60.2,59.5,59.2,58.8,58.6,63.8,59.6,58.5,61.9,62.3,60.6,61.1,60.3,59.4,57,50.5,43.8,37.1,30.5
5000,57.2,56.4,56.1,55.7,55.5,60.9,56.6,55.5,59.1,59.5,58,58.5,57.6,56.7,54.2,47.6,40.9,34.2,27.6
6300,54.1,53.2,52.9,52.6,52.3,57.8,53.6,52.5,56.3,56.7,55.4,55.9,54.9,53.8,51.4,44.5,37.8,31.1,24.5
8000,50.9,49.8,49.6,49.3,49,54.6,50.4,49.5,53.4,53.8,52.7,53.2,52,50.9,48.4,41.3,34.6,27.9,21.3
10000,47.5,46.3,46,45.8,45.5,51.2,47.2,46.5,50.5,50.9,50,50.4,49.1,47.8,45.3,38,31.3,24.6,18
12500,44,42.6,42.4,42.2,41.9,47.5,43.8,43.4,47.5,47.9,47.2,47.7,46.1,44.6,42.1,34.6,27.9,21.2,14.6
16000,40.3,38.7,38.5,38.3,38.2,43.6,40.2,40.2,44.5,44.9,44.5,44.8,43,41.3,38.8,31.2,24.5,17.8,11.2
20000,36.4,34.7,34.5,34.3,34.2,39.5,36.6,37,41.5,41.8,41.7,42,39.9,37.9,35.3,27.6,20.9,14.2,7.6
25000,32.2,30.4,30.3,30.1,30.2,35.1,32.8,33.7,38.4,38.8,38.8,39.1,36.7,34.5,31.7,24.2,17.5,10.8,4.2
