C-131B,R-2800-103W,Takeoff (2800 RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,107.9,107.6,105.9,105.8,105.3,105,104.5,105.6,107.9,107.9,109.4,110.3,110.7,110.9,102.5,93.8,89.6,79.6,69.6
250,105.8,105.5,103.9,103.7,103.2,102.9,102.5,103.5,105.8,105.9,107.3,108.2,108.7,108.8,100.4,91.8,87.5,77.5,67.5
315,103.7,103.4,101.8,101.6,101.1,100.8,100.3,101.4,103.7,103.8,105.2,106.1,106.6,106.7,98.4,89.6,85.4,75.4,65.4
400,101.7,101.4,99.7,99.5,99,98.7,98.2,99.3,101.6,101.7,103.1,104,104.4,104.6,96.2,87.5,83.2,73.2,63.2
500,99.6,99.3,97.6,97.4,96.9,96.6,96.1,97.1,99.4,99.6,101,101.8,102.3,102.5,94.1,85.4,81.1,71.1,61.1
630,97.4,97.1,95.4,95.2,94.7,94.5,93.9,94.9,97.3,97.4,98.8,99.7,100.1,100.3,92,83.2,78.9,68.9,58.9
800,95.3,95,93.3,93.1,92.5,92.3,91.6,92.7,95,95.2,96.6,97.4,97.9,98.1,89.8,81,76.7,66.7,56.7
1000,93.1,92.8,91,90.8,90.3,90.1,89.4,90.5,92.8,93,94.3,95.2,95.6,95.9,87.6,78.8,74.4,64.4,54.4
1250,90.9,90.6,88.8,88.5,88,87.9,87.1,88.2,90.5,90.8,92.1,92.9,93.3,93.6,85.3,76.5,72.1,62.1,52.1
1600,88.6,88.3,86.5,86.2,85.7,85.6,84.7,85.8,88.2,88.5,89.7,90.6,90.9,91.3,83,74.2,69.7,59.7,49.7
2000,86.3,86,84.2,83.8,83.4,83.2,82.3,83.4,85.8,86.2,87.3,88.2,88.5,89,80.7,71.9,67.3,57.3,47.3
2500,83.9,83.7,81.7,81.4,80.9,80.8,79.8,80.9,83.4,83.8,84.9,85.7,86,86.6,78.3,69.5,64.8,54.8,44.8
3150,81.5,81.2,79.2,78.8,78.4,78.4,77.2,78.4,80.9,81.3,82.3,83.2,83.5,84.1,75.9,67,62.3,52.3,42.3
4000,78.9,78.7,76.7,76.1,75.8,75.8,74.5,75.7,78.3,78.8,79.7,80.6,80.8,81.5,73.3,64.5,59.6,49.6,39.6
5000,76.3,76,74,73.4,73.1,73.2,71.7,73,75.6,76.2,77,77.9,78,78.9,70.7,62,56.9,46.9,36.9
6300,73.5,73.2,71.2,70.4,70.3,70.4,68.9,70.2,72.9,73.5,74.2,75,75.2,76.1,68,59.3,54.1,44.1,34.1
8000,70.6,70.3,68.2,67.4,67.3,67.5,65.8,67.2,70,70.7,71.3,72,72.1,73.2,65.2,56.6,51.1,41.1,31.1
10000,67.5,67.2,65.1,64.1,64.2,64.4,62.7,64,66.9,67.7,68.3,68.9,68.9,70.1,62.2,53.8,48.1,38.1,28.1
12500,64.2,63.9,61.8,60.7,60.9,61.1,59.3,60.7,63.6,64.6,65.1,65.6,65.6,66.9,59.1,50.9,45,35,25
16000,60.6,60.3,58.3,57.1,57.4,57.6,55.8,57.2,60.2,61.2,61.7,62,62,63.5,55.9,47.9,41.8,31.8,21.8
20000,56.7,56.4,54.5,53.3,53.8,53.9,52,53.5,56.5,57.7,58.2,58.3,58.3,59.8,52.5,44.8,38.5,28.5,18.5
25000,52.5,52.2,50.5,49.3,49.9,49.8,48.1,49.4,52.5,53.8,54.5,54.2,54.3,55.8,48.9,41.5,35.1,25.1,15.1
