C-17,F117-PW-100,Intermediate power (92% NC)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,107.4,105.5,106.3,106.5,106.1,104.2,102.9,103,103,103.5,104.6,104.6,103.8,101.5,97.8,94.9,88.3,81.6,74.9
250,105.2,103.2,104,104.2,103.8,101.8,100.5,100.6,100.6,101.1,102.2,102.2,101.4,99.3,95.6,92.8,86.1,79.4,72.8
315,102.8,100.8,101.5,101.8,101.5,99.4,98,98.2,98.1,98.6,99.7,99.7,99.1,97,93.4,90.6,83.9,77.3,70.6
400,100.4,98.3,99,99.4,99.1,96.9,95.5,95.6,95.6,96,97.1,97.2,96.6,94.8,91.2,88.4,81.7,75.1,68.4
500,97.9,95.7,96.4,96.9,96.6,94.3,92.8,93,93,93.4,94.4,94.6,94.2,92.5,88.9,86.2,79.5,72.8,66.2
630,95.3,93.1,93.7,94.3,94.1,91.7,90.1,90.3,90.3,90.7,91.7,91.9,91.7,90.2,86.7,83.9,77.3,70.6,63.9
800,92.6,90.3,90.8,91.6,91.4,88.9,87.3,87.6,87.6,88,88.9,89.2,89.2,87.9,84.4,81.7,75,68.3,61.7
1000,89.8,87.4,87.8,88.8,88.6,86.1,84.4,84.7,84.8,85.2,86.1,86.4,86.6,85.6,82.1,79.4,72.7,66,59.4
1250,86.8,84.4,84.7,85.8,85.7,83.1,81.5,81.9,81.9,82.4,83.2,83.6,84.1,83.2,79.8,77,70.4,63.7,57
1600,83.7,81.3,81.4,82.8,82.7,80.1,78.5,78.9,79,79.5,80.4,80.9,81.5,80.9,77.4,74.7,68,61.4,54.7
2000,80.3,78,78,79.5,79.4,76.9,75.5,75.9,76.1,76.7,77.5,78.1,79,78.5,75.1,72.3,65.6,59,52.3
2500,76.8,74.5,74.4,76,76,73.7,72.5,72.9,73.2,73.8,74.7,75.4,76.4,76,72.7,69.9,63.2,56.5,49.9
3150,73,70.9,70.7,72.4,72.3,70.4,69.4,69.8,70.2,71,71.8,72.7,73.8,73.6,70.3,67.4,60.7,54.1,47.4
4000,68.8,67,66.8,68.4,68.5,66.9,66.2,66.7,67.1,68.1,69,69.9,71.2,71.1,67.8,64.9,58.2,51.6,44.9
5000,64.4,63.1,62.9,64.3,64.4,63.5,63,63.5,64,65.2,66,67.1,68.5,68.5,65.3,62.3,55.6,49,42.3
6300,59.9,59,58.9,60.2,60.3,60,59.8,60.3,60.9,62.2,63.1,64.3,65.8,65.8,62.8,59.6,53,46.3,39.6
8000,55.4,55.1,55,56.1,56.4,56.5,56.6,57.1,57.7,59.1,60,61.3,62.9,63.1,60.2,56.9,50.2,43.6,36.9
10000,51.3,51.3,51.3,52.4,52.7,53,53.3,53.8,54.5,56,56.9,58.3,60,60.3,57.5,54.1,47.4,40.8,34.1
12500,47.5,47.7,47.7,48.7,49.2,49.5,49.9,50.4,51.1,52.7,53.7,55.1,56.9,57.3,54.8,51.2,44.5,37.9,31.2
16000,44,44.2,44.2,45.2,45.7,46,46.4,47,47.7,49.3,50.4,51.8,53.6,54.2,51.9,48.2,41.5,34.9,28.2
20000,40.5,40.6,40.6,41.5,42,42.3,42.7,43.4,44.1,45.8,46.9,48.3,50.2,51,48.9,45,38.3,31.7,25
25000,37,37,36.9,37.8,38.3,38.5,39,39.7,40.4,42.2,43.2,44.6,46.6,47.6,45.8,41.7,35,28.4,21.7
