C-20,SPEYMK511-8,Power runup (2000 lbs.)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,96.3,95.8,97.2,100.3,98,98.5,97.4,94.6,94.9,95.1,100.2,97.1,94.8,94.1,92.2,91.3,88.9,88.5,70
250,94,93.5,94.8,98,95.7,96.2,95.1,92.3,92.6,92.8,97.9,94.8,92.5,91.8,89.9,89.1,86.7,86.3,67.7
315,91.6,91.1,92.4,95.6,93.3,93.8,92.7,90,90.2,90.4,95.6,92.4,90.1,89.5,87.6,86.8,84.4,84,65.4
400,89.1,88.6,89.9,93.1,90.9,91.3,90.3,87.5,87.8,87.9,93.2,90,87.6,87.1,85.2,84.4,82.1,81.6,63.1
500,86.6,86.1,87.3,90.5,88.3,88.7,87.7,85,85.2,85.3,90.7,87.5,85,84.6,82.8,82,79.7,79.2,60.6
630,83.9,83.4,84.5,87.8,85.6,86,85.1,82.3,82.6,82.6,88,84.8,82.4,82,80.3,79.5,77.3,76.6,58.1
800,81.1,80.5,81.6,85,82.8,83.1,82.3,79.5,79.8,79.7,85.3,82,79.6,79.4,77.7,76.9,74.7,74,55.5
1000,78.1,77.5,78.6,81.9,79.8,80.1,79.3,76.6,76.8,76.7,82.3,79.1,76.6,76.6,75,74.3,72.2,71.3,52.7
1250,74.9,74.4,75.3,78.7,76.6,76.9,76.1,73.4,73.7,73.5,79.1,75.9,73.6,73.7,72.3,71.6,69.6,68.4,49.9
1600,71.6,71,71.9,75.3,73.2,73.4,72.7,70,70.3,70.1,75.7,72.6,70.3,70.7,69.5,68.9,66.9,65.5,46.9
2000,68,67.4,68.3,71.5,69.5,69.6,69,66.4,66.7,66.5,71.9,69,67,67.6,66.7,66.2,64.3,62.5,43.9
2500,64.3,63.7,64.4,67.5,65.4,65.6,65,62.6,62.8,62.7,67.8,65.1,63.6,64.5,63.8,63.5,61.6,59.5,40.9
3150,60.3,59.8,60.4,63.2,61.1,61.2,60.7,58.7,58.7,58.8,63.3,61,60.1,61.5,61.1,60.9,59.1,56.6,38
4000,56.2,55.8,56.3,58.6,56.4,56.7,56.1,54.6,54.5,54.8,58.5,56.9,56.8,58.5,58.4,58.3,56.5,53.8,35.2
5000,52.1,51.8,52.2,53.8,51.7,52,51.5,50.8,50.3,51,53.5,53,53.7,55.7,55.8,55.7,54.1,51.2,32.6
6300,48,48,48.2,49.1,47,47.5,47.2,47.1,46.6,47.5,48.9,49.4,50.7,52.9,53.2,53.2,51.6,48.7,30.1
8000,44,44.3,44.3,44.6,42.8,43.3,43.3,43.7,43.1,44.2,44.9,46.2,47.9,50.2,50.5,50.7,49.1,46.2,27.6
10000,40.2,40.7,40.5,40.4,39,39.5,39.7,40.5,39.9,41,41.5,43.1,45,47.3,47.9,48.1,46.5,43.8,25.1
12500,36.5,37.1,36.7,36.4,35.3,35.8,36.3,37.2,36.6,37.8,38.2,40,42,44.4,45.1,45.4,43.9,41.2,22.5
16000,32.7,33.4,32.9,32.4,31.7,32.2,32.9,33.8,33.3,34.5,34.8,36.8,38.9,41.3,42.1,42.5,41.2,38.5,19.9
20000,28.9,29.7,29,28.4,28,28.5,29.3,30.3,29.8,31.1,31.4,33.4,35.6,38,39,39.6,38.3,35.8,17.1
25000,25,25.7,24.9,24.3,24.2,24.6,25.7,26.6,26.1,27.4,27.7,29.9,32.1,34.4,35.7,36.4,35.3,32.9,14.2
