C-5A,TF39-GE-1A,Idle (64% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,95.6,93.7,91.4,88.3,90.4,90.9,90.9,87.8,86.8,86.3,84.7,86.5,87.7,88.7,89,86.6,83.4,81.5,61.5
250,93.3,91.4,89.1,86.1,88.1,88.6,88.8,85.5,84.6,84.1,82.5,84.3,85.5,86.5,86.8,84.5,81.2,79.3,59.3
315,91,89.1,86.8,83.8,85.8,86.3,86.5,83.3,82.5,81.9,80.3,82,83.3,84.3,84.6,82.3,79,77.1,57.1
400,88.7,86.7,84.5,81.5,83.5,84,84.3,80.9,80.3,79.7,78,79.7,81,82.1,82.3,80.1,76.7,74.9,54.9
500,86.2,84.2,82,79.1,81,81.5,82,78.6,78,77.5,75.7,77.3,78.7,79.8,80,77.8,74.5,72.7,52.7
630,83.7,81.7,79.5,76.6,78.5,79,79.6,76.1,75.8,75.2,73.4,74.9,76.4,77.4,77.7,75.5,72.1,70.4,50.4
800,81,79,76.8,74.1,75.9,76.4,77.1,73.6,73.5,72.9,71,72.4,74,75,75.3,73.2,69.7,68,48
1000,78.3,76.2,74.1,71.5,73.2,73.7,74.6,71,71.1,70.5,68.6,69.8,71.5,72.6,72.8,70.8,67.3,65.7,45.7
1250,75.5,73.3,71.3,68.8,70.4,71,72,68.4,68.7,68.1,66.1,67.1,69,70,70.3,68.4,64.8,63.3,43.3
1600,72.6,70.4,68.4,66,67.6,68.1,69.2,65.7,66.2,65.6,63.6,64.4,66.4,67.4,67.8,65.9,62.2,60.8,40.8
2000,69.7,67.3,65.4,63.2,64.6,65.1,66.3,62.9,63.7,63.1,61,61.6,63.6,64.7,65.2,63.3,59.6,58.3,38.3
2500,66.7,64.2,62.3,60.2,61.5,62.1,63.3,60.2,61.1,60.4,58.3,58.6,60.8,61.8,62.6,60.7,57,55.7,35.7
3150,63.7,60.9,59.2,57.2,58.3,59,60.1,57.3,58.4,57.7,55.5,55.6,57.8,58.9,59.8,58,54.2,53,33
4000,60.6,57.7,56,54.1,55,55.7,56.6,54.4,55.6,54.9,52.7,52.4,54.8,55.8,57,55.1,51.3,50.1,30.1
5000,57.4,54.2,52.7,50.8,51.6,52.3,52.9,51.4,52.6,51.9,49.7,49.1,51.5,52.5,54,52.1,48.3,47.2,27.2
6300,54.1,50.7,49.3,47.4,48,48.7,48.9,48.3,49.5,48.8,46.5,45.6,48.1,49,50.9,49,45.1,44,24
8000,50.6,47,45.7,43.8,44.2,45.1,44.7,45,46.2,45.6,43.2,42.1,44.6,45.4,47.6,45.6,41.8,40.6,20.6
10000,46.8,43.1,42,40,40.3,41.2,40.3,41.5,42.6,42.1,39.7,38.4,40.8,41.6,44,41.9,38.2,36.9,16.9
12500,42.7,39,38,36,36.1,37.1,35.7,37.8,38.8,38.4,35.9,34.6,36.9,37.5,40,37.9,34.3,32.8,12.8
16000,38.2,34.6,33.8,31.6,31.8,32.7,31.1,33.7,34.6,34.3,31.9,30.6,32.7,33.2,35.6,33.5,30.1,28.3,8.3
20000,33.3,30,29.3,26.9,27.2,28,26.4,29.4,30.1,29.9,27.6,26.6,28.4,28.5,30.7,28.7,25.6,23.3,3.3
25000,27.9,25.1,24.5,21.8,22.4,23,21.7,24.8,25.1,25.1,23,22.4,23.9,23.4,25.3,23.5,20.9,17.9,-2.1
