C-5A,TF39-GE-1A,Maximum power (96% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,116.6,114.5,112,115.9,116.4,115.5,117.1,114.8,115.8,113,112.6,115.1,114.5,112,109.4,105.8,102.7,92.7,82.7
250,114.3,112.3,109.8,113.6,114.1,113.2,114.8,112.5,113.6,110.8,110.3,112.8,112.2,109.7,107.2,103.5,100.4,90.4,80.4
315,112.1,110,107.5,111.4,111.8,111,112.5,110.2,111.2,108.4,107.9,110.5,109.8,107.3,104.8,101.1,98.1,88.1,78.1
400,109.7,107.7,105.2,109,109.5,108.6,110.2,107.7,108.8,106,105.4,108,107.4,104.9,102.4,98.7,95.7,85.7,75.7
500,107.3,105.3,102.8,106.6,107.1,106.2,107.8,105.2,106.3,103.5,102.9,105.5,104.9,102.4,100,96.2,93.2,83.2,73.2
630,104.8,102.7,100.3,104.1,104.6,103.6,105.2,102.5,103.8,100.9,100.2,102.9,102.3,99.9,97.4,93.7,90.6,80.6,70.6
800,102.2,100.1,97.7,101.5,102,101,102.6,99.8,101.1,98.2,97.4,100.1,99.6,97.2,94.7,91,87.9,77.9,67.9
1000,99.4,97.4,95,98.8,99.3,98.3,99.9,96.9,98.3,95.3,94.5,97.3,96.7,94.4,91.9,88.2,85.1,75.1,65.1
1250,96.5,94.5,92.2,95.9,96.4,95.4,97,93.9,95.4,92.4,91.5,94.2,93.7,91.4,89,85.3,82.1,72.1,62.1
1600,93.5,91.4,89.1,92.9,93.4,92.3,93.9,90.7,92.3,89.2,88.3,91,90.6,88.3,85.9,82.2,79,69,59
2000,90.2,88.2,85.9,89.6,90.1,89.1,90.7,87.4,89,86,84.9,87.6,87.2,85,82.7,79.1,75.8,65.8,55.8
2500,86.6,84.6,82.4,86,86.6,85.6,87.2,83.9,85.5,82.5,81.3,84,83.7,81.6,79.3,75.8,72.3,62.3,52.3
3150,82.7,80.8,78.7,82.1,82.9,81.9,83.5,80.3,81.8,78.8,77.6,80.2,79.9,78,75.8,72.4,68.7,58.7,48.7
4000,78.5,76.6,74.6,77.8,78.7,77.9,79.4,76.5,77.8,74.9,73.7,76.1,75.9,74.3,72.1,68.9,65,55,45
5000,73.8,71.9,70.2,73,74.3,73.6,75.1,72.5,73.6,70.8,69.7,71.7,71.7,70.5,68.4,65.5,61.2,51.2,41.2
6300,68.7,66.9,65.4,67.8,69.5,69.2,70.5,68.3,69.2,66.6,65.6,67.2,67.4,66.7,64.8,62.2,57.5,47.5,37.5
8000,63.4,61.7,60.6,62.4,64.7,64.6,65.8,64.1,64.8,62.4,61.6,62.8,63.2,63.2,61.4,59.1,53.9,43.9,33.9
10000,58.2,56.6,55.8,57,60.1,60.2,61.1,59.8,60.5,58.3,57.8,58.7,59.4,59.8,58.2,56,50.5,40.5,30.5
12500,53.4,51.8,51.4,52.3,55.8,56,56.5,55.6,56.4,54.5,54.2,54.9,55.7,56.5,55.1,53,47.1,37.1,27.1
16000,49,47.5,47.2,48,51.7,52,51.9,51.3,52.3,50.6,50.5,51.3,52.2,53.2,51.9,49.9,43.7,33.7,23.7
20000,44.8,43.4,43.1,44,47.6,47.9,47.3,47,48.2,46.7,46.8,47.7,48.6,49.8,48.7,46.8,40.2,30.2,20.2
25000,40.5,39.2,39,39.8,43.4,43.6,42.5,42.6,43.9,42.7,42.9,43.9,45,46.2,45.4,43.6,36.6,26.6,16.6
