C-9A,JT8D-9A,1.7 EPR,,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,100.2,100.8,102.3,102.2,102.2,101.5,100.9,99.1,102.5,102.2,102.9,104.5,105.3,103.9,109.3,111.3,107.6,97.6,87.6
250,97.9,98.4,100,99.9,99.9,99.2,98.7,96.9,100.3,100,100.7,102.3,103.2,101.8,107.2,109.3,105.5,95.5,85.5
315,95.5,96.1,97.6,97.6,97.5,96.9,96.4,94.6,98,97.7,98.4,100.1,101,99.7,105.1,107.2,103.5,93.5,83.5
400,93.1,93.6,95.2,95.1,95,94.4,94,92.3,95.6,95.4,96.1,97.9,98.8,97.6,103,105.1,101.4,91.4,81.4
500,90.5,91.1,92.7,92.6,92.5,91.9,91.5,89.9,93.2,93,93.7,95.6,96.5,95.4,100.9,103.1,99.3,89.3,79.3
630,87.9,88.4,90,90,89.9,89.3,89,87.5,90.6,90.5,91.2,93.2,94.2,93.2,98.7,100.9,97.2,87.2,77.2
800,85.2,85.7,87.3,87.2,87.1,86.5,86.3,84.9,88.1,88,88.6,90.8,91.9,91,96.5,98.8,95.1,85.1,75.1
1000,82.3,82.8,84.4,84.3,84.2,83.6,83.5,82.4,85.4,85.4,86,88.3,89.5,88.7,94.2,96.6,93,83,73
1250,79.3,79.9,81.4,81.3,81.1,80.5,80.6,79.7,82.6,82.7,83.3,85.7,87,86.4,92,94.4,90.8,80.8,70.8
1600,76.2,76.8,78.3,78.1,77.9,77.3,77.6,76.9,79.8,79.9,80.4,83.1,84.4,84.1,89.6,92.2,88.6,78.6,68.6
2000,72.9,73.6,75,74.8,74.6,73.9,74.5,74.1,76.8,77.1,77.5,80.3,81.8,81.7,87.2,89.9,86.4,76.4,66.4
2500,69.4,70.3,71.6,71.3,71.1,70.4,71.3,71.2,73.8,74.2,74.5,77.4,79.1,79.3,84.8,87.6,84.1,74.1,64.1
3150,66,67,68.2,67.8,67.6,66.8,68,68.2,70.7,71.2,71.3,74.4,76.3,76.8,82.3,85.2,81.8,71.8,61.8
4000,62.5,63.7,64.9,64.2,64.1,63.2,64.7,65.1,67.5,68.1,68.1,71.3,73.3,74.2,79.7,82.7,79.5,69.5,59.5
5000,59.1,60.5,61.6,60.8,60.6,59.7,61.3,61.9,64.2,64.9,64.8,68,70.3,71.6,77,80.2,77,67,57
6300,55.9,57.3,58.4,57.3,57.1,56.2,57.9,58.6,60.8,61.5,61.4,64.6,67.1,68.9,74.2,77.6,74.5,64.5,54.5
8000,52.7,54.1,55.2,53.9,53.6,52.8,54.4,55.2,57.3,58.1,57.9,61.1,63.8,66.1,71.4,74.8,71.9,61.9,51.9
10000,49.6,50.9,52,50.5,50,49.2,50.8,51.6,53.7,54.5,54.3,57.5,60.4,63.2,68.4,72,69.2,59.2,49.2
12500,46.3,47.6,48.6,46.9,46.3,45.7,47.2,48,50,50.8,50.6,53.8,56.9,60.3,65.4,69,66.4,56.4,46.4
16000,43,44.2,45.1,43.2,42.5,42,43.5,44.3,46.2,46.9,46.9,50,53.3,57.2,62.2,65.9,63.5,53.5,43.5
20000,39.4,40.6,41.3,39.4,38.6,38.3,39.8,40.4,42.3,43,43.2,46.2,49.6,53.9,58.9,62.6,60.4,50.4,40.4
25000,35.7,36.8,37.4,35.3,34.6,34.5,35.9,36.4,38.4,39.1,39.3,42.2,45.8,50.5,55.5,59.1,57.1,47.1,37.1
