C-9A,JT8D-9A,Takeoff (2 EPR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,99,99.7,100.5,100.6,100.8,99.6,102,102.9,103.9,105.6,108.7,109.5,110.8,114.8,117.1,120.5,117.8,105,85
250,96.8,97.5,98.3,98.4,98.6,97.5,99.8,100.8,101.7,103.4,106.5,107.3,108.7,112.6,115.1,118.4,115.7,103,83
315,94.5,95.3,96.1,96.2,96.3,95.2,97.6,98.5,99.4,101.2,104.3,105,106.5,110.5,113,116.3,113.6,101,81
400,92.2,93,93.8,93.9,94.1,93,95.3,96.3,97.1,98.9,102,102.7,104.3,108.3,110.8,114.2,111.6,98.9,78.9
500,89.8,90.7,91.4,91.6,91.7,90.7,93,93.9,94.7,96.5,99.7,100.4,102.1,106.1,108.7,112.1,109.5,96.8,76.8
630,87.4,88.3,89,89.2,89.3,88.3,90.6,91.5,92.2,94.1,97.3,98,99.8,103.8,106.5,110,107.4,94.8,74.8
800,84.9,85.8,86.6,86.7,86.9,85.9,88.1,89.1,89.7,91.6,94.8,95.6,97.5,101.5,104.3,107.8,105.2,92.7,72.7
1000,82.3,83.3,84.1,84.2,84.3,83.4,85.6,86.6,87,89,92.3,93,95.1,99.2,102.1,105.6,103.1,90.5,70.5
1250,79.7,80.8,81.6,81.6,81.7,80.8,82.9,84,84.3,86.4,89.6,90.5,92.6,96.8,99.8,103.4,100.9,88.4,68.4
1600,77,78.1,79,79,79,78.1,80.2,81.3,81.5,83.6,86.9,87.8,90.1,94.3,97.5,101.1,98.7,86.2,66.2
2000,74.3,75.4,76.3,76.2,76.2,75.4,77.4,78.5,78.6,80.8,84.1,85,87.5,91.7,95.1,98.8,96.4,84,64
2500,71.4,72.6,73.6,73.4,73.4,72.5,74.5,75.6,75.7,77.9,81.2,82.2,84.8,89.1,92.6,96.4,94.1,81.7,61.7
3150,68.6,69.8,70.8,70.6,70.4,69.6,71.5,72.6,72.6,74.9,78.2,79.3,82,86.3,90,93.9,91.7,79.4,59.4
4000,65.7,67,68,67.6,67.3,66.5,68.3,69.5,69.5,71.8,75,76.2,79.1,83.5,87.4,91.4,89.2,77,57
5000,62.8,64,65,64.6,64.1,63.4,65.1,66.3,66.3,68.5,71.7,73,76.1,80.5,84.7,88.8,86.7,74.6,54.6
6300,59.9,61,62,61.4,60.8,60.1,61.8,62.9,63,65.1,68.3,69.7,72.9,77.4,81.8,86,84,72,52
8000,56.9,57.9,58.9,58.1,57.4,56.7,58.3,59.4,59.6,61.6,64.7,66.2,69.7,74.3,78.9,83.2,81.3,69.3,49.3
10000,53.8,54.8,55.7,54.7,53.8,53.2,54.7,55.8,56.1,57.9,61,62.6,66.3,71,75.8,80.2,78.4,66.5,46.5
12500,50.5,51.4,52.3,51.2,50.1,49.6,51.1,52.1,52.6,54.1,57.2,58.8,62.7,67.6,72.6,77.1,75.4,63.6,43.6
16000,47.1,47.9,48.8,47.4,46.3,45.9,47.3,48.3,49,50.2,53.2,55,59.1,64.1,69.3,73.7,72.2,60.4,40.4
20000,43.5,44.3,45.1,43.5,42.3,42.1,43.4,44.3,45.3,46.3,49.2,51,55.3,60.5,65.9,70.2,68.8,57.1,37.1
25000,39.7,40.5,41.1,39.3,38.2,38.1,39.3,40.3,41.6,42.2,45.1,46.9,51.3,56.8,62.3,66.4,65.2,53.5,33.5
