CH-46E,T58-GE-16,Ground idle (15% QQBPA)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,76.5,76.1,75.8,75.5,75.2,75,74.9,75,75.2,75.4,75.6,75.9,76.1,77.8,79.5,81.3,83,84.8,86.6
250,74.4,74,73.7,73.4,73.1,72.9,72.7,72.9,73.1,73.3,73.5,73.8,74.1,75.8,77.5,79.2,80.9,82.7,84.5
315,72.3,71.9,71.5,71.3,71,70.8,70.6,70.8,71,71.2,71.4,71.7,72,73.7,75.4,77.1,78.8,80.6,82.4
400,70.2,69.8,69.4,69.1,68.8,68.6,68.5,68.7,68.8,69.1,69.3,69.6,69.9,71.6,73.2,75,76.7,78.4,80.2
500,68,67.6,67.2,67,66.7,66.5,66.3,66.5,66.7,67,67.2,67.5,67.8,69.4,71.1,72.8,74.5,76.3,78.1
630,65.9,65.4,65.1,64.8,64.5,64.3,64.1,64.3,64.5,64.8,65,65.3,65.6,67.3,69,70.7,72.3,74.1,75.9
800,63.7,63.2,62.8,62.5,62.2,62,61.8,62.1,62.3,62.6,62.8,63.1,63.5,65.1,66.8,68.5,70.1,71.9,73.6
1000,61.4,61,60.6,60.3,60,59.7,59.6,59.8,60,60.4,60.6,60.9,61.3,62.9,64.5,66.2,67.9,69.6,71.4
1250,59.1,58.7,58.3,58,57.7,57.4,57.2,57.5,57.8,58.1,58.4,58.7,59,60.6,62.3,64,65.6,67.3,69.1
1600,56.8,56.4,56,55.6,55.3,55.1,54.9,55.2,55.4,55.8,56.1,56.4,56.7,58.3,60,61.6,63.3,65,66.7
2000,54.5,54,53.6,53.3,52.9,52.7,52.5,52.8,53,53.4,53.7,54,54.4,56,57.6,59.3,60.9,62.6,64.3
2500,52.1,51.6,51.1,50.8,50.5,50.2,50,50.3,50.6,51,51.3,51.6,52,53.6,55.2,56.8,58.4,60.1,61.8
3150,49.6,49.1,48.7,48.3,47.9,47.7,47.4,47.8,48.1,48.4,48.8,49.1,49.5,51.1,52.7,54.3,55.9,57.6,59.2
4000,47.1,46.6,46.1,45.7,45.3,45,44.8,45.2,45.5,45.9,46.2,46.6,47,48.5,50.1,51.7,53.3,55,56.6
5000,44.5,44,43.5,43.1,42.7,42.3,42.1,42.4,42.8,43.2,43.5,43.9,44.3,45.9,47.5,49.1,50.6,52.3,53.9
6300,41.8,41.3,40.8,40.3,39.9,39.6,39.3,39.6,40,40.4,40.8,41.2,41.6,43.1,44.7,46.3,47.8,49.5,51.1
8000,39,38.5,37.9,37.5,37.1,36.7,36.4,36.7,37.1,37.5,37.9,38.3,38.7,40.2,41.8,43.4,44.9,46.5,48.1
10000,36.2,35.6,35,34.6,34.1,33.7,33.3,33.7,34.1,34.5,34.9,35.3,35.7,37.2,38.8,40.4,41.9,43.5,45.1
12500,33.1,32.6,32,31.5,31,30.6,30.2,30.6,30.9,31.3,31.7,32.1,32.5,34.1,35.6,37.2,38.7,40.3,41.9
16000,29.9,29.4,28.8,28.3,27.8,27.3,26.9,27.3,27.6,28,28.4,28.8,29.2,30.7,32.3,33.8,35.3,36.9,38.5
20000,26.5,25.9,25.4,24.9,24.4,23.9,23.5,23.9,24.2,24.6,25,25.3,25.7,27.2,28.7,30.3,31.8,33.3,34.9
25000,22.8,22.2,21.7,21.2,20.8,20.3,19.9,20.2,20.5,20.9,21.3,21.6,22,23.5,25,26.5,27.9,29.5,31
