CH-46E,T58-GE-16,IGE lite (72% QQBPA)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,92.2,92.1,92.1,92.1,92.1,92.1,92.2,92.3,92.4,92.6,92.7,92.9,93.1,93.1,93.1,93.2,93.3,93.4,93.4
250,90.1,90.1,90,90,90,90.1,90.1,90.3,90.4,90.5,90.7,90.8,91,91.1,91.1,91.2,91.2,91.3,91.4
315,88.1,88,88,88,88,88,88.1,88.2,88.3,88.5,88.6,88.8,89,89,89,89.1,89.1,89.2,89.3
400,86,85.9,85.9,85.9,85.9,85.9,86,86.1,86.2,86.4,86.5,86.7,86.9,86.9,86.9,87,87,87.1,87.2
500,83.9,83.8,83.8,83.8,83.8,83.8,83.9,84,84.1,84.3,84.4,84.6,84.8,84.8,84.8,84.9,84.9,85,85.1
630,81.8,81.7,81.7,81.7,81.7,81.7,81.7,81.9,82,82.2,82.3,82.5,82.7,82.7,82.7,82.8,82.8,82.9,82.9
800,79.6,79.6,79.5,79.5,79.5,79.5,79.6,79.7,79.9,80,80.2,80.4,80.6,80.6,80.6,80.6,80.6,80.7,80.7
1000,77.5,77.4,77.3,77.3,77.3,77.3,77.4,77.5,77.7,77.8,78,78.2,78.4,78.4,78.4,78.4,78.4,78.5,78.5
1250,75.2,75.2,75.1,75.1,75.1,75.1,75.1,75.3,75.5,75.6,75.8,76,76.2,76.2,76.2,76.2,76.2,76.2,76.3
1600,73,72.9,72.9,72.8,72.8,72.8,72.9,73,73.2,73.4,73.5,73.7,73.9,73.9,73.9,73.9,73.9,73.9,74
2000,70.7,70.6,70.5,70.5,70.5,70.5,70.5,70.7,70.9,71,71.2,71.4,71.6,71.6,71.6,71.6,71.6,71.6,71.6
2500,68.3,68.2,68.2,68.1,68.1,68.1,68.1,68.3,68.5,68.7,68.8,69,69.3,69.2,69.2,69.2,69.2,69.2,69.2
3150,65.9,65.8,65.7,65.7,65.6,65.6,65.6,65.8,66,66.2,66.4,66.6,66.8,66.8,66.7,66.7,66.7,66.7,66.6
4000,63.4,63.2,63.1,63.1,63,63,63,63.2,63.4,63.6,63.8,64,64.3,64.2,64.2,64.1,64.1,64.1,64
5000,60.7,60.6,60.5,60.4,60.4,60.3,60.4,60.5,60.7,60.9,61.1,61.4,61.6,61.6,61.5,61.5,61.4,61.4,61.3
6300,58,57.8,57.7,57.6,57.6,57.5,57.5,57.7,57.9,58.1,58.3,58.6,58.8,58.8,58.7,58.6,58.5,58.5,58.4
8000,55.1,54.9,54.8,54.7,54.6,54.6,54.6,54.8,55,55.2,55.4,55.6,55.9,55.8,55.7,55.7,55.6,55.5,55.4
10000,52,51.9,51.7,51.6,51.5,51.5,51.5,51.7,51.9,52.1,52.3,52.5,52.8,52.7,52.6,52.5,52.4,52.4,52.3
12500,48.8,48.6,48.5,48.4,48.3,48.2,48.2,48.4,48.6,48.8,49,49.2,49.5,49.4,49.3,49.2,49.1,49,48.9
16000,45.3,45.1,45,44.9,44.8,44.8,44.8,45,45.1,45.4,45.5,45.7,46,45.9,45.8,45.7,45.6,45.5,45.4
20000,41.6,41.4,41.3,41.2,41.2,41.2,41.2,41.3,41.5,41.7,41.8,42,42.2,42.1,42,41.9,41.8,41.7,41.6
25000,37.5,37.4,37.3,37.3,37.3,37.3,37.4,37.5,37.6,37.7,37.9,38,38.2,38.1,38,37.9,37.8,37.7,37.6
