CH-46E,T58-GE-16,OGE lite (75% QQBPA)
 (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,92.5,92.6,92.7,92.9,93,93.2,93.3,93.6,94,94.4,94.7,95.2,95.6,96.5,97.3,98.3,99.2,100.2,101.1
250,90.4,90.6,90.7,90.8,90.9,91.2,91.3,91.6,91.9,92.3,92.7,93.1,93.6,94.4,95.3,96.2,97.1,98.1,99.1
315,88.4,88.5,88.7,88.8,88.9,89.1,89.2,89.5,89.9,90.3,90.6,91.1,91.5,92.4,93.3,94.2,95.1,96.1,97.1
400,86.3,86.4,86.6,86.7,86.8,87,87.2,87.5,87.8,88.2,88.5,89,89.5,90.3,91.2,92.1,93,94.1,95
500,84.2,84.3,84.5,84.6,84.7,84.9,85.1,85.4,85.7,86.1,86.5,86.9,87.4,88.2,89.1,90.1,91,92,93
630,82.1,82.2,82.4,82.5,82.6,82.8,83,83.3,83.6,84,84.4,84.8,85.3,86.1,87,88,88.9,89.9,90.9
800,80,80.1,80.3,80.4,80.5,80.7,80.8,81.2,81.5,81.9,82.2,82.7,83.2,84,84.9,85.9,86.8,87.8,88.8
1000,77.9,78,78.1,78.2,78.4,78.5,78.7,79,79.3,79.7,80.1,80.6,81,81.9,82.8,83.8,84.7,85.7,86.7
1250,75.7,75.8,75.9,76,76.2,76.4,76.5,76.8,77.1,77.6,77.9,78.4,78.9,79.7,80.6,81.6,82.5,83.5,84.5
1600,73.4,73.5,73.7,73.8,73.9,74.1,74.3,74.6,74.9,75.3,75.7,76.2,76.7,77.5,78.4,79.4,80.3,81.4,82.3
2000,71.1,71.2,71.4,71.5,71.6,71.8,72,72.3,72.6,73,73.4,73.9,74.4,75.3,76.2,77.2,78.1,79.1,80.1
2500,68.8,68.9,69,69.1,69.3,69.5,69.6,69.9,70.3,70.7,71.1,71.6,72.1,73,73.9,74.9,75.8,76.9,77.9
3150,66.3,66.4,66.6,66.7,66.8,67,67.1,67.5,67.8,68.3,68.7,69.2,69.7,70.6,71.5,72.5,73.5,74.5,75.5
4000,63.8,63.9,64,64.1,64.3,64.5,64.6,64.9,65.3,65.8,66.2,66.7,67.2,68.1,69.1,70.1,71,72.1,73.1
5000,61.1,61.2,61.3,61.5,61.6,61.8,61.9,62.3,62.7,63.1,63.5,64.1,64.6,65.5,66.5,67.5,68.5,69.5,70.6
6300,58.2,58.3,58.5,58.6,58.7,59,59.1,59.5,59.9,60.4,60.8,61.3,61.9,62.8,63.8,64.8,65.8,66.9,67.9
8000,55.2,55.3,55.5,55.6,55.7,56,56.1,56.5,56.9,57.4,57.9,58.4,59,60,61,62,63,64.1,65.1
10000,51.9,52,52.2,52.3,52.5,52.7,52.9,53.3,53.7,54.3,54.7,55.3,55.9,56.9,57.9,59,60,61.1,62.2
12500,48.4,48.5,48.7,48.8,49,49.2,49.4,49.9,50.3,50.9,51.4,52,52.6,53.6,54.6,55.7,56.7,57.9,59
16000,44.5,44.6,44.8,45,45.2,45.4,45.6,46.1,46.6,47.2,47.7,48.4,49,50,51.1,52.2,53.2,54.4,55.5
20000,40.2,40.4,40.6,40.8,41,41.3,41.5,42,42.5,43.2,43.7,44.4,45.1,46.1,47.2,48.3,49.4,50.5,51.6
25000,35.6,35.7,36,36.2,36.4,36.7,36.9,37.5,38.1,38.7,39.3,40.1,40.8,41.8,42.9,44,45.1,46.3,47.4
