CH-53E,T64-GE-416A,Ground max (21% QQBPA)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.3,93.5,93.7,94,94.3,94.6,95,94.7,94.3,94.1,93.8,93.7,93.5,93,92.6,92.2,91.7,91.4,91
250,91.2,91.4,91.6,91.9,92.2,92.6,92.9,92.6,92.3,92,91.8,91.6,91.4,91,90.5,90.1,89.7,89.3,88.9
315,89.1,89.3,89.5,89.8,90.1,90.5,90.9,90.5,90.2,90,89.7,89.5,89.4,88.9,88.4,88,87.6,87.2,86.8
400,87,87.2,87.4,87.7,88,88.4,88.7,88.4,88.1,87.8,87.6,87.4,87.3,86.8,86.3,85.9,85.5,85.1,84.7
500,84.9,85.1,85.3,85.6,85.9,86.2,86.6,86.3,86,85.7,85.5,85.3,85.2,84.7,84.2,83.8,83.3,82.9,82.5
630,82.7,82.9,83.1,83.4,83.7,84.1,84.4,84.1,83.8,83.6,83.3,83.2,83,82.5,82.1,81.6,81.2,80.8,80.4
800,80.5,80.7,81,81.2,81.5,81.9,82.2,81.9,81.6,81.4,81.1,81,80.9,80.3,79.9,79.4,79,78.6,78.2
1000,78.3,78.5,78.7,79,79.3,79.6,80,79.7,79.4,79.2,78.9,78.8,78.7,78.1,77.7,77.2,76.7,76.3,75.9
1250,76.1,76.2,76.4,76.7,77,77.3,77.7,77.4,77.1,76.9,76.7,76.5,76.4,75.9,75.4,74.9,74.4,74,73.6
1600,73.7,73.9,74.1,74.4,74.6,75,75.3,75,74.7,74.6,74.4,74.2,74.1,73.6,73.1,72.6,72.1,71.7,71.2
2000,71.4,71.6,71.7,72,72.2,72.5,72.9,72.6,72.3,72.2,72,71.9,71.8,71.2,70.7,70.2,69.7,69.3,68.8
2500,69,69.1,69.3,69.5,69.7,70,70.3,70.1,69.9,69.7,69.6,69.5,69.4,68.8,68.3,67.8,67.3,66.8,66.3
3150,66.5,66.6,66.8,67,67.2,67.4,67.7,67.5,67.3,67.2,67,67,66.9,66.4,65.8,65.3,64.8,64.3,63.8
4000,64,64.1,64.2,64.4,64.5,64.8,65,64.8,64.7,64.6,64.4,64.4,64.4,63.8,63.2,62.7,62.2,61.7,61.2
5000,61.3,61.4,61.5,61.6,61.8,62,62.2,62.1,61.9,61.8,61.8,61.7,61.7,61.1,60.6,60,59.5,59,58.5
6300,58.6,58.6,58.7,58.8,58.9,59.1,59.3,59.2,59.1,59,59,59,59,58.4,57.8,57.3,56.7,56.2,55.7
8000,55.8,55.8,55.8,55.9,56,56.1,56.2,56.2,56.1,56.1,56,56.1,56.1,55.5,55,54.4,53.8,53.3,52.8
10000,52.8,52.8,52.8,52.9,52.9,53,53.1,53,53,53,53,53,53.1,52.5,51.9,51.4,50.8,50.3,49.8
12500,49.7,49.7,49.7,49.7,49.7,49.7,49.8,49.8,49.7,49.8,49.8,49.8,49.9,49.3,48.8,48.2,47.7,47.2,46.7
16000,46.4,46.4,46.3,46.4,46.3,46.4,46.4,46.4,46.3,46.4,46.4,46.4,46.5,45.9,45.4,44.9,44.4,43.9,43.4
20000,42.9,42.9,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.3,41.8,41.3,40.8,40.4,39.9
25000,39.1,39.1,39.1,39.1,39,39,39,39,39,39,38.9,39,38.9,38.5,38,37.5,37.1,36.6,36.2
