CH-53E,T64-GE-416A,Ground idle (7% QQBPA)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,76.5,77.1,77.7,78.2,78.8,79.5,80.1,80.3,80.4,80.6,80.8,81,81.2,81.1,81,81.1,81.1,81.2,81.3
250,74.4,74.9,75.5,76.1,76.7,77.3,78,78.1,78.3,78.5,78.7,78.8,79,78.9,78.9,78.9,78.9,79,79.1
315,72.2,72.8,73.4,74,74.5,75.2,75.8,76,76.1,76.3,76.5,76.7,76.9,76.8,76.7,76.7,76.7,76.8,76.9
400,70,70.6,71.2,71.8,72.3,73,73.7,73.8,73.9,74.1,74.3,74.5,74.7,74.5,74.4,74.5,74.5,74.6,74.7
500,67.8,68.4,68.9,69.5,70.1,70.8,71.4,71.6,71.7,71.9,72.1,72.2,72.4,72.3,72.2,72.2,72.2,72.2,72.3
630,65.5,66.1,66.7,67.3,67.8,68.5,69.2,69.3,69.4,69.6,69.8,69.9,70.1,70,69.8,69.8,69.8,69.8,69.9
800,63.2,63.7,64.3,64.9,65.5,66.2,66.9,67,67.1,67.3,67.4,67.6,67.7,67.6,67.4,67.4,67.3,67.4,67.4
1000,60.8,61.3,61.9,62.5,63.1,63.8,64.5,64.6,64.7,64.9,65,65.1,65.3,65.1,64.9,64.8,64.8,64.8,64.8
1250,58.3,58.9,59.5,60.1,60.7,61.4,62.1,62.1,62.2,62.4,62.5,62.6,62.8,62.5,62.3,62.2,62.1,62.1,62.1
1600,55.8,56.3,56.9,57.6,58.2,58.8,59.5,59.6,59.7,59.8,59.9,60.1,60.2,59.9,59.6,59.5,59.4,59.3,59.3
2000,53.2,53.7,54.3,54.9,55.5,56.2,56.9,57,57.1,57.2,57.3,57.4,57.5,57.2,56.8,56.7,56.5,56.4,56.3
2500,50.5,51,51.6,52.2,52.8,53.5,54.2,54.3,54.3,54.4,54.5,54.6,54.7,54.3,53.9,53.7,53.5,53.3,53.2
3150,47.7,48.2,48.8,49.4,50,50.7,51.4,51.5,51.5,51.6,51.6,51.7,51.8,51.3,50.9,50.6,50.3,50.1,49.9
4000,44.8,45.4,45.9,46.5,47.1,47.8,48.5,48.5,48.5,48.6,48.6,48.7,48.8,48.3,47.7,47.4,47,46.7,46.4
5000,41.9,42.4,42.9,43.5,44.1,44.8,45.5,45.5,45.5,45.5,45.5,45.6,45.6,45,44.5,44,43.6,43.2,42.8
6300,38.9,39.3,39.8,40.4,40.9,41.6,42.3,42.3,42.3,42.3,42.3,42.3,42.4,41.7,41.1,40.5,40,39.5,39.1
8000,35.8,36.2,36.6,37.2,37.7,38.3,39,38.9,38.9,39,39,39,39,38.3,37.6,37,36.4,35.8,35.3
10000,32.6,33,33.4,33.9,34.3,34.9,35.5,35.5,35.5,35.5,35.5,35.6,35.6,34.8,34.1,33.4,32.7,32.1,31.5
12500,29.3,29.7,30.1,30.5,30.9,31.4,32,32,32,32,32,32,32.1,31.3,30.5,29.8,29.1,28.4,27.7
16000,26,26.3,26.6,27,27.4,27.8,28.3,28.3,28.3,28.4,28.4,28.4,28.5,27.7,26.9,26.2,25.4,24.8,24
20000,22.5,22.7,23,23.4,23.7,24.1,24.5,24.5,24.6,24.6,24.7,24.7,24.8,24,23.3,22.5,21.8,21.1,20.4
25000,18.7,19,19.2,19.5,19.8,20.2,20.5,20.6,20.6,20.7,20.7,20.8,20.9,20.2,19.4,18.7,18,17.3,16.6
