CH-53E,T64-GE-416A,OGE lite (85% QQBPA),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,100,100.3,100.7,101.1,101.5,102,102.4,102,101.7,101.4,101.1,100.9,100.6,100.7,100.7,100.8,100.8,100.9,101
250,97.9,98.3,98.7,99.1,99.4,99.9,100.3,100,99.7,99.4,99.1,98.8,98.6,98.6,98.7,98.7,98.7,98.8,98.9
315,95.8,96.2,96.6,97,97.4,97.8,98.3,97.9,97.6,97.3,97,96.8,96.6,96.6,96.6,96.7,96.7,96.8,96.9
400,93.7,94.1,94.5,94.9,95.3,95.8,96.2,95.8,95.5,95.2,95,94.7,94.5,94.5,94.5,94.6,94.6,94.7,94.8
500,91.6,92,92.4,92.8,93.2,93.7,94.1,93.8,93.4,93.2,92.9,92.6,92.4,92.4,92.5,92.5,92.5,92.7,92.7
630,89.5,89.9,90.3,90.7,91.1,91.6,92,91.6,91.3,91.1,90.8,90.5,90.3,90.3,90.4,90.4,90.4,90.6,90.7
800,87.3,87.7,88.1,88.5,88.9,89.4,89.8,89.5,89.2,88.9,88.7,88.4,88.2,88.2,88.3,88.3,88.3,88.4,88.5
1000,85.1,85.5,85.9,86.3,86.7,87.2,87.7,87.3,87,86.8,86.5,86.3,86.1,86.1,86.1,86.2,86.2,86.3,86.4
1250,82.8,83.2,83.7,84.1,84.5,85,85.5,85.1,84.8,84.6,84.3,84.1,83.9,83.9,83.9,84,84,84.1,84.2
1600,80.5,80.9,81.4,81.8,82.2,82.7,83.2,82.9,82.6,82.3,82.1,81.9,81.7,81.7,81.7,81.8,81.8,81.9,82
2000,78.1,78.6,79,79.5,79.9,80.4,80.9,80.6,80.3,80,79.8,79.6,79.4,79.4,79.5,79.5,79.5,79.6,79.8
2500,75.7,76.1,76.6,77,77.5,78,78.5,78.2,77.9,77.7,77.4,77.3,77.1,77.1,77.1,77.2,77.2,77.3,77.4
3150,73.1,73.6,74.1,74.5,75,75.5,76,75.7,75.5,75.2,75,74.8,74.7,74.7,74.7,74.8,74.8,74.9,75
4000,70.5,71,71.4,71.9,72.4,72.9,73.4,73.2,72.9,72.7,72.5,72.3,72.2,72.2,72.2,72.3,72.3,72.5,72.6
5000,67.7,68.2,68.7,69.2,69.7,70.2,70.7,70.5,70.3,70.1,69.9,69.7,69.6,69.6,69.6,69.7,69.7,69.9,70
6300,64.8,65.3,65.8,66.3,66.8,67.4,67.9,67.7,67.5,67.3,67.1,67,66.9,66.9,66.9,67,67,67.2,67.3
8000,61.7,62.2,62.7,63.2,63.8,64.3,64.9,64.7,64.5,64.3,64.2,64.1,64,64,64,64.1,64.1,64.3,64.4
10000,58.4,58.9,59.4,60,60.5,61.1,61.7,61.5,61.3,61.2,61.1,61,60.9,60.9,61,61.1,61.1,61.2,61.4
12500,54.8,55.4,55.9,56.5,57,57.6,58.2,58,57.9,57.8,57.7,57.6,57.6,57.6,57.7,57.8,57.8,58,58.1
16000,51,51.6,52.1,52.7,53.2,53.8,54.4,54.3,54.2,54.1,54,54,54,54,54.1,54.2,54.3,54.4,54.6
20000,46.8,47.4,47.9,48.5,49.1,49.7,50.3,50.2,50.1,50.1,50,50,50,50.1,50.2,50.3,50.4,50.6,50.8
25000,42.3,42.9,43.4,44,44.5,45.1,45.7,45.6,45.6,45.6,45.6,45.6,45.7,45.8,45.9,46,46.1,46.3,46.5
