E-2C,T56-A-427,Flight idle (1075 ISHP)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98,96,95,95.8,93.5,90.3,90.1,88.7,88.7,88.7,89.2,88.4,89.5,90.1,90.8,85.8,80.8,75.8,70.8
250,96,93.9,92.9,93.7,91.4,88.2,88,86.6,86.6,86.6,87.1,86.3,87.4,88,88.7,83.7,78.7,73.7,68.7
315,93.9,91.8,90.8,91.6,89.3,86.1,85.8,84.5,84.5,84.5,85,84.2,85.2,85.9,86.6,81.6,76.6,71.6,66.6
400,91.8,89.7,88.7,89.5,87.1,83.9,83.7,82.4,82.4,82.4,82.9,82.1,83,83.7,84.5,79.5,74.5,69.5,64.5
500,89.6,87.6,86.6,87.3,85,81.7,81.5,80.2,80.2,80.3,80.7,79.9,80.8,81.5,82.3,77.3,72.3,67.3,62.3
630,87.5,85.5,84.4,85.2,82.8,79.5,79.3,78.1,78.1,78.1,78.6,77.7,78.6,79.3,80.2,75.2,70.2,65.2,60.2
800,85.3,83.3,82.3,83,80.5,77.3,77,75.9,75.9,76,76.4,75.6,76.4,77,78,73,68,63,58
1000,83.1,81.1,80.1,80.7,78.3,75,74.7,73.7,73.7,73.8,74.3,73.3,74.1,74.7,75.7,70.7,65.7,60.7,55.7
1250,80.9,78.9,77.8,78.4,75.9,72.7,72.4,71.5,71.5,71.7,72.1,71.1,71.8,72.4,73.5,68.5,63.5,58.5,53.5
1600,78.6,76.6,75.5,76.1,73.6,70.3,70.1,69.2,69.2,69.5,69.9,68.9,69.4,70,71.1,66.1,61.1,56.1,51.1
2000,76.3,74.3,73.2,73.7,71.1,67.9,67.6,66.9,66.9,67.3,67.6,66.6,67.1,67.6,68.8,63.8,58.8,53.8,48.8
2500,73.9,71.9,70.8,71.2,68.6,65.4,65.2,64.6,64.6,65,65.4,64.3,64.6,65.1,66.3,61.3,56.3,51.3,46.3
3150,71.5,69.5,68.3,68.6,66,62.9,62.6,62.2,62.3,62.8,63.1,61.9,62.2,62.6,63.8,58.8,53.8,48.8,43.8
4000,68.9,67,65.7,66,63.4,60.3,60.1,59.8,59.9,60.5,60.7,59.6,59.7,60,61.1,56.1,51.1,46.1,41.1
5000,66.3,64.4,63.1,63.2,60.6,57.6,57.4,57.3,57.5,58.2,58.4,57.2,57.2,57.3,58.4,53.4,48.4,43.4,38.4
6300,63.6,61.7,60.3,60.2,57.7,54.8,54.7,54.8,55.1,55.8,55.9,54.7,54.6,54.6,55.6,50.6,45.6,40.6,35.6
8000,60.7,58.9,57.4,57.2,54.6,51.9,51.9,52.2,52.6,53.4,53.5,52.2,52,51.8,52.5,47.5,42.5,37.5,32.5
10000,57.7,55.9,54.3,53.9,51.4,48.9,49,49.5,50,51,50.9,49.6,49.3,48.9,49.4,44.4,39.4,34.4,29.4
12500,54.5,52.8,51.1,50.5,48.1,45.8,46,46.7,47.4,48.4,48.3,47,46.7,46,46,41,36,31,26
16000,51.1,49.5,47.7,46.8,44.5,42.5,42.9,43.8,44.7,45.8,45.6,44.3,43.9,43,42.5,37.5,32.5,27.5,22.5
20000,47.4,46,44.1,42.9,40.7,39.1,39.7,40.8,41.8,43,42.7,41.5,41.1,40,38.7,33.7,28.7,23.7,18.7
25000,43.5,42.2,40.3,38.9,36.7,35.6,36.5,37.7,38.8,40.1,39.7,38.6,38.2,36.9,34.7,29.7,24.7,19.7,14.7
