E-2C,T56-A-427,Ground idle (380 ISHP)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,97.2,96,98,96.7,96,94.2,93.7,91.9,92.2,91.9,91.7,91.9,92.4,92.5,92.4,93.1,94.4,84.4,74.4
250,95.1,93.9,95.9,94.6,93.9,92,91.5,89.7,90.1,89.8,89.5,89.7,90.2,90.3,90.2,91,92.3,82.3,72.3
315,92.9,91.8,93.7,92.5,91.8,89.9,89.3,87.5,88,87.6,87.3,87.5,88,88.1,88.1,88.8,90.2,80.2,70.2
400,90.8,89.7,91.6,90.3,89.6,87.7,87,85.3,85.8,85.4,85.1,85.2,85.7,85.9,85.9,86.7,88.1,78.1,68.1
500,88.6,87.5,89.4,88.1,87.4,85.4,84.7,83,83.6,83.2,82.8,82.9,83.4,83.6,83.7,84.5,85.9,75.9,65.9
630,86.4,85.4,87.2,85.9,85.1,83.2,82.3,80.7,81.4,80.9,80.5,80.6,81,81.2,81.4,82.3,83.7,73.7,63.7
800,84.2,83.2,84.9,83.6,82.8,80.9,79.9,78.4,79.2,78.6,78.2,78.2,78.6,78.8,79.1,80,81.5,71.5,61.5
1000,81.9,80.9,82.6,81.3,80.4,78.5,77.4,76,76.9,76.3,75.8,75.7,76.1,76.4,76.8,77.8,79.2,69.2,59.2
1250,79.6,78.6,80.3,78.9,78,76.1,74.9,73.6,74.5,74,73.3,73.2,73.6,73.9,74.4,75.4,76.9,66.9,56.9
1600,77.2,76.3,77.8,76.5,75.6,73.6,72.4,71.1,72.2,71.6,70.8,70.7,71,71.4,72,73,74.6,64.6,54.6
2000,74.7,73.9,75.3,74,73,71,69.7,68.6,69.7,69.2,68.4,68.1,68.4,68.7,69.5,70.6,72.2,62.2,52.2
2500,72.2,71.4,72.8,71.3,70.4,68.4,67,66.1,67.3,66.8,65.8,65.5,65.7,66.1,67,68.1,69.7,59.7,49.7
3150,69.5,68.9,70.1,68.6,67.6,65.6,64.3,63.5,64.8,64.3,63.3,62.9,63,63.3,64.3,65.5,67.2,57.2,47.2
4000,66.8,66.2,67.3,65.8,64.8,62.8,61.5,61,62.3,61.9,60.8,60.3,60.3,60.5,61.6,62.8,64.6,54.6,44.6
5000,63.9,63.5,64.4,62.9,61.9,59.9,58.6,58.4,59.8,59.5,58.3,57.7,57.5,57.7,58.8,60,61.9,51.9,41.9
6300,61,60.7,61.4,59.8,58.8,57,55.8,55.8,57.2,57,55.8,55,54.7,54.8,55.9,57.2,59,49,39
8000,57.9,57.7,58.3,56.6,55.6,53.9,52.8,53.2,54.7,54.6,53.3,52.4,52,51.8,52.9,54.1,56.1,46.1,36.1
10000,54.6,54.7,55,53.2,52.3,50.8,49.9,50.6,52.1,52.1,50.8,49.8,49.2,48.8,49.8,51,53,43,33
12500,51.2,51.5,51.5,49.7,48.9,47.5,46.8,47.9,49.4,49.5,48.2,47.1,46.4,45.7,46.5,47.7,49.7,39.7,29.7
16000,47.6,48.1,47.9,46,45.3,44.2,43.8,45.1,46.6,46.8,45.6,44.4,43.6,42.6,43,44.2,46.3,36.3,26.3
20000,43.8,44.4,44.1,42.1,41.6,40.7,40.6,42.2,43.8,44.1,42.8,41.5,40.6,39.4,39.3,40.5,42.6,32.6,22.6
25000,39.7,40.6,40,38,37.6,37,37.3,39.2,40.8,41.1,39.9,38.6,37.6,36.1,35.5,36.5,38.6,28.6,18.6
