E-2C,T56-A-427,Maximum power (5155 ISHP)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,103.3,104.5,103.5,104.5,104.9,104.6,102.7,103.4,103.4,103,103.1,101.9,100.9,100.6,94,91.9,85.2,78.6,71.9
250,101.2,102.4,101.3,102.3,102.7,102.5,100.6,101.3,101.2,100.9,101.1,99.8,98.8,98.5,92,89.8,83.1,76.5,69.8
315,99.1,100.2,99.2,100.2,100.6,100.3,98.4,99.1,99.1,98.8,99,97.7,96.7,96.4,89.9,87.8,81.1,74.4,67.8
400,96.9,98.1,97,98,98.4,98.1,96.2,97,96.9,96.7,96.9,95.6,94.6,94.3,87.8,85.7,79,72.3,65.7
500,94.8,95.9,94.8,95.8,96.1,95.8,93.9,94.7,94.7,94.5,94.7,93.5,92.4,92.2,85.7,83.6,76.9,70.2,63.6
630,92.6,93.7,92.6,93.5,93.9,93.5,91.6,92.5,92.5,92.4,92.6,91.4,90.2,90,83.5,81.5,74.8,68.1,61.5
800,90.3,91.4,90.3,91.2,91.5,91.1,89.2,90.2,90.2,90.1,90.4,89.2,88,87.8,81.3,79.3,72.6,66,59.3
1000,88,89.1,88,88.8,89.2,88.7,86.8,87.8,87.9,87.9,88.2,87,85.8,85.6,79.1,77.1,70.4,63.8,57.1
1250,85.7,86.7,85.6,86.4,86.7,86.2,84.3,85.4,85.6,85.6,85.9,84.8,83.5,83.4,76.9,74.9,68.2,61.6,54.9
1600,83.3,84.3,83.2,83.9,84.2,83.7,81.8,82.9,83.1,83.3,83.6,82.5,81.2,81.1,74.6,72.6,65.9,59.3,52.6
2000,80.9,81.8,80.7,81.4,81.7,81.1,79.1,80.4,80.7,80.9,81.3,80.2,78.9,78.7,72.2,70.3,63.6,57,50.3
2500,78.4,79.2,78.1,78.7,79,78.4,76.4,77.8,78.2,78.6,79,77.9,76.5,76.3,69.8,67.9,61.2,54.6,47.9
3150,75.8,76.6,75.4,76,76.3,75.6,73.6,75.2,75.6,76.1,76.6,75.5,74.1,73.9,67.3,65.5,58.8,52.1,45.5
4000,73.1,73.8,72.7,73.2,73.4,72.7,70.8,72.5,73,73.7,74.2,73.1,71.6,71.4,64.7,62.9,56.2,49.6,42.9
5000,70.3,71,69.8,70.3,70.5,69.8,67.8,69.7,70.4,71.2,71.7,70.6,69.1,68.8,62.1,60.3,53.6,47,40.3
6300,67.4,68,66.8,67.3,67.4,66.7,64.8,67,67.7,68.7,69.2,68.1,66.6,66.2,59.3,57.6,50.9,44.2,37.6
8000,64.3,65,63.7,64.1,64.3,63.6,61.7,64.1,65,66.2,66.7,65.5,64.1,63.5,56.5,54.8,48.1,41.4,34.8
10000,61.1,61.7,60.5,60.9,61,60.3,58.6,61.3,62.3,63.6,64.1,62.9,61.5,60.7,53.6,51.8,45.1,38.5,31.8
12500,57.7,58.3,57.1,57.5,57.6,56.9,55.3,58.3,59.6,61,61.5,60.2,58.8,57.8,50.6,48.8,42.1,35.4,28.8
16000,54.2,54.8,53.6,54.1,54,53.5,52,55.3,56.7,58.3,58.8,57.4,56.1,54.9,47.4,45.6,38.9,32.2,25.6
20000,50.4,51,49.8,50.5,50.4,49.9,48.6,52.2,53.9,55.5,56,54.5,53.3,51.8,44.2,42.2,35.5,28.9,22.2
25000,46.4,46.9,45.9,46.8,46.7,46.1,45.2,49,50.9,52.6,53.1,51.4,50.3,48.7,40.9,38.8,32.1,25.4,18.8
