F-14A,TF30-P-412A/412,Engine runup (85% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,107.9,107.8,106.7,107.7,107.6,105.3,101.2,97.5,96.3,95,94.8,96.1,98,96.9,94.2,91,84.3,77.6,71
250,105.7,105.5,104.4,105.4,105.2,102.9,98.9,95.2,93.9,92.7,92.5,93.9,95.9,94.8,92.2,88.9,82.2,75.5,68.9
315,103.3,103.1,102,103,102.9,100.6,96.5,92.8,91.6,90.3,90.1,91.6,93.7,92.7,90.1,86.9,80.2,73.5,66.9
400,100.9,100.6,99.5,100.6,100.4,98.1,94,90.3,89.1,87.9,87.7,89.3,91.6,90.6,88,84.8,78.1,71.4,64.8
500,98.4,98.1,97,98,97.8,95.5,91.5,87.7,86.5,85.4,85.2,86.9,89.4,88.4,85.9,82.7,76,69.3,62.7
630,95.7,95.4,94.3,95.2,95,92.7,88.7,85,83.9,82.8,82.6,84.4,87.1,86.3,83.8,80.6,73.9,67.2,60.6
800,92.9,92.5,91.4,92.4,92.1,89.8,85.8,82.2,81,80,79.9,81.9,84.9,84,81.7,78.5,71.8,65.1,58.5
1000,90,89.5,88.4,89.3,89.1,86.7,82.8,79.1,78,77.1,77,79.4,82.6,81.8,79.6,76.3,69.6,62.9,56.3
1250,86.8,86.2,85.1,86,85.7,83.4,79.4,75.9,74.8,74.1,74.1,76.8,80.2,79.5,77.4,74.2,67.5,60.8,54.2
1600,83.5,82.8,81.6,82.4,82.1,79.7,75.9,72.4,71.4,71,71.2,74.1,77.8,77.2,75.2,72,65.3,58.6,52
2000,79.9,79,77.9,78.6,78.2,75.8,72,68.7,67.8,67.8,68.2,71.4,75.4,74.9,73,69.8,63.1,56.4,49.8
2500,76,75,73.9,74.4,74,71.5,67.9,64.9,64.1,64.5,65.2,68.6,72.9,72.4,70.8,67.6,60.9,54.2,47.6
3150,71.8,70.7,69.7,70,69.4,66.9,63.5,60.9,60.3,61.2,62.2,65.8,70.4,70,68.5,65.4,58.7,52,45.4
4000,67.4,66.3,65.4,65.5,64.7,62.2,59,56.9,56.6,58,59.2,62.9,67.7,67.4,66.2,63.1,56.4,49.7,43.1
5000,62.9,62,61.2,61,59.8,57.5,54.5,53.1,53,54.8,56.2,60,65,64.8,63.8,60.8,54.1,47.4,40.8
6300,58.4,57.8,57.2,56.7,55.2,53.1,50.3,49.4,49.6,51.7,53.2,56.9,62.1,62.1,61.3,58.4,51.7,45,38.4
8000,53.9,53.9,53.3,52.5,50.8,49,46.3,45.8,46.3,48.6,50.2,53.8,59.1,59.2,58.8,56,49.3,42.6,36
10000,49.7,50.1,49.6,48.4,46.6,45,42.5,42.3,43.1,45.5,47.1,50.6,56,56.2,56.2,53.4,46.7,40,33.4
12500,45.6,46.3,45.8,44.3,42.5,41.1,38.8,38.8,39.9,42.3,43.9,47.3,52.6,53.1,53.5,50.8,44.1,37.4,30.8
16000,41.4,42.4,41.8,40.1,38.4,37.2,35.2,35.4,36.6,39.1,40.7,43.8,49.1,49.8,50.6,48,41.3,34.6,28
20000,37.1,38.3,37.8,35.9,34.4,33.3,31.6,31.9,33.3,35.8,37.3,40.2,45.3,46.3,47.6,45,38.3,31.6,25
25000,32.6,34,33.6,31.7,30.4,29.5,28.1,28.5,29.9,32.3,33.8,36.5,41.3,42.6,44.5,41.9,35.2,28.5,21.9
