F-18A&C,F404-GE-400&402,Engine runup (80% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98.1,98.2,97.9,97.6,96.1,94.8,94.1,93.9,94.8,97.7,99.2,99.8,103.3,106.4,108.8,108.4,108.1,89,73.2
250,95.6,95.8,95.5,95.2,93.7,92.5,91.7,91.7,92.5,95.5,97,97.6,101.2,104.4,106.7,106.4,106,87,71.2
315,93.1,93.3,93,92.8,91.3,90,89.3,89.3,90.1,93.2,94.7,95.4,99,102.3,104.6,104.3,104,84.9,69.2
400,90.4,90.6,90.4,90.2,88.8,87.6,86.9,86.9,87.7,90.8,92.4,93.1,96.8,100.2,102.6,102.3,101.9,82.9,67.1
500,87.6,87.9,87.7,87.6,86.1,85,84.3,84.4,85.3,88.4,90,90.8,94.5,98,100.5,100.2,99.9,80.8,65.1
630,84.7,85,84.9,84.8,83.4,82.3,81.7,81.9,82.7,85.9,87.5,88.4,92.2,95.9,98.3,98.1,97.8,78.8,63
800,81.7,82,82,81.9,80.5,79.5,79,79.2,80.1,83.4,85,85.9,89.8,93.6,96.2,95.9,95.7,76.7,60.9
1000,78.5,78.8,78.9,79,77.6,76.7,76.2,76.5,77.3,80.7,82.3,83.4,87.4,91.4,94,93.8,93.5,74.6,58.8
1250,75.2,75.5,75.8,75.9,74.5,73.7,73.3,73.7,74.5,78,79.6,80.7,84.8,89.1,91.8,91.5,91.4,72.4,56.7
1600,71.8,72.2,72.6,72.7,71.4,70.7,70.3,70.8,71.6,75.2,76.7,78,82.2,86.8,89.5,89.3,89.2,70.3,54.5
2000,68.3,68.8,69.3,69.5,68.2,67.6,67.2,67.7,68.6,72.2,73.8,75.2,79.5,84.4,87.2,87,86.9,68.1,52.3
2500,64.9,65.4,66.1,66.3,64.9,64.4,64,64.6,65.5,69.2,70.7,72.3,76.7,81.9,84.8,84.6,84.6,65.9,50.1
3150,61.5,62,62.8,63,61.6,61.1,60.8,61.5,62.2,66,67.5,69.3,73.8,79.4,82.4,82.2,82.3,63.6,47.8
4000,58,58.7,59.6,59.6,58.2,57.8,57.4,58.2,59,62.8,64.2,66.2,70.7,76.7,79.9,79.7,79.9,61.2,45.5
5000,54.5,55.4,56.3,56.1,54.8,54.5,54,54.9,55.6,59.4,60.8,62.9,67.6,74,77.3,77.1,77.3,58.8,43.1
6300,51,52,53,52.5,51.3,51,50.6,51.5,52.2,55.9,57.4,59.6,64.4,71.1,74.5,74.4,74.7,56.3,40.6
8000,47.5,48.6,49.6,48.8,47.8,47.6,47.1,48.1,48.8,52.3,53.8,56.2,61,68.1,71.7,71.5,72,53.7,38
10000,43.8,45,46,45.1,44.2,44.1,43.6,44.7,45.3,48.7,50.3,52.8,57.6,64.9,68.6,68.5,69,51,35.3
12500,40.1,41.4,42.4,41.2,40.6,40.5,40.1,41.2,41.9,45,46.7,49.3,54.1,61.6,65.5,65.3,66,48.1,32.4
16000,36.2,37.5,38.5,37.2,36.9,36.9,36.5,37.7,38.3,41.2,43.1,45.7,50.5,58.1,62,62,62.7,45,29.4
20000,32.2,33.4,34.4,33.1,33.1,33.1,32.9,34.2,34.7,37.4,39.4,42.1,46.8,54.4,58.4,58.4,59.1,41.7,26.2
25000,27.9,29.1,30,28.9,29.1,29.2,29,30.4,31,33.4,35.6,38.3,42.9,50.4,54.4,54.5,55.2,38.1,22.7
