F-18A&C,F404-GE-400&402,Maximum power A/B (95.1% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,111.1,114.1,115.5,113.2,118.4,119,119.8,120.6,120.4,122.1,124.4,129.5,132.7,125.3,122.3,117.7,104.7,94.7,84.7
250,109,112,113.4,111.1,116.3,116.9,117.6,118.4,118.2,119.9,122.3,127.4,130.6,123.2,120.2,115.6,102.6,92.6,82.6
315,106.8,109.8,111.3,109,114.1,114.7,115.4,116.1,115.9,117.7,120.1,125.3,128.5,121,118,113.5,100.5,90.5,80.5
400,104.7,107.7,109.1,106.8,111.9,112.4,113.1,113.8,113.7,115.5,117.9,123.1,126.4,118.8,115.9,111.3,98.3,88.3,78.3
500,102.5,105.5,106.9,104.6,109.7,110.1,110.8,111.5,111.4,113.2,115.6,120.9,124.2,116.6,113.7,109.1,96.1,86.1,76.1
630,100.3,103.2,104.7,102.4,107.4,107.8,108.4,109.1,109,110.8,113.3,118.7,122,114.4,111.5,106.9,93.9,83.9,73.9
800,98.1,100.9,102.4,100.1,105.1,105.4,106,106.6,106.6,108.4,110.9,116.4,119.8,112.1,109.3,104.7,91.7,81.7,71.7
1000,95.8,98.6,100.1,97.8,102.7,102.9,103.5,104.1,104.1,105.9,108.5,114.1,117.6,109.8,107,102.4,89.4,79.4,69.4
1250,93.4,96.2,97.7,95.4,100.2,100.4,100.9,101.5,101.5,103.3,106,111.7,115.3,107.5,104.7,100.1,87,77,67
1600,91,93.7,95.3,93,97.7,97.7,98.2,98.7,98.8,100.6,103.4,109.3,112.9,105.1,102.3,97.8,84.6,74.6,64.6
2000,88.5,91.1,92.7,90.4,95.1,95,95.4,95.8,95.9,97.8,100.7,106.8,110.5,102.6,99.9,95.4,82.2,72.2,62.2
2500,85.8,88.4,90.1,87.8,92.3,92.1,92.5,92.8,93,94.8,97.9,104.2,108.1,100.1,97.4,92.9,79.7,69.7,59.7
3150,83.1,85.6,87.3,85.1,89.4,89.1,89.4,89.7,89.9,91.7,95,101.6,105.5,97.5,94.9,90.4,77,67,57
4000,80.2,82.7,84.5,82.2,86.4,86,86.2,86.3,86.7,88.5,92,98.8,102.8,94.8,92.3,87.8,74.3,64.3,54.3
5000,77.2,79.7,81.4,79.2,83.2,82.7,82.8,82.8,83.3,85.1,88.8,95.9,100,92.1,89.7,85.2,71.6,61.6,51.6
6300,74,76.4,78.2,76.1,79.8,79.3,79.3,79.2,79.7,81.6,85.5,92.9,97.1,89.2,87.1,82.5,68.7,58.7,48.7
8000,70.6,73,74.8,72.7,76.1,75.6,75.6,75.3,75.9,77.9,82.1,89.7,94,86.4,84.3,79.7,65.7,55.7,45.7
10000,67,69.3,71.1,69.1,72.2,71.8,71.7,71.3,72,74,78.5,86.4,90.7,83.4,81.5,76.8,62.7,52.7,42.7
12500,63.1,65.4,67.2,65.3,68,67.8,67.6,67.2,67.9,70,74.7,82.8,87.3,80.3,78.6,73.9,59.5,49.5,39.5
16000,59,61.2,63,61.3,63.5,63.5,63.2,62.9,63.7,65.9,70.7,79,83.5,77.2,75.6,70.8,56.3,46.3,36.3
20000,54.6,56.8,58.4,57,58.8,58.9,58.7,58.6,59.3,61.5,66.5,75,79.6,73.9,72.4,67.6,53.1,43.1,33.1
25000,50.1,52,53.6,52.4,53.8,54.1,54,54.1,54.9,56.9,62,70.6,75.3,70.4,69.1,64.2,49.7,39.7,29.7
