F-18E&F,F414-GE-400,Idle (65% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,94.7,91.1,90,88.2,84.8,84.1,81.5,79.4,77.7,77.8,78.7,80.2,81.6,81.5,78.9,77.5,77.1,73.7,63.7
250,92.3,88.8,87.6,85.8,82.5,81.8,79.3,77.1,75.4,75.6,76.5,77.9,79.3,79.4,76.8,75.4,74.9,71.5,61.5
315,89.8,86.4,85.2,83.4,80,79.4,76.9,74.8,73.2,73.3,74.2,75.6,77,77.1,74.6,73.2,72.8,69.2,59.2
400,87.3,84,82.6,80.8,77.5,76.9,74.5,72.4,70.8,71,71.9,73.2,74.7,74.9,72.4,71,70.6,66.9,56.9
500,84.6,81.5,80,78.2,74.9,74.4,72.1,70,68.5,68.6,69.5,70.9,72.4,72.6,70.2,68.8,68.4,64.6,54.6
630,81.9,78.9,77.2,75.4,72.2,71.7,69.5,67.5,66,66.2,67.1,68.5,70,70.3,67.9,66.6,66.1,62.2,52.2
800,79,76.2,74.4,72.6,69.4,69,66.9,64.9,63.6,63.8,64.7,66,67.6,67.9,65.7,64.3,63.8,59.8,49.8
1000,76,73.4,71.4,69.6,66.5,66.1,64.2,62.3,61.1,61.4,62.3,63.6,65.2,65.5,63.4,62,61.5,57.3,47.3
1250,72.9,70.6,68.3,66.6,63.4,63.2,61.5,59.6,58.5,58.9,59.8,61,62.7,63.1,61,59.7,59.2,54.7,44.7
1600,69.8,67.7,65.2,63.4,60.3,60.1,58.6,56.9,55.9,56.4,57.2,58.5,60.2,60.6,58.7,57.4,56.8,52.1,42.1
2000,66.5,64.6,61.9,60.2,57.1,56.9,55.7,54.1,53.2,53.9,54.7,55.9,57.6,58.1,56.3,55.1,54.5,49.5,39.5
2500,63.3,61.5,58.6,57,53.8,53.6,52.7,51.3,50.6,51.4,52,53.3,55,55.5,53.8,52.7,52,46.7,36.7
3150,59.9,58.3,55.2,53.6,50.4,50.2,49.6,48.4,47.9,48.8,49.4,50.6,52.3,52.8,51.3,50.3,49.5,43.9,33.9
4000,56.4,54.9,51.7,50.1,46.9,46.6,46.4,45.5,45.1,46.2,46.7,47.8,49.5,50.1,48.8,47.8,47,41,31
5000,52.7,51.3,48.1,46.5,43.3,42.9,43.2,42.6,42.4,43.5,44,45.1,46.7,47.3,46.1,45.2,44.4,38.1,28.1
6300,48.8,47.5,44.4,42.8,39.6,39.2,39.8,39.6,39.6,40.9,41.2,42.3,43.9,44.4,43.4,42.6,41.6,35,25
8000,44.6,43.5,40.5,38.8,35.8,35.6,36.5,36.7,36.8,38.2,38.4,39.4,41,41.5,40.6,39.9,38.8,31.9,21.9
10000,40.1,39.3,36.5,34.6,32,32,33.1,33.8,34,35.4,35.6,36.6,38,38.5,37.7,37,35.9,28.6,18.6
12500,35.3,34.9,32.4,30.3,28.1,28.5,29.8,30.7,31.1,32.5,32.7,33.6,35.1,35.5,34.6,34,32.8,25.2,15.2
16000,30.2,30.3,28.2,25.8,24.2,25,26.4,27.6,28.1,29.5,29.7,30.6,32,32.3,31.5,30.8,29.5,21.7,11.7
20000,25,25.5,24.1,21.3,20.3,21.5,23,24.4,24.9,26.4,26.6,27.4,28.8,29.1,28.1,27.4,26.1,18.1,8.1
25000,19.7,20.7,19.8,16.9,16.4,17.8,19.5,20.9,21.5,22.9,23.2,24,25.3,25.6,24.6,23.8,22.4,14.3,4.3
