F-18E&F,F414-GE-400,80% power (80% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98.9,99.1,97.4,96.1,93.6,95.2,95.3,96.5,97.5,98.7,100.4,102.3,103.8,104.5,105.9,108.5,109.8,104.8,94.8
250,96.6,96.8,95,93.8,91.3,92.9,93.1,94.3,95.2,96.5,98.2,100.1,101.6,102.4,103.8,106.5,107.8,102.8,92.8
315,94.2,94.4,92.6,91.3,88.9,90.6,90.8,92,93,94.2,96,97.9,99.5,100.3,101.7,104.5,105.8,100.8,90.8
400,91.7,91.9,90.1,88.8,86.5,88.2,88.4,89.6,90.6,91.9,93.7,95.6,97.2,98.1,99.6,102.4,103.7,98.7,88.7
500,89.2,89.4,87.5,86.2,84,85.8,86,87.2,88.2,89.5,91.3,93.3,95,95.9,97.5,100.3,101.7,96.7,86.7
630,86.6,86.8,84.9,83.5,81.4,83.2,83.5,84.8,85.8,87.1,88.9,90.9,92.7,93.7,95.4,98.2,99.6,94.6,84.6
800,83.8,84,82.1,80.7,78.7,80.6,80.9,82.2,83.2,84.6,86.4,88.5,90.3,91.4,93.2,96.1,97.5,92.5,82.5
1000,81,81.2,79.2,77.8,75.9,77.9,78.3,79.6,80.6,82,83.9,86,87.8,89,91,94,95.4,90.4,80.4
1250,78,78.3,76.2,74.7,73,75,75.5,76.8,77.9,79.3,81.2,83.4,85.3,86.6,88.8,91.8,93.2,88.2,78.2
1600,75,75.3,73.1,71.6,70.1,72.1,72.6,74,75.1,76.6,78.5,80.7,82.7,84.2,86.6,89.6,91,86,76
2000,71.8,72.2,70,68.4,67,69.1,69.6,71,72.1,73.7,75.6,77.9,79.9,81.7,84.3,87.4,88.8,83.8,73.8
2500,68.5,69,66.8,65.1,63.9,65.9,66.4,67.9,69.1,70.6,72.6,75,77.1,79.1,82,85.1,86.5,81.5,71.5
3150,65.1,65.7,63.5,61.7,60.6,62.6,63.1,64.6,65.8,67.5,69.4,71.9,74.1,76.4,79.6,82.8,84.2,79.2,69.2
4000,61.6,62.4,60.3,58.3,57.3,59.1,59.7,61.2,62.4,64.1,66.1,68.6,71,73.7,77.2,80.4,81.8,76.8,66.8
5000,58,58.9,57,54.7,53.8,55.6,56.1,57.6,58.9,60.6,62.6,65.2,67.8,70.8,74.7,77.9,79.3,74.3,64.3
6300,54.2,55.4,53.7,51.1,50.2,51.9,52.4,53.9,55.2,57,58.9,61.5,64.4,67.9,72.2,75.3,76.7,71.7,61.7
8000,50.3,51.8,50.3,47.4,46.6,48.1,48.8,50.2,51.4,53.2,55.2,57.7,61,65,69.5,72.6,74,69,59
10000,46.3,48,46.8,43.6,42.8,44.3,45.1,46.5,47.7,49.4,51.3,53.9,57.5,62,66.7,69.8,71,66,56
12500,42.2,44.2,43.2,39.7,39.1,40.6,41.6,42.9,43.9,45.6,47.6,50,54.1,58.9,63.8,66.7,68,63,53
16000,38.1,40.2,39.5,35.8,35.3,36.8,38,39.3,40.3,41.9,43.8,46.1,50.6,55.7,60.7,63.5,64.6,59.6,49.6
20000,33.8,36,35.5,31.7,31.4,33.1,34.5,35.7,36.7,38.2,40.1,42.3,47.1,52.4,57.4,60,61.1,56.1,46.1
25000,29.3,31.5,31.2,27.5,27.5,29.3,30.8,32,33,34.5,36.4,38.5,43.5,48.8,53.8,56.3,57.2,52.2,42.2
