F-35B,F-135-PW-600,Idle (12% ETR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,103.5,101.3,98.3,95.4,91.3,89.3,86.5,85,84,83.5,84.8,86.1,86.9,83.9,82,81.4,81,74.3,67.7
250,101.3,99,96,93.1,89.1,87.1,84.3,82.8,81.8,81.3,82.6,84,84.7,81.7,79.9,79.2,78.8,72.1,65.4
315,98.9,96.6,93.6,90.7,86.8,84.8,82,80.5,79.6,79,80.4,81.8,82.6,79.5,77.7,77,76.5,69.9,63.2
400,96.5,94.2,91.2,88.3,84.4,82.4,79.7,78.2,77.3,76.7,78.2,79.6,80.4,77.2,75.4,74.7,74.2,67.6,60.9
500,94,91.6,88.6,85.7,82,80,77.3,75.8,75,74.4,76,77.4,78.2,75,73.1,72.5,71.9,65.2,58.6
630,91.4,89,86,83.1,79.5,77.5,74.8,73.4,72.6,71.9,73.7,75.1,75.9,72.6,70.8,70.1,69.5,62.8,56.1
800,88.7,86.2,83.2,80.4,76.9,75,72.3,70.8,70.2,69.5,71.4,72.8,73.6,70.3,68.4,67.7,67,60.3,53.7
1000,85.9,83.3,80.4,77.5,74.2,72.3,69.7,68.3,67.7,67,69,70.5,71.3,67.9,66,65.3,64.5,57.8,51.2
1250,83,80.3,77.3,74.5,71.4,69.6,67.1,65.6,65.1,64.4,66.6,68.1,68.9,65.4,63.6,62.8,61.9,55.2,48.6
1600,80,77.1,74.2,71.4,68.6,66.8,64.3,62.9,62.6,61.8,64.1,65.7,66.5,62.9,61.1,60.3,59.3,52.6,46
2000,76.8,73.9,70.9,68.1,65.7,64,61.5,60.2,59.9,59.1,61.6,63.3,64,60.4,58.5,57.7,56.6,50,43.3
2500,73.5,70.5,67.5,64.8,62.6,61,58.7,57.3,57.3,56.5,59.1,60.8,61.5,57.9,56,55.2,53.9,47.2,40.6
3150,70,67,64,61.4,59.5,58,55.7,54.5,54.5,53.7,56.5,58.2,58.9,55.3,53.3,52.5,51.1,44.5,37.8
4000,66.3,63.3,60.3,57.8,56.3,54.9,52.7,51.5,51.7,50.9,53.8,55.6,56.3,52.6,50.7,49.8,48.3,41.6,35
5000,62.3,59.5,56.4,54.1,53,51.7,49.5,48.4,48.8,48,51,52.8,53.5,49.9,47.9,47,45.4,38.7,32
6300,58,55.4,52.4,50.3,49.5,48.3,46.2,45.2,45.7,45,48,49.9,50.5,47,45,44.2,42.3,35.7,29
8000,53.3,51,48.2,46.3,45.8,44.7,42.7,41.8,42.4,41.8,44.9,46.8,47.4,44,42.1,41.2,39.2,32.5,25.9
10000,48.2,46.3,43.9,42.2,41.9,40.8,39,38.2,38.9,38.4,41.5,43.5,44.1,40.8,39,38.2,35.9,29.2,22.6
12500,42.9,41.5,39.5,38,37.8,36.7,35.1,34.4,35.2,34.8,38,40,40.5,37.5,35.7,35,32.5,25.8,19.1
16000,37.5,36.7,35.1,33.6,33.5,32.3,31,30.4,31.2,31,34.1,36.1,36.7,34,32.3,31.7,28.9,22.2,15.6
20000,32.3,31.9,30.6,29.2,29,27.7,26.7,26.2,26.9,26.9,29.9,31.9,32.6,30.3,28.7,28.3,25.2,18.5,11.9
25000,27.3,27.1,26.1,24.6,24.2,23,22.3,21.8,22.3,22.6,25.5,27.4,28.2,26.4,25,24.9,21.4,14.7,8.1
