F-35B,F-135-PW-600,Maximum power A/B (150% ETR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,115.1,115.9,118.7,120.4,121.8,122.3,122.8,123.3,124.1,125.5,128.3,133.7,133.8,130,126.8,122.6,114.4,107.7,101.1
250,113,113.8,116.6,118.3,119.7,120.1,120.6,121.1,121.9,123.3,126.2,131.6,131.7,127.9,124.7,120.5,112.3,105.7,99
315,110.9,111.7,114.4,116.1,117.6,117.9,118.4,119,119.7,121.1,124,129.5,129.6,125.8,122.6,118.4,110.2,103.5,96.9
400,108.8,109.6,112.3,114,115.4,115.7,116.2,116.7,117.4,118.9,121.8,127.3,127.4,123.6,120.4,116.3,108.1,101.4,94.7
500,106.6,107.4,110.1,111.8,113.2,113.5,114,114.5,115.1,116.6,119.6,125.2,125.3,121.4,118.3,114.2,105.9,99.2,92.6
630,104.5,105.2,107.9,109.5,110.9,111.2,111.6,112.1,112.8,114.3,117.3,122.9,123,119.2,116.1,112,103.7,97,90.4
800,102.2,103,105.6,107.2,108.6,108.8,109.3,109.7,110.4,111.9,115,120.7,120.8,116.9,113.9,109.8,101.5,94.8,88.1
1000,100,100.7,103.3,104.9,106.3,106.4,106.9,107.3,107.9,109.5,112.7,118.4,118.5,114.7,111.6,107.6,99.2,92.5,85.9
1250,97.6,98.4,101,102.5,103.9,104,104.4,104.8,105.3,106.9,110.3,116,116.2,112.3,109.4,105.3,96.9,90.2,83.6
1600,95.3,96.1,98.6,100.1,101.4,101.4,101.8,102.2,102.7,104.4,107.8,113.6,113.8,109.9,107,103,94.5,87.9,81.2
2000,92.8,93.7,96.1,97.5,98.8,98.8,99.2,99.5,99.9,101.7,105.3,111.2,111.3,107.5,104.6,100.6,92.1,85.4,78.8
2500,90.3,91.2,93.5,94.9,96.2,96.1,96.4,96.7,97.1,98.9,102.6,108.6,108.8,105,102.2,98.2,89.6,83,76.3
3150,87.7,88.6,90.8,92.2,93.5,93.2,93.6,93.8,94.1,96.1,99.9,106,106.2,102.4,99.7,95.7,87.1,80.4,73.7
4000,85,85.9,88.1,89.4,90.6,90.3,90.7,90.8,91,93.1,97,103.2,103.5,99.8,97.1,93.2,84.5,77.8,71.1
5000,82.2,83.2,85.2,86.5,87.7,87.2,87.6,87.6,87.7,90,94.1,100.4,100.7,97.1,94.4,90.6,81.7,75.1,68.4
6300,79.2,80.3,82.2,83.4,84.6,84,84.4,84.2,84.3,86.7,90.9,97.4,97.7,94.3,91.6,87.9,78.9,72.3,65.6
8000,76.1,77.2,79,80.2,81.3,80.6,81,80.7,80.6,83.3,87.6,94.2,94.7,91.4,88.7,85.1,76.1,69.4,62.7
10000,72.8,74,75.6,76.8,77.9,77,77.4,77,76.8,79.8,84.1,90.9,91.5,88.4,85.7,82.2,73.1,66.4,59.7
12500,69.2,70.5,72,73.2,74.2,73.1,73.6,73,72.8,76,80.4,87.4,88.1,85.4,82.5,79.2,70,63.3,56.6
16000,65.4,66.8,68.2,69.2,70.2,69,69.4,68.8,68.5,72,76.4,83.6,84.6,82.1,79.3,76,66.8,60.1,53.4
20000,61.4,62.8,64,65,65.9,64.5,64.9,64.4,64.1,67.9,72.2,79.6,80.8,78.8,75.8,72.7,63.4,56.7,50.1
25000,57,58.4,59.4,60.3,61.1,59.6,60,59.7,59.5,63.5,67.6,75.3,76.8,75.3,72.2,69.3,60,53.3,46.6
