F-35B,F-135-PW-600,25% ETR,,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,104.6,102.9,100.9,99.1,95.8,94.3,92.2,91.2,91.7,92.1,94.1,95.2,94.2,92.5,92.2,92.1,88.4,81.7,75.1
250,102.4,100.7,98.7,96.8,93.7,92.1,90,89.1,89.5,89.9,91.9,93.1,92.1,90.4,90.1,90.1,86.3,79.6,72.9
315,100.1,98.4,96.5,94.6,91.4,89.9,87.7,86.9,87.3,87.7,89.8,91,90,88.3,88,88,84.1,77.5,70.8
400,97.8,96.1,94.1,92.3,89.1,87.6,85.5,84.7,85.1,85.5,87.6,88.8,87.9,86.2,85.9,85.9,82,75.3,68.6
500,95.4,93.7,91.7,89.9,86.8,85.2,83.2,82.4,82.8,83.2,85.4,86.6,85.7,84.1,83.8,83.8,79.8,73.1,66.5
630,92.9,91.2,89.2,87.4,84.3,82.8,80.8,80,80.5,80.8,83.1,84.4,83.6,81.9,81.6,81.7,77.6,70.9,64.3
800,90.2,88.6,86.6,84.8,81.8,80.3,78.3,77.6,78.2,78.5,80.8,82.2,81.4,79.7,79.4,79.5,75.4,68.7,62
1000,87.5,85.8,83.9,82.1,79.2,77.6,75.8,75.2,75.7,76,78.5,79.9,79.1,77.5,77.3,77.4,73.1,66.4,59.8
1250,84.6,82.9,81,79.3,76.4,74.9,73.2,72.7,73.3,73.6,76.1,77.6,76.9,75.2,75,75.2,70.8,64.1,57.5
1600,81.5,79.9,78,76.3,73.5,72,70.5,70.1,70.8,71.1,73.7,75.2,74.6,73,72.8,73,68.5,61.8,55.2
2000,78.1,76.6,74.7,73.1,70.5,69,67.7,67.4,68.2,68.6,71.3,72.8,72.2,70.7,70.5,70.8,66.2,59.5,52.8
2500,74.5,73.1,71.3,69.7,67.3,65.9,64.8,64.7,65.6,66,68.8,70.4,69.8,68.3,68.2,68.6,63.8,57.1,50.5
3150,70.7,69.4,67.6,66.1,64,62.6,61.9,62,63,63.4,66.2,67.9,67.4,65.9,65.9,66.3,61.4,54.8,48.1
4000,66.5,65.4,63.8,62.3,60.7,59.3,59,59.2,60.3,60.7,63.6,65.3,64.9,63.5,63.5,64,59,52.4,45.7
5000,62.2,61.3,59.9,58.6,57.3,56.1,56,56.3,57.5,57.9,60.9,62.7,62.3,61,61.1,61.7,56.6,49.9,43.3
6300,57.7,57.2,56.1,54.9,54,52.8,53,53.4,54.5,55,58,59.9,59.7,58.4,58.6,59.3,54.1,47.4,40.8
8000,53.2,53.2,52.6,51.5,50.8,49.6,50,50.4,51.5,52,55.1,57,56.8,55.8,56,56.9,51.6,44.9,38.2
10000,49,49.5,49.2,48.2,47.5,46.4,46.8,47.2,48.3,48.9,51.9,53.9,53.9,53,53.4,54.4,48.9,42.3,35.6
12500,45,45.9,46,45,44.3,43.2,43.6,43.9,44.9,45.6,48.5,50.6,50.8,50.1,50.6,51.8,46.2,39.6,32.9
16000,41.1,42.3,42.7,41.8,40.9,39.8,40.1,40.4,41.2,42.1,44.9,47.1,47.5,47.1,47.7,49,43.4,36.8,30.1
20000,37.3,38.7,39.4,38.5,37.4,36.3,36.5,36.7,37.4,38.4,41.1,43.3,43.9,43.9,44.6,46.2,40.5,33.8,27.2
25000,33.3,34.9,35.8,35,33.8,32.7,32.7,32.9,33.3,34.6,37,39.2,40.2,40.4,41.4,43.2,37.4,30.8,24.1
