F-4,J79-GE-15,Maximum power A/B (98.5% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,94,90.5,92.1,93.6,94.9,95.8,97.3,97.2,95.4,94,93.7,93.8,95.1,95,95.2,94.5,95.3,94.2,93
250,92,88.4,90,91.4,92.8,93.8,95.3,95.1,93.3,91.9,91.6,91.7,93.1,92.9,93.1,92.4,93.2,92.1,90.9
315,89.9,86.3,87.9,89.3,90.6,91.7,93.2,93.1,91.2,89.8,89.6,89.7,91,90.8,91,90.4,91.1,90,88.8
400,87.8,84.2,85.7,87.1,88.5,89.5,91.1,91,89.1,87.7,87.5,87.6,88.9,88.7,88.9,88.2,89,87.9,86.7
500,85.7,82,83.5,84.9,86.4,87.4,89,88.9,87,85.6,85.3,85.5,86.8,86.6,86.8,86.1,86.9,85.7,84.6
630,83.5,79.8,81.3,82.7,84.2,85.3,86.9,86.7,84.9,83.4,83.2,83.3,84.6,84.5,84.6,84,84.7,83.6,82.4
800,81.3,77.5,79,80.4,81.9,83.1,84.7,84.6,82.7,81.3,81,81.2,82.5,82.3,82.5,81.8,82.5,81.4,80.2
1000,79.1,75.2,76.7,78.1,79.7,80.8,82.6,82.4,80.5,79.1,78.8,79,80.3,80.1,80.2,79.6,80.3,79.2,78
1250,76.8,72.9,74.3,75.7,77.3,78.6,80.3,80.1,78.2,76.8,76.6,76.7,78.1,77.8,78,77.3,78.1,76.9,75.7
1600,74.5,70.5,71.9,73.2,75,76.3,78.1,77.9,75.9,74.5,74.3,74.5,75.8,75.6,75.7,75,75.8,74.6,73.4
2000,72.2,68.1,69.4,70.7,72.5,73.9,75.7,75.5,73.6,72.2,72,72.2,73.5,73.2,73.4,72.7,73.4,72.3,71.1
2500,69.8,65.6,66.8,68.1,70,71.5,73.4,73.1,71.2,69.8,69.6,69.8,71.2,70.9,71,70.3,71,69.9,68.7
3150,67.2,63.1,64.2,65.5,67.4,69,70.9,70.7,68.7,67.3,67.2,67.4,68.8,68.4,68.5,67.9,68.6,67.4,66.2
4000,64.6,60.5,61.4,62.7,64.7,66.4,68.3,68.1,66.1,64.7,64.6,64.9,66.3,65.9,66,65.3,66.1,64.8,63.7
5000,61.9,57.7,58.6,59.8,61.9,63.7,65.7,65.4,63.4,62,61.9,62.3,63.7,63.3,63.4,62.7,63.4,62.2,61
6300,59.1,54.9,55.6,56.8,58.9,60.9,62.9,62.6,60.5,59.2,59.2,59.6,61,60.6,60.6,59.9,60.7,59.4,58.2
8000,56,51.9,52.4,53.7,55.8,57.9,59.9,59.7,57.6,56.2,56.2,56.8,58.2,57.7,57.7,57,57.8,56.5,55.3
10000,52.9,48.8,49.1,50.4,52.6,54.8,56.8,56.6,54.4,53.1,53.1,53.8,55.2,54.7,54.7,54,54.7,53.3,52.2
12500,49.5,45.5,45.6,46.9,49.1,51.4,53.5,53.2,51.1,49.8,49.8,50.6,52,51.4,51.4,50.7,51.4,50,48.9
16000,45.8,41.9,41.9,43.2,45.5,47.9,49.9,49.7,47.5,46.2,46.3,47.1,48.6,48,47.9,47.1,47.8,46.3,45.3
20000,41.9,38.2,37.9,39.4,41.7,44,46.1,45.9,43.6,42.4,42.5,43.4,44.9,44.3,44.1,43.3,44,42.4,41.5
25000,37.7,34.1,33.7,35.2,37.6,39.8,41.9,41.8,39.5,38.3,38.4,39.4,40.9,40.3,40,39.2,39.8,38.1,37.3
