F-8,J57-P-20,Military power (97% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,100.7,101.2,100.7,103,102.5,103.2,106,108.3,111.2,113.2,113.5,116.2,119.2,120.6,121.9,114.5,107.8,101.2,94.5
250,98.5,99,98.6,100.9,100.4,101,103.8,106.2,109,111,111.3,114.1,117.1,118.5,119.8,112.4,105.8,99.1,92.4
315,96.4,96.8,96.4,98.7,98.2,98.9,101.6,104,106.8,108.8,109.1,112,115,116.5,117.8,110.3,103.7,97,90.3
400,94.2,94.5,94.1,96.5,96,96.7,99.4,101.7,104.5,106.6,106.9,109.8,112.9,114.4,115.7,108.2,101.6,94.9,88.2
500,91.9,92.3,91.9,94.3,93.8,94.4,97.1,99.4,102.2,104.3,104.7,107.6,110.7,112.3,113.6,106.1,99.5,92.8,86.1
630,89.6,89.9,89.5,92,91.5,92.1,94.7,97,99.9,101.9,102.4,105.3,108.5,110.1,111.4,104,97.4,90.7,84
800,87.3,87.5,87.1,89.7,89.1,89.8,92.3,94.6,97.4,99.5,100.1,103.1,106.3,107.9,109.3,101.9,95.2,88.6,81.9
1000,84.9,85,84.7,87.3,86.8,87.4,89.8,92.1,94.9,97,97.7,100.8,104,105.7,107,99.7,93.1,86.4,79.7
1250,82.5,82.5,82.2,84.9,84.3,85,87.3,89.6,92.4,94.4,95.2,98.4,101.7,103.5,104.8,97.5,90.8,84.2,77.5
1600,80,79.9,79.6,82.4,81.8,82.5,84.7,86.9,89.7,91.7,92.7,95.9,99.3,101.2,102.5,95.2,88.6,81.9,75.2
2000,77.4,77.2,76.9,79.8,79.2,79.9,82,84.2,86.9,89,90.1,93.4,96.9,98.9,100.2,92.9,86.3,79.6,72.9
2500,74.7,74.4,74.2,77.1,76.5,77.2,79.2,81.4,84.1,86.1,87.4,90.8,94.3,96.5,97.8,90.6,83.9,77.3,70.6
3150,72,71.5,71.4,74.4,73.7,74.4,76.3,78.4,81.1,83.2,84.6,88.1,91.7,94,95.3,88.1,81.5,74.8,68.1
4000,69.2,68.6,68.5,71.5,70.7,71.5,73.3,75.4,78,80.1,81.7,85.3,89,91.4,92.7,85.7,79.1,72.4,65.7
5000,66.3,65.7,65.5,68.5,67.7,68.5,70.2,72.2,74.8,76.8,78.7,82.3,86.1,88.7,90,83.1,76.5,69.8,63.1
6300,63.2,62.6,62.5,65.3,64.5,65.4,66.9,68.9,71.4,73.4,75.4,79.2,83.1,85.9,87.3,80.4,73.8,67.1,60.4
8000,60,59.4,59.3,62,61.2,62.1,63.5,65.4,67.9,69.9,72.1,76,79.9,83,84.3,77.6,71,64.3,57.6
10000,56.7,56.1,55.9,58.5,57.7,58.6,59.9,61.7,64.2,66.2,68.5,72.5,76.5,79.8,81.3,74.7,68.1,61.4,54.7
12500,53.1,52.5,52.3,54.7,53.9,54.9,56.1,57.9,60.3,62.2,64.6,68.8,73,76.6,78,71.6,65,58.3,51.6
16000,49.2,48.8,48.5,50.7,50,51,52.1,53.8,56.1,58.1,60.6,64.9,69.2,73.1,74.6,68.3,61.7,55,48.3
20000,45.1,44.7,44.5,46.4,45.8,46.8,47.9,49.5,51.8,53.7,56.3,60.7,65.1,69.4,70.9,64.8,58.2,51.5,44.8
25000,40.7,40.4,40.2,41.9,41.4,42.4,43.5,45,47.2,49,51.7,56.3,60.9,65.4,67,61,54.4,47.7,41
