F-16A,F100-PW-100,Idle (62% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,96.7,94.3,97.4,93.8,93,90.7,87.8,83.4,79.9,76.1,76.8,79.2,82.4,83.1,82.2,80.4,78.5,77,62.7
250,94.5,92,95.1,91.5,90.7,88.4,85.6,81.2,77.7,73.9,74.6,77,80.1,80.8,79.9,78.1,76.3,74.8,60.5
315,92.2,89.7,92.8,89.2,88.4,86.1,83.2,78.8,75.4,71.7,72.3,74.6,77.8,78.5,77.6,75.8,74,72.5,58.3
400,89.8,87.3,90.4,86.8,86,83.7,80.8,76.4,73,69.3,70,72.2,75.4,76,75.2,73.4,71.7,70.2,56
500,87.3,84.8,88,84.3,83.5,81.2,78.3,73.9,70.6,67,67.6,69.8,72.9,73.6,72.8,70.9,69.3,67.8,53.6
630,84.7,82.2,85.4,81.8,80.9,78.6,75.7,71.3,68.1,64.5,65.1,67.2,70.3,71,70.3,68.3,66.9,65.3,51.1
800,81.9,79.5,82.7,79.1,78.2,75.9,73,68.5,65.5,62,62.6,64.6,67.7,68.3,67.7,65.7,64.4,62.8,48.6
1000,79.1,76.7,79.9,76.3,75.4,73,70.2,65.7,62.8,59.4,60,61.9,65,65.6,65,62.9,61.8,60.2,46
1250,76,73.8,77,73.3,72.4,70,67.2,62.7,60.1,56.8,57.3,59.2,62.2,62.8,62.3,60.1,59.2,57.4,43.2
1600,72.8,70.7,73.9,70.2,69.3,66.9,64.1,59.6,57.2,54,54.5,56.4,59.3,60,59.5,57.3,56.5,54.6,40.4
2000,69.4,67.4,70.5,66.9,66.1,63.7,60.8,56.3,54.2,51.2,51.8,53.6,56.5,57.2,56.7,54.4,53.8,51.7,37.4
2500,65.8,64.1,67,63.5,62.8,60.3,57.4,53,51.2,48.4,49,50.8,53.7,54.4,53.9,51.4,51.1,48.7,34.3
3150,62,60.6,63.4,59.9,59.3,56.8,53.8,49.7,48.1,45.5,46.2,48,51,51.6,51.1,48.5,48.3,45.6,31.1
4000,58.1,57,59.5,56.2,55.7,53.2,50.1,46.3,44.9,42.5,43.3,45.3,48.2,48.8,48.2,45.6,45.4,42.4,27.9
5000,54.1,53.4,55.5,52.4,52,49.4,46.4,43,41.7,39.4,40.5,42.5,45.3,45.9,45.3,42.7,42.6,39.2,24.5
6300,50.2,49.6,51.4,48.5,48.2,45.5,42.5,39.6,38.4,36.3,37.6,39.6,42.3,42.9,42.4,39.7,39.6,35.9,21.1
8000,46.2,45.7,47.2,44.5,44.3,41.5,38.5,36.1,35.1,33.1,34.6,36.5,39.2,39.7,39.3,36.7,36.6,32.5,17.6
10000,42.2,41.7,42.9,40.4,40.1,37.3,34.4,32.6,31.7,29.8,31.5,33.4,35.9,36.4,36,33.5,33.4,29.1,14
12500,38,37.5,38.4,36.1,35.7,32.9,30.3,29,28.2,26.4,28.2,30.1,32.4,32.9,32.6,30.3,30.2,25.5,10.2
16000,33.7,33.1,33.7,31.7,31.1,28.5,26.1,25.2,24.6,22.9,24.8,26.7,28.7,29.3,29,26.9,26.8,21.9,6.4
20000,29.3,28.5,28.8,27,26.4,24.1,21.9,21.4,20.9,19.3,21.3,23.1,24.8,25.4,25.2,23.3,23.3,18.2,2.3
25000,24.7,23.8,23.9,22.3,21.6,19.7,17.7,17.5,17.1,15.6,17.5,19.3,20.8,21.4,21.3,19.6,19.6,14.5,-1.8
