F-16A,F100-PW-100,Engine runup (80% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.7,95.1,94.9,94.5,94.6,94,93,91.9,92.4,91.2,92.9,95,96.9,98,98.4,99.4,96.9,83.9,63.9
250,91.5,92.9,92.7,92.3,92.5,91.9,90.8,89.7,90.2,89.1,90.8,92.9,94.8,96,96.3,97.4,94.8,81.9,61.9
315,89.3,90.7,90.5,90.1,90.2,89.7,88.6,87.5,88,86.9,88.7,90.8,92.7,93.9,94.3,95.3,92.8,79.8,59.8
400,87,88.5,88.2,87.9,88,87.4,86.4,85.3,85.8,84.7,86.5,88.6,90.6,91.8,92.2,93.3,90.8,77.8,57.8
500,84.7,86.2,85.9,85.6,85.7,85.2,84.1,83,83.6,82.5,84.3,86.5,88.5,89.7,90.1,91.3,88.7,75.7,55.7
630,82.3,83.8,83.5,83.3,83.4,82.8,81.8,80.7,81.3,80.3,82.1,84.3,86.3,87.6,88,89.2,86.6,73.7,53.7
800,79.8,81.4,81,80.9,81,80.4,79.4,78.3,79,78,79.9,82.1,84.1,85.5,85.9,87.1,84.6,71.6,51.6
1000,77.3,79,78.6,78.5,78.5,78,77,75.9,76.6,75.6,77.6,79.8,81.9,83.3,83.7,85,82.5,69.5,49.5
1250,74.8,76.4,76,76,76,75.5,74.4,73.4,74.2,73.3,75.3,77.5,79.7,81.1,81.6,82.9,80.4,67.4,47.4
1600,72.1,73.8,73.4,73.4,73.4,72.9,71.9,70.9,71.7,70.8,72.9,75.1,77.4,78.8,79.4,80.8,78.2,65.3,45.3
2000,69.5,71.1,70.8,70.8,70.8,70.3,69.2,68.3,69.1,68.3,70.4,72.7,75,76.5,77.1,78.6,76.1,63.1,43.1
2500,66.7,68.3,68.1,68.1,68.1,67.5,66.5,65.6,66.5,65.7,67.9,70.2,72.6,74.2,74.8,76.4,73.9,61,41
3150,63.9,65.4,65.3,65.3,65.3,64.7,63.7,62.9,63.8,63.1,65.3,67.6,70.1,71.8,72.5,74.2,71.7,58.8,38.8
4000,60.9,62.4,62.4,62.4,62.3,61.7,60.7,60,61,60.3,62.7,65,67.5,69.3,70.1,71.9,69.4,56.6,36.6
5000,57.9,59.2,59.4,59.3,59.3,58.6,57.7,57.1,58,57.4,59.9,62.2,64.8,66.7,67.6,69.6,67.1,54.3,34.3
6300,54.8,55.9,56.3,56.1,56.1,55.4,54.5,54,54.9,54.4,56.9,59.2,61.9,63.9,65,67.2,64.7,52,32
8000,51.6,52.4,53,52.7,52.7,52.1,51.3,50.8,51.7,51.3,53.9,56.2,58.9,61.1,62.3,64.7,62.2,49.6,29.6
10000,48.1,48.7,49.6,49.2,49.2,48.5,47.8,47.5,48.3,48,50.6,53,55.8,58.1,59.5,62.1,59.6,47.2,27.2
12500,44.5,44.9,46,45.4,45.5,44.8,44.2,44,44.7,44.6,47.2,49.5,52.4,54.9,56.5,59.3,56.8,44.7,24.7
16000,40.7,40.8,42.1,41.4,41.5,40.9,40.5,40.3,41,40.9,43.6,45.9,48.8,51.5,53.4,56.5,54,42,22
20000,36.7,36.6,38,37.1,37.3,36.8,36.6,36.4,37,37.1,39.7,42.1,45,47.9,50.1,53.5,50.9,39.2,19.2
25000,32.4,32.2,33.6,32.7,32.9,32.5,32.4,32.3,32.9,33.1,35.6,38,41,44.1,46.6,50.3,47.6,36.2,16.2
