F-16A,F100-PW-100,Intermediate military power (90% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,105,106.9,108.7,108.8,107,107.3,107.2,106.1,108.7,109.8,111.7,115.1,120,124.1,123.6,121.7,118.7,108.7,98.7
250,103,104.8,106.6,106.7,104.9,105.2,105.1,104,106.6,107.6,109.5,112.9,117.9,122,121.5,119.6,116.7,106.7,96.7
315,100.9,102.7,104.5,104.6,102.8,103,102.9,101.8,104.4,105.4,107.4,110.8,115.8,119.9,119.4,117.6,114.6,104.6,94.6
400,98.8,100.6,102.4,102.5,100.7,100.9,100.7,99.6,102.2,103.1,105.2,108.6,113.7,117.8,117.3,115.5,112.6,102.6,92.6
500,96.6,98.4,100.3,100.4,98.5,98.7,98.5,97.4,99.9,100.8,102.9,106.4,111.5,115.7,115.2,113.4,110.5,100.5,90.5
630,94.5,96.3,98.1,98.2,96.2,96.4,96.2,95.1,97.6,98.5,100.6,104.1,109.3,113.5,113.1,111.3,108.4,98.4,88.4
800,92.3,94.1,95.9,95.9,94,94.1,93.8,92.8,95.2,96,98.3,101.8,107.1,111.3,110.9,109.1,106.3,96.3,86.3
1000,90,91.8,93.6,93.6,91.6,91.8,91.4,90.4,92.8,93.5,95.9,99.4,104.9,109,108.7,106.9,104.1,94.1,84.1
1250,87.7,89.5,91.3,91.3,89.2,89.4,88.9,88,90.3,91,93.4,97,102.5,106.7,106.5,104.7,102,92,82
1600,85.3,87.1,88.9,88.8,86.7,86.9,86.3,85.5,87.7,88.3,90.9,94.5,100.2,104.4,104.2,102.5,99.7,89.7,79.7
2000,82.9,84.6,86.4,86.3,84.2,84.2,83.6,82.9,85,85.6,88.2,92,97.7,102,101.8,100.2,97.5,87.5,77.5
2500,80.3,82,83.8,83.6,81.5,81.5,80.8,80.1,82.2,82.7,85.5,89.3,95.2,99.5,99.4,97.9,95.2,85.2,75.2
3150,77.6,79.3,81.1,80.8,78.6,78.6,77.9,77.3,79.3,79.8,82.7,86.6,92.6,96.9,97,95.4,92.8,82.8,72.8
4000,74.8,76.5,78.2,77.8,75.6,75.6,74.7,74.3,76.2,76.8,79.8,83.7,89.9,94.3,94.4,92.9,90.3,80.3,70.3
5000,71.8,73.5,75.2,74.7,72.4,72.3,71.4,71.2,73,73.7,76.7,80.7,87.1,91.5,91.7,90.3,87.8,77.8,67.8
6300,68.6,70.2,71.9,71.2,69,68.8,67.9,68,69.6,70.4,73.5,77.6,84.1,88.6,88.9,87.6,85.1,75.1,65.1
8000,65.2,66.7,68.4,67.5,65.3,65.1,64.2,64.5,66,67,70.1,74.2,80.9,85.6,86,84.8,82.3,72.3,62.3
10000,61.5,62.9,64.5,63.5,61.4,61,60.3,60.9,62.2,63.5,66.5,70.7,77.6,82.3,82.9,81.8,79.4,69.4,59.4
12500,57.4,58.8,60.4,59.2,57.2,56.8,56.2,57.1,58.3,59.8,62.8,67,74.1,78.9,79.6,78.6,76.2,66.2,56.2
16000,53.1,54.3,55.8,54.5,52.6,52.2,52,53.2,54.1,55.9,58.9,63.1,70.4,75.3,76,75.2,72.9,62.9,52.9
20000,48.4,49.5,50.9,49.4,47.9,47.5,47.6,49,49.8,51.8,54.7,59,66.4,71.4,72.3,71.6,69.3,59.3,49.3
25000,43.5,44.3,45.7,44.2,42.9,42.7,43.1,44.7,45.3,47.4,50.3,54.5,62.1,67.2,68.3,67.8,65.5,55.5,45.5
