A-3,J57-P-10,Takeoff (96% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),   A-G,   G-G, A-G, G-G,    A-G,   G-G,   A-G,   G-G
200,126,126,129.3,129.5,121.1,121.1,133.9,134.1
250,124.5,124.5,127.7,127.8,118.9,118.9,131.7,131.8
315,122.9,122.2,126,125.6,116.7,116.1,129.4,129
400,121.2,120,124.3,123.3,114.4,113.2,127.1,126.1
500,119.5,117.5,122.4,120.9,112.1,110.2,124.6,123.1
630,117.7,115.1,120.5,118.3,109.8,107.1,122.1,119.9
800,115.9,112.6,118.5,115.5,107.3,104.1,119.5,116.5
1000,114,110.2,116.3,112.6,104.8,101,116.7,113
1250,112,107.7,114,109.6,102.3,98,113.8,109.4
1600,110,105.6,111.5,107,99.6,95.2,110.7,106.2
2000,107.8,103.4,108.9,104.3,96.8,92.4,107.5,102.9
2500,105.5,101.3,106.1,101.6,93.9,89.7,104.1,99.6
3150,103,99.1,103,98.9,90.8,87,100.4,96.3
4000,100.4,97,99.9,96,87.6,84.2,96.9,92.9
5000,97.5,94.6,96.7,92.8,84.2,81.2,93.1,89.3
6300,94.5,91.9,93.2,89.2,80.5,77.9,89.2,85.2
8000,91.2,88.8,89.4,85.3,76.6,74.2,85,80.8
10000,87.6,85.1,85.4,81.1,72.5,69.9,80.4,76.2
12500,83.8,80.3,81.7,76.4,68,64.6,76.2,70.8
16000,79.7,74.9,77.8,70.8,63.3,58.5,71.7,64.7
20000,75.4,68.9,73.5,64.6,58.4,51.9,66.7,57.9
25000,70.9,62.3,68.8,57.7,53.4,44.7,61.4,50.4
