A-4C,J52-P-8B,Takeoff (100% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,129.7,129.7,134.6,134.2,126.8,126.8,141.1,140.7
250,128,128,132.8,132.4,124.4,124.4,138.7,138.3
315,126.2,125.5,130.9,129.6,122.1,121.3,136.1,134.9
400,124.3,122.9,128.8,126.9,119.6,118.1,133.5,131.6
500,122.4,120.3,126.6,124.3,117,114.9,130.6,128.3
630,120.3,117.5,124.1,121.4,114.3,111.6,127.6,124.9
800,118.1,114.7,121.4,118.3,111.6,108.1,124.3,121.1
1000,115.8,111.7,118.5,114.8,108.7,104.6,120.8,117
1250,113.5,108.8,115.5,111,105.8,101.1,117.2,112.7
1600,111.2,106.3,112.3,107.6,102.8,97.9,113.4,108.7
2000,108.7,103.7,109.5,104.1,99.8,94.8,110,104.6
2500,106.1,101.2,106.5,100.7,96.6,91.6,106.4,100.5
3150,103.4,98.6,103.4,97.2,93.2,88.5,102.7,96.5
4000,100.4,96,99.8,93.8,89.7,85.2,98.5,92.5
5000,97.2,93,96,90.1,85.9,81.7,94.1,88.2
6300,93.7,89.8,92,86.4,81.7,77.8,89.5,83.9
8000,89.7,86.1,87.6,82.5,77.1,73.6,84.5,79.4
10000,85.2,81.9,82.8,78.1,72.1,68.8,79.1,74.4
12500,80.2,76.6,77.7,72.7,66.4,62.8,73.4,68.4
16000,74.4,70.2,72,66.1,60.1,55.9,67.1,61.2
20000,67.9,63,65.5,58.6,53,48,60,53.1
25000,60.9,54.5,57.9,49.2,45.3,39,51.8,43.1
