A-4C,J52-P-8B,Approach (93% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,112.3,112.3,116.5,117.1,110.6,110.6,123.6,124.1
250,110.7,110.7,114.9,115.4,108.4,108.4,121.3,121.9
315,109.1,108.2,113.2,113.1,106.2,105.3,119.1,119
400,107.5,105.8,111.4,110.6,104,102.3,116.7,115.9
500,105.8,103.4,109.6,108.1,101.7,99.3,114.3,112.8
630,104.1,101,107.7,105.5,99.4,96.3,111.8,109.6
800,102.3,98.5,105.7,102.7,97,93.2,109.1,106.2
1000,100.4,96,103.5,99.8,94.5,90.1,106.4,102.7
1250,98.5,93.6,101.2,96.8,92,87.1,103.5,99
1600,96.5,91.4,98.7,94.1,89.4,84.3,100.4,95.8
2000,94.4,89.2,96,91.2,86.7,81.5,97.1,92.3
2500,92.2,87,93.3,88.4,83.9,78.7,93.7,88.9
3150,89.8,84.9,90.7,85.7,80.9,76,90.6,85.6
4000,87.4,82.7,87.9,82.8,77.9,73.2,87.3,82.2
5000,84.8,80.3,84.9,79.5,74.7,70.2,83.9,78.6
6300,82.1,77.7,81.8,76,71.4,67,80.4,74.6
8000,79.1,74.7,78.4,72.1,67.8,63.4,76.6,70.3
10000,76,71.3,74.9,67.9,64.1,59.4,72.7,65.7
12500,72.7,66.8,71.5,63.6,60.2,54.3,68.7,60.8
16000,69.1,61.9,67.8,58.5,56,48.8,64.4,55
20000,65.3,56.5,63.7,52.8,51.6,42.8,59.7,48.7
25000,61.3,50.7,59.3,45.8,47,36.4,54.7,41.1
