A-5C,J79-GE-8C,Afterburner (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,133.2,133.2,137,136.9,132,132,145.8,145.8
250,131.6,131.6,135.3,135.3,129.9,129.9,143.6,143.6
315,130.1,128.6,133.7,132.8,127.7,126.2,141.3,140.5
400,128.5,125.8,131.9,130.1,125.5,122.8,139,137.1
500,126.8,123.3,130.2,127.6,123.2,119.8,136.6,134
630,125.1,120.9,128.4,124.9,121,116.7,134.3,130.7
800,123.4,118.4,126.5,122.1,118.6,113.6,131.8,127.4
1000,121.6,116,124.6,119.2,116.3,110.6,129.3,123.9
1250,119.8,113.6,122.7,116.3,113.8,107.6,126.7,120.3
1600,117.9,111.4,120.6,113.7,111.4,104.8,124.1,117.1
2000,116,109.2,118.5,111,108.8,102.1,121.3,113.9
2500,114,107.1,116.3,108.4,106.2,99.3,118.5,110.6
3150,111.9,105,114,105.7,103.5,96.6,115.6,107.4
4000,109.7,102.9,111.4,102.9,100.7,93.9,112.5,104
5000,107.3,100.6,108.8,99.8,97.8,91,109.3,100.4
6300,104.9,98,106,96.6,94.7,87.9,106,96.5
8000,102.3,95.2,103.1,93.3,91.5,84.4,102.5,92.7
10000,99.6,91.9,100.1,90.2,88.2,80.5,98.9,89
12500,96.6,87.9,97.1,86.5,84.6,75.9,95.3,84.8
16000,93.5,83.3,93.8,82.2,80.9,70.7,91.4,79.9
20000,90.1,78.5,90.2,77.5,76.9,65.3,87.2,74.5
25000,86.4,73.5,86.7,72.3,72.6,59.7,83.1,68.7
