A-5C,J79-GE-8C,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,129.3,129.3,132.5,133.2,128.4,128.4,139.8,140.5
250,127.7,127.7,130.9,131.5,126.3,126.3,137.6,138.3
315,126.1,125.3,129.2,129.4,124.1,123.2,135.3,135.5
400,124.5,122.9,127.4,127.3,121.8,120.2,132.9,132.8
500,122.8,120.5,125.6,124.8,119.5,117.2,130.5,129.7
630,121.1,118.1,123.6,122.2,117.2,114.2,127.9,126.5
800,119.3,115.6,121.6,119.5,114.8,111.2,125.3,123.2
1000,117.4,113.2,119.4,116.6,112.4,108.1,122.5,119.7
1250,115.5,110.8,117.1,113.6,109.8,105.1,119.6,116.1
1600,113.5,108.7,114.6,111.1,107.2,102.4,116.5,113
2000,111.3,106.6,112,108.4,104.5,99.7,113.3,109.7
2500,109.1,104.5,109.2,105.7,101.6,97,109.9,106.4
3150,106.7,102.4,106.5,103,98.6,94.4,106.6,103.1
4000,104.1,100.4,103.4,100,95.4,91.7,103.2,99.7
5000,101.3,98,100.2,96.6,92.1,88.7,99.6,96.1
6300,98.3,95.5,96.7,92.9,88.4,85.6,95.8,92
8000,95,92.5,92.9,89.1,84.5,82,91.8,87.9
10000,91.3,89.1,88.9,85,80.2,78,87.4,83.5
12500,87.2,84.6,84.8,80.6,75.5,72.9,82.7,78.5
16000,82.5,79.3,80.2,75.4,70.3,67.1,77.5,72.7
20000,77.3,73.5,75,69.5,64.4,60.6,71.7,66.2
25000,71.4,66.8,69.2,62.7,57.9,53.3,65.3,58.8
