T-2C,J85-GE-4A,Cruise (101% RPM),160kts
Distance,SEL,n/a,n/a,n/a,LMAX
(ft),A-G
200,122.2752808988764,n/a,n/a,n/a,118.43520599250937
250,120.6752808988764,n/a,n/a,n/a,116.23520599250936
315,118.9752808988764,n/a,n/a,n/a,113.93520599250937
400,117.27265917602996,n/a,n/a,n/a,111.53520599250936
500,115.47265917602996,n/a,n/a,n/a,109.13258426966293
630,113.57003745318352,n/a,n/a,n/a,106.72996254681648
800,111.66741573033707,n/a,n/a,n/a,104.12996254681649
1000,109.56741573033707,n/a,n/a,n/a,101.52734082397004
1250,107.37003745318351,n/a,n/a,n/a,98.72734082397004
1600,105.16741573033707,n/a,n/a,n/a,95.82996254681647
2000,102.67265917602995,n/a,n/a,n/a,92.82996254681647
2500,100.17265917602995,n/a,n/a,n/a,89.63258426966293
3150,97.37790262172284,n/a,n/a,n/a,86.3378277153558
4000,94.48314606741573,n/a,n/a,n/a,82.84044943820224
5000,91.3883895131086,n/a,n/a,n/a,79.04831460674157
6300,88.09363295880149,n/a,n/a,n/a,75.25355805243446
8000,84.60149812734082,n/a,n/a,n/a,71.16142322097379
10000,80.91198501872658,n/a,n/a,n/a,66.87191011235954
12500,77.11985018726591,n/a,n/a,n/a,62.38239700374532
16000,73.03295880149813,n/a,n/a,n/a,57.69288389513108
20000,68.64606741573033,n/a,n/a,n/a,52.80599250936329
25000,64.061797752809,n/a,n/a,n/a,47.52434456928839
