A-6A,J52-P-8A,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,126.5,126.5,129.8,130,124.6,124.6,137.4,137.6
250,125,125,128.1,128.3,122.4,122.4,135.1,135.3
315,123.3,122.8,126.4,126.2,120.2,119.6,132.8,132.6
400,121.7,120.5,124.7,123.8,118,116.8,130.4,129.6
500,120,118.1,122.8,121.3,115.6,113.8,128,126.5
630,118.2,115.7,120.8,118.7,113.3,110.8,125.4,123.3
800,116.4,113.2,118.8,115.9,110.8,107.7,122.7,119.9
1000,114.4,110.7,116.5,113,108.3,104.6,119.9,116.4
1250,112.4,108.3,114.2,109.9,105.7,101.5,117,112.7
1600,110.3,106.1,111.8,107.3,103,98.8,113.9,109.5
2000,108.1,103.9,109.2,104.7,100.2,96,110.8,106.3
2500,105.8,101.7,106.5,102,97.3,93.2,107.4,103
3150,103.3,99.6,103.5,99.4,94.1,90.5,103.9,99.7
4000,100.6,97.4,100.1,96.5,90.9,87.7,100,96.4
5000,97.7,95,96.6,93.3,87.4,84.6,96,92.7
6300,94.6,92.3,93,89.9,83.7,81.3,92,88.8
8000,91.2,89.1,89.2,86,79.7,77.6,87.7,84.5
10000,87.5,85.4,85.1,81.4,75.4,73.3,83.2,79.4
12500,83.6,80.6,81.1,76.3,70.9,67.8,78.5,73.7
16000,79.3,75,77,70.7,66,61.7,73.9,67.5
20000,74.8,68.9,72.8,64.8,60.9,55,69,61
25000,70.1,62.3,68.2,58,55.5,47.7,63.9,53.6
