A-6A,J52-P-8A,Approach (95% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,121.3,121.3,125.1,125.7,118.7,118.7,131.3,131.9
250,119.7,119.7,123.5,124.1,116.5,116.5,129.1,129.7
315,118.2,116.8,121.8,121.6,114.4,113,126.8,126.6
400,116.6,114.2,120.1,119,112.2,109.8,124.5,123.4
500,115,111.8,118.3,116.5,110,106.8,122.1,120.3
630,113.3,109.3,116.4,113.8,107.7,103.7,119.6,117
800,111.6,106.9,114.4,111.1,105.4,100.7,117.1,113.7
1000,109.8,104.5,112.4,108.3,103,97.7,114.4,110.3
1250,108,102.1,110.2,105.4,100.6,94.7,111.7,106.8
1600,106.1,100,108.1,102.8,98.1,92,108.9,103.6
2000,104.1,97.8,105.9,100.2,95.5,89.2,106.2,100.4
2500,102,95.7,103.7,97.5,92.8,86.5,103.3,97.2
3150,99.8,93.6,101.3,94.9,90,83.8,100.4,93.9
4000,97.5,91.5,98.7,91.9,87.1,81.1,97.3,90.5
5000,95.1,89.1,96,88.7,84.1,78.1,94.2,86.9
6300,92.6,86.6,93.2,85.3,81,75,90.9,83.1
8000,89.9,83.7,90.2,81.6,77.7,71.5,87.5,79
10000,87,80.4,87,78.2,74.2,67.6,83.9,75.1
12500,83.9,76.2,83.8,74,70.5,62.8,80.1,70.3
16000,80.6,71.5,80.3,69.5,66.6,57.5,76,65.2
20000,77,66.4,76.4,64.3,62.4,51.8,71.5,59.4
25000,73.2,61.1,72.2,58.3,58,45.9,66.7,52.9
