A-7E ,TF41-A-2,Takeoff (96% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,126.9,126.9,130.7,130.8,124.7,124.7,138.5,138.6
250,125.3,125.3,129,129,122.5,122.5,136.2,136.3
315,123.6,122.6,127.1,126.5,120.2,119.2,133.8,133.2
400,121.8,119.8,125.2,124,117.8,115.9,131.2,130.1
500,120,117.2,123.1,121.4,115.4,112.7,128.5,126.9
630,118,114.5,120.8,118.5,112.9,109.4,125.6,123.3
800,116.1,111.8,118.3,115.4,110.3,106.1,122.5,119.6
1000,114,109.1,115.8,112,107.7,102.7,119.5,115.7
1250,111.9,106.4,113.4,108.5,105,99.5,116.4,111.5
1600,109.8,104.1,110.9,105.3,102.2,96.5,113.3,107.7
2000,107.5,101.6,108.2,102.1,99.3,93.5,110.1,104
2500,105.1,99.2,105.4,98.8,96.3,90.5,106.7,100.1
3150,102.5,96.8,102.5,95.8,93.2,87.5,103.1,96.4
4000,99.8,94.4,99.1,92.7,89.8,84.4,99.1,92.7
5000,96.8,91.6,95.5,89.5,86.2,81,94.8,88.8
6300,93.5,88.7,91.7,86.1,82.3,77.5,90.3,84.7
8000,89.9,85.4,87.5,82.3,78.1,73.6,85.4,80.3
10000,85.7,81.6,82.8,78,73.4,69.2,80.1,75.3
12500,81,76.7,78,72.9,68.1,63.8,74.7,69.6
16000,75.7,70.9,72.4,66.7,62.1,57.3,68.5,62.7
20000,69.5,64.2,66.5,59.3,55.3,50,61.9,54.8
25000,62.6,56.3,59.8,50.6,47.8,41.6,54.7,45.5
