AV-8B,F402-RR-405,Traffic pattern (70% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,113,113,118.5,118.5,110.9,110.9,125.2,125.2
250,111.4,111.4,116.9,116.9,108.7,108.7,123,123
315,109.6,109.1,115.1,114.5,106.3,105.8,120.6,120
400,107.8,106.6,113.2,111.7,103.9,102.7,118.1,116.6
500,105.9,104.2,111.3,109.1,101.4,99.7,115.6,113.4
630,103.9,101.6,109.2,106.4,98.8,96.5,112.9,110.1
800,101.8,99.1,107,103.9,96.1,93.4,110.1,107
1000,99.6,96.3,104.6,101,93.3,90,107.1,103.5
1250,97.3,93.4,102,97.9,90.4,86.5,103.9,99.8
1600,94.9,90.8,99.1,94.9,87.4,83.3,100.4,96.2
2000,92.4,88.1,96,91.6,84.3,80,96.7,92.3
2500,89.8,85.4,92.5,88.1,81.1,76.7,92.6,88.2
3150,87.2,82.9,88.7,84.3,77.9,73.6,88.2,83.8
4000,84.5,80.5,84.9,80.7,74.6,70.6,84,79.9
5000,81.7,77.9,81.5,77.2,71.2,67.4,80.3,76.1
6300,78.8,75.2,78,73.4,67.7,64.1,76.5,71.9
8000,75.7,72.1,74.3,69.2,64,60.4,72.6,67.4
10000,72.4,68.6,70.5,64.5,60.1,56.3,68.4,62.4
12500,68.8,64,66.6,59.8,55.9,51.1,63.9,57.1
16000,65,58.9,62.6,54.2,51.5,45.4,59.3,50.9
20000,60.8,53.4,58.1,47.5,46.7,39.3,54.2,43.6
25000,56.3,47.5,53.1,39.6,41.6,32.8,48.6,35.1
