AV-8B,F402-RR-405,Takeoff (95% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,125.9,125.9,125.6,126.2,118.3,118.3,132.2,132.8
250,124.3,124.3,123.8,124.4,116.1,116.1,129.9,130.5
315,122.6,122.1,122,121.7,113.8,113.3,127.5,127.2
400,120.8,119.9,120.1,119.1,111.4,110.5,125,123.9
500,119,117.5,118.1,116.6,109,107.5,122.4,120.8
630,117.1,114.9,116,113.9,106.5,104.3,119.6,117.6
800,115.1,112.4,113.7,111.1,103.9,101.1,116.8,114.2
1000,113,109.7,111.3,108.2,101.2,97.8,113.8,110.7
1250,110.9,107,108.8,105.1,98.4,94.5,110.7,107
1600,108.6,104.5,106.2,102.2,95.6,91.5,107.4,103.5
2000,106.2,102.1,103.3,99.3,92.6,88.5,104,100
2500,103.8,99.7,100.3,96.3,89.5,85.5,100.4,96.4
3150,101.2,97.3,97.2,93.5,86.3,82.5,96.6,93
4000,98.4,95.1,93.7,90.4,83,79.7,92.8,89.5
5000,95.6,92.5,90,87.1,79.6,76.5,88.7,85.7
6300,92.6,89.8,86.6,83.4,75.9,73.1,84.8,81.6
8000,89.4,86.5,83.1,79.3,72.1,69.3,80.9,77.1
10000,86,82.8,79.5,74.7,68.2,65,76.9,72.1
12500,82.4,78,75.9,69.4,64,59.6,72.7,66.1
16000,78.6,72.6,71.9,64.1,59.6,53.6,68.1,60.3
20000,74.7,66.9,67.6,58,55,47.2,63.2,53.6
25000,70.5,60.8,62.9,50.7,50.2,40.5,57.9,45.7
