AV-8B,F402-RR-408,STOL Approach (95% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,116.8,116.8,13,13,113.9,113.9,127.3,127.3
250,115.2,115.2,11.4,11.4,111.7,111.7,125.1,125.1
315,113.6,113.1,9.7,9.2,109.5,109,122.8,122.3
400,111.9,111,7.9,6.9,107.2,106.3,120.4,119.4
500,110.2,108.6,6.1,4.4,104.9,103.3,118,116.3
630,108.4,106.1,4.2,1.8,102.5,100.2,115.5,113.1
800,106.6,103.5,2.2,-1,100.1,97,112.9,109.7
1000,104.6,100.9,0,-3.9,97.5,93.8,110.1,106.2
1250,102.6,98.3,-2.3,-6.9,94.9,90.6,107.2,102.6
1600,100.4,96,-4.8,-9.6,92.1,87.7,104.1,99.3
2000,98.2,93.6,-7.5,-12.4,89.3,84.8,100.8,95.9
2500,95.8,91.3,-10.5,-15.4,86.3,81.8,97.2,92.3
3150,93.3,89,-13.6,-18.2,83.2,78.9,93.5,88.9
4000,90.7,86.8,-16.8,-21,80,76.1,89.9,85.7
5000,88,84.3,-19.7,-24.1,76.7,73,86.4,82.1
6300,85.1,81.6,-22.8,-27.5,73.2,69.7,82.9,78.1
8000,82.1,78.4,-26,-31.4,69.6,65.9,79.1,73.8
10000,78.9,74.7,-29.5,-35.8,65.8,61.6,75.3,68.9
12500,75.6,70.1,-33,-40.7,61.9,56.4,71.1,63.4
16000,72,64.9,-36.8,-45.9,57.7,50.6,66.7,57.6
20000,68.2,59.5,-41.1,-51.8,53.3,44.6,61.9,51.1
25000,64.1,53.7,-45.7,-58.8,48.6,38.2,56.6,43.5
