AV-8B,F402-RR-408,Cruise (99% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,119.1,119.1,14.3,15,117.2,117.2,130.5,131.2
250,117.4,117.4,12.5,13.2,114.9,114.9,128.2,128.9
315,115.6,115.4,10.7,11.1,112.6,112.3,125.8,126.1
400,113.8,113.3,8.8,8.7,110.1,109.6,123.3,123.2
500,111.9,110.8,6.8,6.1,107.6,106.5,120.7,119.9
630,109.9,108.1,4.7,3.3,105,103.3,118,116.5
800,107.8,105.4,2.4,0.3,102.3,99.9,115.1,112.9
1000,105.6,102.5,0,-2.9,99.5,96.4,112.1,109.2
1250,103.3,99.6,-2.6,-6.3,96.6,92.9,108.8,105.2
1600,100.8,97,-5.5,-9.3,93.6,89.7,105.3,101.5
2000,98.2,94.3,-8.6,-12.6,90.4,86.5,101.6,97.7
2500,95.5,91.7,-12,-15.9,87,83.2,97.7,93.8
3150,92.6,89,-15.4,-19.1,83.5,79.9,93.6,90
4000,89.6,86.3,-19.1,-22.5,79.9,76.7,89.4,86.1
5000,86.4,83.3,-23.1,-26.3,76.1,73,84.9,81.8
6300,83,80,-26.7,-30.5,72.1,69.1,80.9,77.1
8000,79.5,76.1,-30.2,-35.1,68,64.6,76.8,71.9
10000,75.8,71.6,-33.9,-40.5,63.8,59.6,72.6,66
12500,72,66.2,-37.8,-46.1,59.4,53.5,68.2,59.8
16000,68.1,60.1,-41.9,-52.3,54.8,46.9,63.4,53.1
20000,64,53.8,-46.5,-59.6,50.1,39.9,58.3,45.2
25000,59.6,47.3,-51.5,-68.4,45.2,32.8,52.7,35.7
