C-130H&N&P,T56-A-15,Takeoff (970 C TIT),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103,103,109.1,109.1,100.2,100.2,114.4,114.4
250,101.5,101.5,107.6,107.6,98,98,112.3,112.3
315,99.9,98.5,106,104.9,95.9,94.5,110.1,109
400,98.4,95.6,104.4,102,93.7,91,107.9,105.4
500,96.8,93.3,102.8,100,91.5,88,105.7,102.9
630,95.1,91,101.1,98,89.2,85.1,103.4,100.3
800,93.4,88.8,99.4,96.1,86.9,82.3,101.1,97.8
1000,91.7,86.7,97.6,94.2,84.6,79.6,98.7,95.3
1250,89.9,84.6,95.7,92.3,82.2,77,96.2,92.8
1600,88,82.8,93.8,90.6,79.7,74.5,93.7,90.5
2000,86.1,80.9,91.8,88.8,77.2,72.1,91.1,88.1
2500,84.1,79.1,89.7,87,74.6,69.6,88.4,85.7
3150,82,77.2,87.5,85,71.9,67.1,85.5,83.1
4000,79.8,75.1,85,82.3,69.2,64.5,82.5,79.7
5000,77.5,72.7,82.4,78.8,66.3,61.4,79.3,75.7
6300,75.1,70.2,79.8,75.3,63.3,58.3,76.1,71.6
8000,72.6,67.7,77,72.7,60.1,55.3,72.7,68.4
10000,70,65.1,74.2,69.8,56.9,52.1,69.3,64.9
12500,67.3,62.2,71.2,66.5,53.6,48.5,65.7,61
16000,64.5,59.4,68.2,63.1,50.2,45.2,62.1,57
20000,61.7,56.9,64.8,59.4,46.8,42.1,58.1,52.7
25000,58.9,54.6,61.3,55.6,43.4,39.2,54,48.3
