C-130J,AE2100D3,Intermediate (1400 HP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,101.8,101.8,106,106,99.6,99.6,115.6,115.7
250,100.2,100.2,104.3,104.4,97.4,97.4,113.4,113.5
315,98.6,97.9,102.7,102.2,95.2,94.5,111.1,110.6
400,97,95.6,101,99.7,93,91.6,108.8,107.5
500,95.3,93.2,99.2,97.3,90.8,88.7,106.4,104.5
630,93.6,90.8,97.3,94.7,88.4,85.6,103.9,101.3
800,91.8,88.4,95.3,92,86.1,82.6,101.3,98
1000,90,86,93.2,89.2,83.6,79.6,98.6,94.6
1250,88.1,83.6,91,87,81.1,76.6,95.8,91.8
1600,86.1,81.4,89,84.7,78.5,73.9,93.2,88.9
2000,84,79.3,86.9,82.4,75.8,71.1,90.5,86
2500,81.8,77.1,84.6,79.5,73,68.3,87.6,82.5
3150,79.5,74.8,82.2,76.4,70.2,65.5,84.6,78.8
4000,77.1,72.6,79.5,72.9,67.2,62.6,81,74.4
5000,74.7,70.1,76.8,69.5,64.1,59.5,77.3,70
6300,72.1,67.4,74,66.2,60.9,56.3,73.5,65.7
8000,69.4,64.4,71.1,62.6,57.7,52.6,69.7,61.1
10000,66.7,61,68,59.2,54.3,48.6,65.6,56.8
12500,64,56.8,64.9,55.2,51,43.8,61.9,52.2
16000,61.1,52.5,61.7,50.7,47.6,38.9,58.1,47.1
20000,58.3,48.6,58.2,45.4,44.1,34.4,53.9,41.2
25000,55.3,45.2,54.4,39.8,40.5,30.4,49.6,35
