C-130J,AE2100D3,High CRU Training (2200 HP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,108.1,108.1,112.9,113.3,104.6,104.6,119.9,120.2
250,106.6,106.6,111.3,111.6,102.4,102.4,117.6,118
315,105,104.4,109.6,109.2,100.2,99.6,115.3,114.9
400,103.3,102.3,107.8,106.7,97.9,96.9,112.9,111.8
500,101.6,99.9,105.9,104.2,95.6,93.9,110.5,108.8
630,99.8,97.4,104,101.6,93.2,90.8,107.9,105.6
800,98,94.9,101.9,98.9,90.8,87.8,105.2,102.3
1000,96.1,92.4,99.7,96.1,88.3,84.6,102.4,98.9
1250,94.1,89.9,97.3,93.2,85.7,81.5,99.4,95.3
1600,92,87.6,94.8,90.5,83,78.6,96.4,92
2000,89.7,85.3,92.2,87.7,80.2,75.8,93.1,88.6
2500,87.4,83.1,89.3,84.7,77.2,72.9,89.6,85.1
3150,85,80.8,86.4,81.7,74.2,70,86.1,81.5
4000,82.4,78.6,83.5,78.7,71,67.2,82.6,77.7
5000,79.7,76.1,80.6,75.4,67.8,64.1,79,73.8
6300,76.9,73.4,77.6,71.9,64.3,60.8,75.2,69.5
8000,74,70.2,74.5,68.1,60.8,57,71.4,65
10000,71,66.6,71.2,63.7,57.2,52.9,67.5,59.9
12500,67.9,62.1,67.9,58.6,53.5,47.7,63.6,54.3
16000,64.7,57.1,64.5,52.8,49.7,42.2,59.6,47.8
20000,61.6,52.2,60.9,46.9,46,36.7,55.4,41.4
25000,58.4,47.8,57.1,40.8,42.2,31.6,50.9,34.7
