C-130E,T56-A-7,Approach (580 C TIT),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,99.5,99.5,104.9,105,98.2,98.2,113.2,113.3
250,97.9,97.9,103.2,103.3,96,96,111,111.1
315,96.3,95.5,101.5,100.8,93.8,93,108.7,108
400,94.7,93.2,99.8,98.3,91.6,90.1,106.4,104.9
500,93,90.8,98,95.9,89.3,87.1,103.9,101.9
630,91.3,88.3,96,93.3,87,84,101.4,98.7
800,89.5,85.9,94,90.6,84.6,81,98.7,95.4
1000,87.6,83.5,91.7,87.8,82.1,78,95.9,92
1250,85.7,81,89.5,84.9,79.6,74.9,93.1,88.5
1600,83.7,78.9,87.1,82.4,77,72.2,90.1,85.4
2000,81.6,76.7,84.6,79.9,74.3,69.4,87,82.3
2500,79.4,74.5,82,77.2,71.5,66.6,83.7,79
3150,77.1,72.4,79.3,74.5,68.6,63.9,80.4,75.7
4000,74.6,70.2,76.6,71.7,65.5,61.1,77,72.1
5000,72.1,67.8,73.9,68.7,62.4,58.1,73.5,68.2
6300,69.4,65.2,71.1,65.3,59.1,54.8,69.9,64
8000,66.7,62.2,68.1,61.5,55.8,51.3,66.1,59.5
10000,63.8,58.9,64.9,58,52.2,47.4,62.1,55.2
12500,60.7,54.9,61.5,54,48.6,42.7,58,50.5
16000,57.6,50.7,57.7,48.6,44.9,38,53.6,44.6
20000,54.5,46.8,53.6,42.9,41.2,33.5,49,38.3
25000,51.3,43.5,48.9,37.1,37.4,29.6,43.6,31.9
