C-141A,TF33-P-7,Cruise (85% NF),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,116.8,116.8,124.4,124.4,114.3,114.3,130.5,130.6
250,115.2,115.2,122.7,122.8,112.1,112.1,128.3,128.3
315,113.4,113.5,121,120.5,109.8,109.9,125.9,125.5
400,111.6,111.7,119.1,118.4,107.4,107.4,123.5,122.7
500,109.7,109.3,117.2,115.9,104.9,104.4,120.9,119.6
630,107.7,106.6,115.1,113.2,102.3,101.2,118.3,116.4
800,105.6,104,112.9,110.4,99.5,97.9,115.5,113
1000,103.3,101,110.5,107.4,96.7,94.3,112.5,109.3
1250,100.9,97.7,108.1,104.1,93.6,90.5,109.4,105.5
1600,98.2,95,105.4,101.4,90.3,87.2,106.2,102.1
2000,95.3,92.1,102.5,98.4,86.8,83.6,102.7,98.6
2500,92.2,88.9,99.3,95.3,83.1,79.9,98.9,94.8
3150,88.9,85.7,95.8,91.9,79.2,76.1,94.7,90.9
4000,85.6,82.8,91.3,88.3,75.3,72.5,89.9,86.8
5000,82.3,79.1,86.4,83.3,71.5,68.2,84.6,81.5
6300,79.2,75.5,81.8,78.2,67.7,64.1,79.6,76
8000,76.2,71.7,78,72.4,64.1,59.7,75.3,69.8
10000,73.2,67.8,74,66.1,60.5,55.1,70.9,63.1
12500,70.1,63,70.4,60.9,56.9,49.8,66.7,57.3
16000,66.9,58,66.5,55.7,53,44.2,62.2,51.5
20000,63.5,52.9,62.2,49.4,49,38.4,57.4,44.6
25000,59.8,47.6,58,42.4,44.8,32.6,52.5,36.9
