C-141A,TF33-P-7,Takeoff (96% NF),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,120.5,120.5,125.9,125.9,116.7,116.7,134,134
250,118.9,118.9,124.3,124.3,114.4,114.4,131.8,131.8
315,117.2,116.6,122.6,121.9,112.1,111.6,129.5,128.8
400,115.5,114.2,120.8,119,109.8,108.5,127.1,125.3
500,113.7,111.8,118.9,116.6,107.4,105.5,124.6,122.3
630,111.8,109.2,116.9,113.9,104.9,102.3,122,119
800,109.8,106.8,114.7,111.5,102.3,99.3,119.2,116
1000,107.7,104.1,112.4,108.6,99.7,96,116.3,112.5
1250,105.6,101.3,110,105.6,96.9,92.6,113.3,108.9
1600,103.3,98.7,107.3,102.7,94,89.4,110,105.4
2000,101,96.1,104.3,99.5,91.1,86.2,106.4,101.6
2500,98.6,93.5,101.1,96.1,88.1,83,102.6,97.6
3150,96.1,91,97.7,92.5,85,79.9,98.6,93.4
4000,93.6,88.7,94.4,88.4,82,77,94.5,88.6
5000,91.1,86.1,91.3,85.1,78.8,73.8,90.8,84.5
6300,88.5,83.4,88.2,81.7,75.6,70.5,86.9,80.4
8000,85.7,80.4,84.9,77.9,72.2,66.9,82.9,75.9
10000,82.9,77,81.5,73.6,68.8,62.9,78.8,70.9
12500,79.8,72.6,78.3,69.5,65.2,57.9,75,66.1
16000,76.7,67.8,75,64.6,61.4,52.6,71,60.7
20000,73.3,62.8,71.5,59.1,57.4,46.9,66.9,54.6
25000,69.8,57.8,67.7,53.3,53.3,41.3,62.6,48.2
