C-17,F117-PW-100,Cruise (86% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,107.6,107.6,112.4,113.1,105.5,105.5,119.8,120.5
250,105.8,105.8,110.7,111.4,103.2,103.2,117.5,118.2
315,104,103.7,108.9,109.1,100.8,100.4,115.1,115.3
400,102.2,101.3,107.1,106.3,98.3,97.5,112.7,111.9
500,100.2,98.9,105.1,103.8,95.7,94.4,110.1,108.8
630,98,96.3,103,101.1,93,91.2,107.4,105.5
800,95.8,93.7,100.8,98.6,90.1,88,104.6,102.4
1000,93.4,90.7,98.4,95.6,87.1,84.5,101.6,98.8
1250,90.8,87.6,95.7,92.5,83.9,80.7,98.3,95.1
1600,88.1,84.7,92.8,89.4,80.6,77.3,94.8,91.4
2000,85.2,81.7,89.6,86,77.1,73.6,91,87.4
2500,82.2,78.7,86.1,82.4,73.5,70,86.9,83.2
3150,79.2,75.7,82.2,78.5,69.9,66.5,82.4,78.6
4000,76.2,73,77.8,74.5,66.3,63.2,77.6,74.3
5000,73.2,70.1,73.6,70.8,62.7,59.6,73.1,70.2
6300,70.1,67.1,69.8,66.8,59.1,56,68.8,65.8
8000,67.1,63.6,66.2,62,55.5,51.9,64.8,60.6
10000,64.1,59.7,62.6,56.8,51.8,47.4,60.9,55.1
12500,61,54.7,59,49.8,48.1,41.8,56.7,47.5
16000,57.8,49.3,55.2,42.8,44.3,35.9,52.3,39.9
20000,54.5,43.9,51.1,34.2,40.4,29.8,47.6,30.7
25000,51,38.6,46.3,22.2,36.4,23.9,42.2,18
