C-5A,TF39-GE-1A,Approach (3.00 EPR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,122.5,122.5,127.4,127.3,122.6,122.6,137.8,137.6
250,120.9,120.9,125.8,125.7,120.4,120.4,135.6,135.4
315,119.2,119.2,124.1,123.7,118.1,118,133.3,132.9
400,117.5,117.2,122.4,121.5,115.8,115.4,130.9,130
500,115.7,114.7,120.6,119,113.4,112.4,128.5,127
630,113.8,112.1,118.6,116.4,110.9,109.2,126,123.7
800,111.8,109.3,116.5,113.5,108.2,105.8,123.2,120.3
1000,109.6,106.7,114.1,110.7,105.5,102.6,120.3,116.9
1250,107.3,104.3,111.6,108,102.6,99.6,117.1,113.6
1600,104.9,101.9,108.9,105.3,99.6,96.6,113.8,110.2
2000,102.2,99.4,106,102.4,96.3,93.5,110.3,106.8
2500,99.3,96.8,102.8,99.5,92.8,90.3,106.5,103.3
3150,96.1,94.2,99.3,96.5,89,87.1,102.5,99.7
4000,92.4,91.5,94.8,92.9,84.7,83.8,97.3,95.3
5000,88.2,88.4,89.9,88.9,79.9,80.1,91.6,90.6
6300,83.4,85,84.4,84.6,74.5,76,85.4,85.5
8000,77.8,80.6,78.3,79.4,68.3,71.1,78.5,79.7
10000,71.5,75.2,71.4,73.3,61.3,65.1,70.9,72.8
12500,64.5,67.5,64.3,65.4,53.8,56.7,63.2,64.4
16000,57.9,58.1,56.4,55.6,46.6,46.8,54.7,53.9
20000,52.6,47.7,51.2,42.6,40.7,35.7,48.9,40.3
25000,48.4,38.1,44.8,23.9,35.9,25.6,41.9,21
