C-5A,TF39-GE-1A,Takeoff (4.90 EPR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,127.3,127.3,132.8,133,123.7,123.7,138.5,138.7
250,125.6,125.6,131.2,131.4,121.4,121.4,136.2,136.4
315,123.9,123.9,129.5,129.4,119.1,119.1,134,133.9
400,122.1,122.3,127.7,127.5,116.7,116.9,131.6,131.4
500,120.3,119.9,125.8,125,114.2,113.9,129.1,128.3
630,118.3,117.3,123.8,122.4,111.7,110.7,126.5,125
800,116.3,114.6,121.8,119.6,109.1,107.4,123.8,121.6
1000,114.1,111.7,119.5,116.6,106.3,103.8,121,118.1
1250,111.9,108.6,117.2,113.5,103.4,100.2,118,114.4
1600,109.4,106.2,114.6,110.9,100.4,97.2,114.9,111.1
2000,106.8,103.7,111.9,108.1,97.2,94,111.5,107.8
2500,104.1,101.1,108.9,105.3,93.8,90.9,108,104.4
3150,101.1,98.6,105.6,102.5,90.3,87.8,104.1,101
4000,97.9,96.2,101.5,99.2,86.5,84.8,99.6,97.3
5000,94.5,93.4,97.1,95.6,82.5,81.4,94.7,93.2
6300,90.9,90.3,92.2,91.6,78.3,77.7,89.4,88.8
8000,87.3,86.5,87.1,86.9,74.1,73.3,83.8,83.6
10000,83.6,82.1,82.9,81.3,69.8,68.2,79.2,77.6
12500,79.9,76.4,79,74.6,65.5,62,74.7,70.2
16000,76.1,70.5,75.2,67.6,61.1,55.5,70.3,62.7
20000,72.1,64.5,71.3,61.6,56.5,48.9,65.8,56.1
25000,68,58.5,67.3,55,51.8,42.3,61.2,48.9
